recorded by mmserver domain:[id:24 time:Mon Jan 28 13:54:36 2013
]
time		tg_mem		use_mem		free_mem		
13:54:38		1033877		458305		575572		
13:54:40		1028964		457972		570992		
13:54:42		1028757		458013		570744		
13:54:44		1028777		458033		570744		
13:54:46		1028745		458001		570744		
13:54:48		1028740		457996		570744		
13:54:50		1028734		457990		570744		
13:54:52		927377		458065		469312		
13:54:54		938957		465429		473528		
13:54:56		930799		458015		472784		
13:54:58		928445		458017		470428		
13:55:00		928446		458018		470428		
13:55:02		929192		458516		470676		
13:55:04		929516		458468		471048		
13:55:06		929592		458544		471048		
13:55:08		929693		458537		471156		
13:55:10		929707		458551		471156		
13:55:12		929746		458466		471280		
13:55:14		929218		457938		471280		
13:55:16		928965		457933		471032		
13:55:18		928885		457969		470916		
13:55:20		928894		457970		470924		
13:55:22		928898		457974		470924		
13:55:24		928901		457977		470924		
13:55:26		928931		458007		470924		
13:55:28		928960		458036		470924		
13:55:30		928990		458066		470924		
13:55:32		929020		458096		470924		
13:55:34		929017		458093		470924		
13:55:36		928675		457875		470800		
13:55:38		924274		457938		466336		
13:55:40		921268		457908		463360		
13:55:42		920063		457943		462120		
13:55:44		920049		457929		462120		
13:55:46		919539		457915		461624		
13:55:48		918532		457892		460640		
13:55:50		918958		458318		460640		
13:55:52		919036		458396		460640		
13:55:54		918991		458351		460640		
13:55:56		918991		458351		460640		
13:55:58		918992		458352		460640		
13:56:00		918993		458353		460640		
13:56:02		918994		458354		460640		
13:56:04		919019		458379		460640		
13:56:06		920574		458462		462112		
13:56:08		918123		457995		460128		
13:56:10		914433		458025		456408		
13:56:12		912551		458003		454548		
13:56:14		911339		458031		453308		
13:56:16		910053		457985		452068		
13:56:18		909610		458038		451572		
13:56:20		908368		458036		450332		
13:56:22		907499		458035		449464		
13:56:24		906056		457956		448100		
13:56:26		919893		466337		453556		
13:56:28		909078		457878		451200		
13:56:30		897594		457926		439668		
13:56:32		896249		457945		438304		
13:56:34		895350		457914		437436		
13:56:36		891742		457902		433840		
13:56:38		884313		457913		426400		
13:56:40		883730		457950		425780		
13:56:42		882841		457929		424912		
13:56:45		882523		457983		424540		
13:56:47		880139		457955		422184		
13:56:49		878920		457976		420944		
13:56:51		878075		457875		420200		
13:56:53		876705		457993		418712		
13:56:55		876005		457913		418092		
13:56:57		873855		457871		415984		
13:56:59		871469		457965		413504		
13:57:01		868909		457885		411024		
13:57:03		865007		457951		407056		
13:57:05		860932		457968		402964		
13:57:07		858991		458035		400956		
13:57:09		855986		458114		397872		
13:57:11		855256		458004		397252		
13:57:13		853184		458040		395144		
13:57:15		852998		458102		394896		
13:57:17		852415		458015		394400		
13:57:19		852501		458101		394400		
13:57:21		850339		458047		392292		
13:57:23		850233		458065		392168		
13:57:25		850327		458159		392168		
13:57:27		850327		458151		392176		
13:57:29		849880		458076		391804		
13:57:31		849844		458040		391804		
13:57:33		849557		458001		391556		
13:57:35		852323		458535		393788		
13:57:37		852457		458545		393912		
13:57:39		852454		458542		393912		
13:57:41		848473		457909		390564		
13:57:43		847047		457971		389076		
13:57:45		845819		457983		387836		
13:57:47		844963		457995		386968		
13:57:49		844429		457957		386472		
13:57:51		844838		458366		386472		
13:57:53		844652		458180		386472		
13:57:55		842887		457903		384984		
13:57:57		838231		457959		380272		
13:57:59		838136		457988		380148		
13:58:01		838135		457987		380148		
13:58:03		838079		457931		380148		
13:58:05		837967		457943		380024		
13:58:07		837872		458120		379752		
13:58:09		837882		458114		379768		
13:58:11		837709		458065		379644		
13:58:13		837569		458041		379528		
13:58:15		837385		458105		379280		
13:58:17		837309		458029		379280		
13:58:19		837049		458017		379032		
13:58:21		836892		458108		378784		
