recorded by mmserver domain:[id:9 time:Wed Jan  2 10:50:35 2013
]
time		tg_mem		use_mem		free_mem		
10:50:37		1047188		379004		668184		
10:50:39		1047191		379007		668184		
10:50:41		1047190		379006		668184		
10:50:43		1047190		379006		668184		
10:50:45		1047190		379006		668184		
10:50:47		1047190		379006		668184		
10:50:49		1027982		378894		649088		
10:50:51		1013064		378856		634208		
10:50:53		999734		378918		620816		
10:50:55		987086		378918		608168		
10:50:57		974577		378933		595644		
10:50:59		962219		378851		583368		
10:51:01		949882		378914		570968		
10:51:03		937513		378945		558568		
10:51:05		925214		378922		546292		
10:51:07		912874		378858		534016		
10:51:09		903200		378856		524344		
10:51:11		896875		378855		518020		
10:51:13		886783		378931		507852		
10:51:15		875355		378911		496444		
10:51:18		863296		379004		484292		
10:51:20		851136		378996		472140		
10:51:22		838854		378990		459864		
10:51:24		826527		379063		447464		
10:51:26		814213		379025		435188		
10:51:28		801911		378999		422912		
10:51:30		804728		379088		425640		
10:51:32		813537		378969		434568		
10:51:34		824468		378988		445480		
10:51:36		836293		379033		457260		
10:51:38		848417		379005		469412		
10:51:40		860672		378984		481688		
10:51:42		872929		378965		493964		
10:51:44		885237		378997		506240		
10:51:46		897537		379021		518516		
10:51:48		909880		379088		530792		
10:51:50		919323		378983		540340		
10:51:52		925708		379044		546664		
10:51:54		935844		379012		556832		
10:51:56		947305		379065		568240		
10:51:58		959342		379074		580268		
10:52:00		971532		378988		592544		
10:52:02		983790		378970		604820		
10:52:04		996052		379080		616972		
10:52:06		1008410		379038		629372		
10:52:08		1032233		379053		653180		
10:52:10		1041594		378990		662604		
10:52:12		1045081		379005		666076		
10:52:14		1046394		379078		667316		
10:52:16		1046913		378977		667936		
10:52:18		1047070		379010		668060		
10:52:20		1047141		379081		668060		
10:52:22		1047194		379010		668184		
10:52:24		1047190		379006		668184		
10:52:26		1047187		379003		668184		
10:52:28		1047185		379001		668184		
10:52:30		1047183		378999		668184		
10:52:32		1047182		378998		668184		
10:52:34		1047181		378997		668184		
10:52:35		1047180		378996		668184		
