recorded by mmserver domain:[id:9 time:Wed Jan  2 11:44:25 2013
]
time		tg_mem		use_mem		free_mem		
11:44:27		1047179		378995		668184		
11:44:29		1106355		438979		667376		
11:44:31		1133088		465712		667376		
11:44:33		1144916		477540		667376		
11:44:35		1150085		482709		667376		
11:44:37		1152288		484912		667376		
11:44:39		1153196		485820		667376		
11:44:41		1153524		486148		667376		
11:44:43		1153639		486263		667376		
11:44:45		1153651		486275		667376		
11:44:47		1153604		486228		667376		
11:44:49		1153550		486174		667376		
11:44:51		1153510		486134		667376		
11:44:53		1153479		486103		667376		
11:44:55		1153456		486080		667376		
11:44:57		1153439		486063		667376		
11:44:59		1117989		450613		667376		
11:45:01		1075480		408104		667376		
11:45:03		1036418		380698		655720		
11:45:05		1002439		380695		621744		
11:45:07		992911		380715		612196		
11:45:09		981831		380671		601160		
11:45:11		972014		380650		591364		
11:45:13		963070		380634		582436		
11:45:15		954325		380693		573632		
11:45:17		946018		380694		565324		
11:45:19		937928		380664		557264		
11:45:21		936045		380641		555404		
11:45:23		938018		381250		556768		
11:45:25		942548		381192		561356		
11:45:27		948159		381223		566936		
11:45:29		954654		381146		573508		
11:45:31		961572		381244		580328		
11:45:33		968880		381236		587644		
11:45:35		976314		381230		595084		
11:45:37		983824		381176		602648		
11:45:39		991391		381179		610212		
11:45:41		999056		381156		617900		
11:45:43		1006683		381219		625464		
11:45:45		1014412		381136		633276		
11:45:47		1022050		381210		640840		
11:45:49		1029771		381243		648528		
11:45:51		1037498		381158		656340		
11:45:53		1045153		381249		663904		
11:45:55		1052884		385508		667376		
11:45:57		1067740		400364		667376		
11:45:59		1084315		416939		667376		
11:46:01		1099182		431806		667376		
11:46:03		1112540		445164		667376		
11:46:05		1123562		456186		667376		
11:46:07		1132257		464881		667376		
11:46:09		1139002		471626		667376		
11:46:11		1144135		476759		667376		
11:46:13		1148022		480646		667376		
11:46:15		1150954		483578		667376		
11:46:17		1153190		485814		667376		
11:46:19		1154867		487491		667376		
11:46:21		1156125		488749		667376		
11:46:23		1157068		489692		667376		
11:46:25		1157775		490399		667376		
11:46:27		1158305		490929		667376		
11:46:29		1158703		491327		667376		
11:46:31		1159001		491625		667376		
11:46:33		1159225		491849		667376		
11:46:35		1159394		492018		667376		
11:46:37		1159520		492144		667376		
11:46:39		1159615		492239		667376		
11:46:41		1159686		492310		667376		
11:46:43		1159739		492363		667376		
11:46:45		1159779		492403		667376		
11:46:47		1159809		492433		667376		
11:46:49		1159831		492455		667376		
11:46:52		1159847		492471		667376		
11:46:54		1159859		492483		667376		
11:46:56		1159869		492493		667376		
11:46:57		1159876		492500		667376		
