recorded by mmserver domain:[id:26 time:Fri Jan  4 15:46:04 2013
]
time		tg_mem		use_mem		free_mem		
15:46:06		1042571		157999		884572		
15:46:08		1042592		158020		884572		
15:46:10		1042608		158036		884572		
15:46:12		1042620		157924		884696		
15:46:14		1042554		157858		884696		
15:46:16		1034803		157423		877380		
15:46:18		1031538		157382		874156		
15:46:20		1028401		157345		871056		
15:46:22		1025323		157367		867956		
15:46:24		1022251		157395		864856		
15:46:26		1019185		157429		861756		
15:46:28		1016122		157342		858780		
15:46:30		1012988		157432		855556		
15:46:32		1009968		157388		852580		
15:46:34		1006829		157349		849480		
15:46:36		1003749		157369		846380		
15:46:38		1000657		157377		843280		
15:46:40		1000663		157383		843280		
15:46:42		997580		157400		840180		
15:46:44		994524		157444		837080		
15:46:46		991450		157346		834104		
15:46:48		988308		157428		830880		
15:46:50		985281		157377		827904		
15:46:52		982137		157457		824680		
15:46:54		979109		157405		821704		
15:46:56		982158		158098		824060		
15:46:58		984426		158010		826416		
15:47:00		987466		157950		829516		
15:47:02		990880		158264		832616		
15:47:04		994371		158407		835964		
15:47:06		997212		158024		839188		
15:47:08		1000552		158016		842536		
15:47:10		1003801		158537		845264		
15:47:12		1006237		157997		848240		
15:47:14		1009050		157958		851092		
15:47:16		1011978		158034		853944		
15:47:18		1016108		159188		856920		
15:47:20		1019633		159489		860144		
15:47:23		1019468		157960		861508		
15:47:25		1022302		158314		863988		
15:47:27		1024818		157978		866840		
15:47:29		1027393		157949		869444		
15:47:31		1030980		157940		873040		
15:47:33		1033877		157985		875892		
15:47:35		1042113		162749		879364		
15:47:37		1043308		157992		885316		
15:47:39		1042510		157442		885068		
15:47:41		1042246		157426		884820		
15:47:43		1042253		157433		884820		
15:47:45		1042258		157438		884820		
15:47:46		1042261		157441		884820		
