recorded by mmserver domain:[id:25 time:Wed Jan  9 15:52:09 2013
]
time		tg_mem		use_mem		free_mem		
15:52:12		1042726		390978		651748		
15:52:14		1082096		430348		651748		
15:52:16		1075046		423298		651748		
15:52:18		1060816		409068		651748		
15:52:20		1090288		438540		651748		
15:52:22		1063888		412140		651748		
15:52:24		1088706		436958		651748		
15:52:26		1065607		390423		675184		
15:52:28		1078144		390932		687212		
15:52:30		1094017		403457		690560		
15:52:32		1090356		390992		699364		
15:52:34		1003525		390341		613184		
15:52:36		971063		390367		580696		
15:52:38		961876		390356		571520		
15:52:40		961960		390440		571520		
15:52:42		961986		390466		571520		
15:52:44		962006		390486		571520		
15:52:46		962002		390482		571520		
15:52:48		961999		390479		571520		
15:52:50		961997		390477		571520		
15:52:52		961995		390475		571520		
15:52:54		961994		390474		571520		
15:52:56		961975		390727		571248		
15:52:58		962098		390834		571264		
15:53:00		962143		390879		571264		
15:53:02		962157		390893		571264		
15:53:04		962171		390907		571264		
15:53:06		962182		390918		571264		
15:53:08		962190		390926		571264		
15:53:10		962196		390932		571264		
15:53:12		962200		390936		571264		
15:53:14		962204		390940		571264		
15:53:16		962206		390942		571264		
15:53:18		962208		390944		571264		
15:53:20		962209		390945		571264		
15:53:22		962211		390947		571264		
15:53:24		962158		390886		571272		
15:53:26		959368		390576		568792		
15:53:28		957343		390659		566684		
15:53:30		957315		390631		566684		
15:53:32		956904		390592		566312		
15:53:34		956577		390637		565940		
15:53:36		956685		390745		565940		
15:53:38		956691		390751		565940		
15:53:40		956660		390720		565940		
15:53:42		956618		390678		565940		
15:53:44		956549		390609		565940		
15:53:46		956479		390663		565816		
15:53:48		956464		390648		565816		
15:53:50		956434		390618		565816		
15:53:52		957070		391006		566064		
15:53:54		955630		390558		565072		
15:53:56		953489		390657		562832		
15:53:58		951050		390698		560352		
15:54:00		949873		390637		559236		
15:54:02		949157		390657		558500		
15:54:04		949025		390649		558376		
15:54:06		948257		390625		557632		
15:54:08		947254		390614		556640		
15:54:10		944958		390674		554284		
15:54:12		951911		390923		560988		
15:54:14		940623		390423		550200		
15:54:16		938983		390395		548588		
15:54:18		938064		390344		547720		
15:54:20		936891		390411		546480		
15:54:22		931054		390402		540652		
15:54:24		928569		390397		538172		
15:54:26		928307		390383		537924		
15:54:28		928614		390690		537924		
15:54:31		927259		390327		536932		
15:54:33		926222		390406		535816		
15:54:35		925426		390354		535072		
15:54:37		924606		390402		534204		
15:54:39		923612		390400		533212		
15:54:41		922308		390336		531972		
15:54:43		920698		390338		530360		
15:54:45		919660		390416		529244		
15:54:47		916166		390394		525772		
15:54:49		913041		390369		522672		
15:54:51		910823		390383		520440		
15:54:53		906890		390418		516472		
15:54:55		906723		390499		516224		
15:54:57		906018		390670		515348		
15:54:59		906014		390666		515348		
15:55:01		904835		390603		514232		
15:55:03		904363		390619		513744		
15:55:05		904711		390967		513744		
15:55:07		904510		390766		513744		
15:55:09		904452		390708		513744		
15:55:11		904092		390596		513496		
15:55:13		904046		390674		513372		
15:55:15		904141		390769		513372		
15:55:17		904064		390692		513372		
15:55:19		906070		390962		515108		
15:55:21		904580		390340		514240		
15:55:23		904505		390389		514116		
15:55:25		902105		390345		511760		
15:55:27		902296		390536		511760		
15:55:29		900803		390407		510396		
15:55:31		900910		390514		510396		
15:55:33		902144		391004		511140		
15:55:35		902065		390925		511140		
15:55:37		901229		390337		510892		
15:55:39		899038		390378		508660		
15:55:41		896438		390382		506056		
15:55:43		894897		390329		504568		
15:55:45		895950		391010		504940		
15:55:47		896157		390969		505188		
15:55:49		896047		390859		505188		
15:55:51		895878		390690		505188		
15:55:53		895723		390535		505188		
15:55:55		895570		390654		504916		
15:55:57		895592		390660		504932		
15:55:59		895495		390687		504808		
15:56:01		895364		390680		504684		
15:56:03		897425		390997		506428		
15:56:05		897378		390950		506428		
15:56:07		897296		390868		506428		
15:56:09		897065		390637		506428		
15:56:11		896799		390371		506428		
15:56:13		896578		390398		506180		
15:56:15		896437		390381		506056		
15:56:17		896404		390340		506064		
15:56:19		896273		390333		505940		
15:56:21		896153		390337		505816		
15:56:23		896029		390337		505692		
15:56:25		895782		390338		505444		
15:56:27		895490		390418		505072		
15:56:29		895309		390361		504948		
15:56:31		895015		390315		504700		
15:56:33		894779		390327		504452		
15:56:35		894553		390349		504204		
15:56:37		894391		390311		504080		
15:56:39		893976		390392		503584		
15:56:41		892530		390310		502220		
15:56:43		891706		390354		501352		
15:56:45		891214		390358		500856		
15:56:47		889979		390363		499616		
15:56:49		893197		390977		502220		
15:56:51		893341		390997		502344		
15:56:53		893339		390987		502352		
15:56:55		893092		391028		502064		
15:56:58		891436		390588		500848		
15:57:00		891160		390560		500600		
15:57:02		891075		390599		500476		
15:57:04		891071		390595		500476		
15:57:06		891069		390593		500476		
15:57:08		891067		390591		500476		
15:57:10		891028		390676		500352		
15:57:12		890181		390573		499608		
15:57:14		889750		390638		499112		
15:57:16		889780		390668		499112		
15:57:18		889747		390635		499112		
15:57:20		889722		390610		499112		
15:57:22		889220		390604		498616		
15:57:24		889159		390667		498492		
15:57:26		889002		390634		498368		
15:57:28		888512		390640		497872		
15:57:30		888517		390645		497872		
15:57:32		885805		390661		495144		
15:57:34		888923		390927		497996		
15:57:36		888806		390810		497996		
15:57:38		888664		390668		497996		
15:57:40		888353		390357		497996		
15:57:42		888083		390335		497748		
15:57:44		887992		390368		497624		
15:57:46		887980		390356		497624		
15:57:48		888120		390496		497624		
15:57:50		888300		390676		497624		
15:57:52		888379		390755		497624		
15:57:54		888531		390907		497624		
15:57:56		887306		390534		496772		
15:57:58		886196		390416		495780		
15:58:00		885996		390464		495532		
15:58:02		886179		390647		495532		
15:58:04		886297		390765		495532		
