record in kb
time		total		used		free
[15:09:21]		1048572		16000		1032572
[15:09:22]		1048572		16000		1032572
[15:09:23]		1048572		16000		1032572
[15:09:24]		1048572		16000		1032572
[15:09:25]		1048572		16000		1032572
[15:09:26]		1048572		16000		1032572
[15:09:27]		1048572		16000		1032572
[15:09:28]		1048572		16000		1032572
[15:09:29]		1048572		16000		1032572
[15:09:30]		1048572		16000		1032572
[15:09:31]		1048572		16000		1032572
[15:09:32]		1048572		16000		1032572
[15:09:33]		1048572		16000		1032572
[15:09:34]		1048572		16000		1032572
[15:09:35]		1048572		16000		1032572
[15:09:36]		1048572		16000		1032572
[15:09:37]		1048572		16000		1032572
[15:09:38]		1048572		16000		1032572
[15:09:39]		1048572		16000		1032572
[15:09:40]		1048572		16000		1032572
[15:09:41]		1048572		16000		1032572
[15:09:42]		1048572		16000		1032572
[15:09:43]		1048572		16000		1032572
[15:09:44]		1048572		16000		1032572
[15:09:45]		1048572		16000		1032572
[15:09:46]		1048572		16000		1032572
[15:09:47]		1048572		16000		1032572
[15:09:48]		1048572		16000		1032572
[15:09:49]		1048572		16000		1032572
[15:09:50]		1048572		16000		1032572
[15:09:51]		1048572		16000		1032572
[15:09:52]		1048572		16000		1032572
[15:09:53]		1048572		16000		1032572
[15:09:54]		1048572		16000		1032572
[15:09:55]		1048572		16000		1032572
[15:09:56]		1048572		16000		1032572
[15:09:57]		1048572		16000		1032572
[15:09:58]		1048572		16000		1032572
[15:09:59]		1048572		16000		1032572
[15:10:00]		1048572		16000		1032572
[15:10:01]		1048572		16000		1032572
[15:10:02]		1048572		16000		1032572
[15:10:03]		1048572		16000		1032572
[15:10:04]		1048572		16000		1032572
[15:10:05]		1048572		16000		1032572
[15:10:06]		1048572		16000		1032572
[15:10:07]		1048572		16000		1032572
[15:10:08]		1048572		16000		1032572
[15:10:09]		1048572		16000		1032572
[15:10:10]		1048572		16000		1032572
[15:10:11]		1048572		15992		1032580
[15:10:12]		1048572		15980		1032592
[15:10:13]		1048572		15964		1032608
[15:10:14]		1048572		15964		1032608
[15:10:15]		1048572		15964		1032608
[15:10:16]		1048572		15964		1032608
[15:10:17]		1048572		15964		1032608
[15:10:18]		1048572		15964		1032608
[15:10:19]		1048572		15964		1032608
[15:10:20]		1048572		15968		1032604
[15:10:21]		1048572		16472		1032100
[15:10:22]		1048572		16472		1032100
[15:10:23]		1048572		16472		1032100
[15:10:24]		1048572		16472		1032100
[15:10:25]		1048572		16472		1032100
[15:10:26]		1048572		16472		1032100
[15:10:27]		1048572		16472		1032100
[15:10:28]		1048572		16472		1032100
[15:10:29]		1048572		16472		1032100
[15:10:30]		1048572		16472		1032100
[15:10:31]		1048572		16472		1032100
[15:10:32]		1048572		16472		1032100
[15:10:33]		1048572		16472		1032100
[15:10:34]		1048572		16472		1032100
[15:10:35]		1048572		16472		1032100
[15:10:36]		1048572		16472		1032100
[15:10:37]		1048572		16472		1032100
[15:10:38]		1048572		16472		1032100
[15:10:39]		1048572		16472		1032100
[15:10:40]		1048572		16472		1032100
[15:10:41]		1048572		16472		1032100
[15:10:42]		1048572		16472		1032100
[15:10:43]		1048572		16468		1032104
[15:10:44]		1048572		16468		1032104
[15:10:45]		1048572		16468		1032104
[15:10:46]		1048572		16468		1032104
[15:10:47]		1048572		16468		1032104
[15:10:48]		1048572		16468		1032104
[15:10:49]		1048572		16468		1032104
[15:10:50]		1048572		16468		1032104
[15:10:51]		1048572		16468		1032104
[15:10:52]		1048572		16472		1032100
[15:10:53]		1048572		16472		1032100
[15:10:54]		1048572		16472		1032100
[15:10:55]		1048572		16476		1032096
[15:10:56]		1048572		16476		1032096
[15:10:57]		1048572		16476		1032096
[15:10:58]		1048572		16476		1032096
[15:10:59]		1048572		16476		1032096
[15:11:00]		1048572		16476		1032096
[15:11:01]		1048572		16476		1032096
[15:11:02]		1048572		16476		1032096
[15:11:03]		1048572		16476		1032096
[15:11:04]		1048572		16476		1032096
[15:11:05]		1048572		16476		1032096
[15:11:06]		1048572		16476		1032096
[15:11:07]		1048572		17544		1031028
[15:11:08]		1048572		18384		1030188
[15:11:09]		1048572		18068		1030504
[15:11:10]		1048572		18056		1030516
[15:11:11]		1048572		19760		1028812
[15:11:12]		1048572		19760		1028812
[15:11:13]		1048572		19756		1028816
[15:11:14]		1048572		19748		1028824
[15:11:15]		1048572		19748		1028824
[15:11:16]		1048572		19748		1028824
[15:11:17]		1048572		19748		1028824
[15:11:18]		1048572		19748		1028824
[15:11:19]		1048572		19748		1028824
[15:11:20]		1048572		19748		1028824
[15:11:21]		1048572		36208		1012364
[15:11:22]		1048572		31376		1017196
[15:11:23]		1048572		24400		1024172
[15:11:24]		1048572		27648		1020924
[15:11:25]		1048572		27808		1020764
[15:11:26]		1048572		24800		1023772
[15:11:27]		1048572		27196		1021376
[15:11:28]		1048572		49408		999164
[15:11:29]		1048572		48080		1000492
