record in kb
time		total		used		free
[15:52:23]		1048572		15540		1033032
[15:52:24]		1048572		15540		1033032
[15:52:25]		1048572		15540		1033032
[15:52:26]		1048572		15540		1033032
[15:52:27]		1048572		15540		1033032
[15:52:28]		1048572		15540		1033032
[15:52:29]		1048572		15540		1033032
[15:52:30]		1048572		15544		1033028
[15:52:31]		1048572		15556		1033016
[15:52:32]		1048572		15552		1033020
[15:52:33]		1048572		15552		1033020
[15:52:34]		1048572		15552		1033020
[15:52:35]		1048572		15552		1033020
[15:52:36]		1048572		15552		1033020
[15:52:37]		1048572		15552		1033020
[15:52:38]		1048572		15552		1033020
[15:52:39]		1048572		15552		1033020
[15:52:40]		1048572		15552		1033020
[15:52:41]		1048572		15552		1033020
[15:52:42]		1048572		15552		1033020
[15:52:43]		1048572		15552		1033020
[15:52:44]		1048572		15552		1033020
[15:52:45]		1048572		15552		1033020
[15:52:46]		1048572		15552		1033020
[15:52:47]		1048572		15552		1033020
[15:52:48]		1048572		15552		1033020
[15:52:49]		1048572		15552		1033020
[15:52:50]		1048572		15552		1033020
[15:52:51]		1048572		15552		1033020
[15:52:52]		1048572		15552		1033020
[15:52:53]		1048572		15552		1033020
[15:52:54]		1048572		15552		1033020
[15:52:55]		1048572		15552		1033020
[15:52:56]		1048572		15552		1033020
[15:52:57]		1048572		15552		1033020
[15:52:58]		1048572		15552		1033020
[15:52:59]		1048572		15552		1033020
[15:53:00]		1048572		15552		1033020
[15:53:01]		1048572		15552		1033020
[15:53:02]		1048572		15552		1033020
[15:53:03]		1048572		15552		1033020
[15:53:04]		1048572		15552		1033020
[15:53:05]		1048572		15552		1033020
[15:53:06]		1048572		15552		1033020
[15:53:07]		1048572		15552		1033020
[15:53:08]		1048572		15552		1033020
[15:53:09]		1048572		15552		1033020
[15:53:10]		1048572		15552		1033020
[15:53:11]		1048572		15552		1033020
[15:53:12]		1048572		15552		1033020
[15:53:13]		1048572		15552		1033020
[15:53:14]		1048572		15552		1033020
[15:53:15]		1048572		15552		1033020
[15:53:16]		1048572		15552		1033020
[15:53:17]		1048572		15552		1033020
[15:53:18]		1048572		15552		1033020
[15:53:19]		1048572		15552		1033020
[15:53:20]		1048572		15536		1033036
[15:53:21]		1048572		15536		1033036
[15:53:22]		1048572		15536		1033036
[15:53:23]		1048572		15536		1033036
[15:53:24]		1048572		15536		1033036
[15:53:25]		1048572		15536		1033036
[15:53:26]		1048572		15536		1033036
[15:53:27]		1048572		15536		1033036
[15:53:28]		1048572		15536		1033036
[15:53:29]		1048572		15536		1033036
[15:53:30]		1048572		15536		1033036
[15:53:31]		1048572		15536		1033036
[15:53:32]		1048572		15536		1033036
[15:53:33]		1048572		15536		1033036
[15:53:34]		1048572		15536		1033036
[15:53:35]		1048572		15536		1033036
[15:53:36]		1048572		15536		1033036
[15:53:37]		1048572		15536		1033036
[15:53:38]		1048572		15536		1033036
[15:53:39]		1048572		15536		1033036
[15:53:40]		1048572		15536		1033036
[15:53:41]		1048572		15536		1033036
[15:53:42]		1048572		15536		1033036
[15:53:43]		1048572		15536		1033036
[15:53:44]		1048572		15536		1033036
[15:53:45]		1048572		15536		1033036
[15:53:46]		1048572		15536		1033036
[15:53:47]		1048572		15536		1033036
[15:53:48]		1048572		15536		1033036
[15:53:49]		1048572		15536		1033036
[15:53:50]		1048572		15532		1033040
[15:53:51]		1048572		15532		1033040
[15:53:52]		1048572		15532		1033040
[15:53:53]		1048572		15528		1033044
[15:53:54]		1048572		15528		1033044
[15:53:55]		1048572		15528		1033044
[15:53:57]		1048572		15528		1033044
[15:53:58]		1048572		15528		1033044
[15:53:59]		1048572		15528		1033044
[15:54:00]		1048572		15528		1033044
[15:54:01]		1048572		15528		1033044
[15:54:02]		1048572		15528		1033044
[15:54:03]		1048572		15528		1033044
[15:54:04]		1048572		15528		1033044
[15:54:05]		1048572		15528		1033044
[15:54:06]		1048572		15528		1033044
[15:54:07]		1048572		15528		1033044
[15:54:08]		1048572		15528		1033044
[15:54:09]		1048572		15528		1033044
[15:54:10]		1048572		15528		1033044
[15:54:11]		1048572		15528		1033044
[15:54:12]		1048572		15528		1033044
[15:54:13]		1048572		15528		1033044
[15:54:14]		1048572		15528		1033044
[15:54:15]		1048572		15528		1033044
[15:54:16]		1048572		15528		1033044
[15:54:17]		1048572		15528		1033044
[15:54:18]		1048572		15528		1033044
[15:54:19]		1048572		15528		1033044
[15:54:20]		1048572		15528		1033044
[15:54:21]		1048572		15528		1033044
[15:54:22]		1048572		15528		1033044
[15:54:23]		1048572		15528		1033044
[15:54:24]		1048572		15528		1033044
[15:54:25]		1048572		15528		1033044
[15:54:26]		1048572		15528		1033044
[15:54:27]		1048572		15528		1033044
[15:54:28]		1048572		15528		1033044
[15:54:29]		1048572		15528		1033044
[15:54:30]		1048572		15528		1033044
[15:54:31]		1048572		15528		1033044
[15:54:32]		1048572		15528		1033044
[15:54:33]		1048572		15528		1033044
[15:54:34]		1048572		15528		1033044
[15:54:35]		1048572		15528		1033044
[15:54:36]		1048572		15528		1033044
[15:54:37]		1048572		15528		1033044
[15:54:38]		1048572		15528		1033044
[15:54:39]		1048572		15528		1033044
[15:54:40]		1048572		15528		1033044
[15:54:41]		1048572		15528		1033044
[15:54:42]		1048572		15528		1033044
[15:54:43]		1048572		15528		1033044
[15:54:44]		1048572		15528		1033044
[15:54:45]		1048572		15528		1033044
[15:54:46]		1048572		15528		1033044
[15:54:47]		1048572		15528		1033044
[15:54:48]		1048572		15528		1033044
[15:54:49]		1048572		15528		1033044
[15:54:50]		1048572		15528		1033044
[15:54:51]		1048572		15528		1033044
[15:54:52]		1048572		15528		1033044
[15:54:53]		1048572		15528		1033044
[15:54:54]		1048572		15528		1033044
[15:54:55]		1048572		15528		1033044
