recorded by mmserver domain:[id:19 time:Tue Feb 19 20:13:39 2013
]
time		tg_mem		use_mem		free_mem		
20:13:41		1658281		942021		716260		
20:13:43		1658667		942271		716396		
20:13:45		1658945		957289		701656		
20:13:47		1671017		970109		700908		
20:13:49		1681404		978512		702892		
20:13:51		1688123		982131		705992		
20:13:53		1691022		993834		697188		
20:13:55		1700419		1015383		685036		
20:13:57		1717627		1022795		694832		
20:13:59		1723577		1051933		671644		
20:14:01		1746887		1092591		654296		
20:14:03		1779412		1110360		669052		
20:14:05		1793635		1154343		639292		
20:14:07		1828815		1180223		648592		
20:14:09		1849511		1180583		668928		
20:14:11		1849823		1196271		653552		
20:14:13		1862359		1196531		665828		
20:14:15		1862595		1210035		652560		
20:14:17		1873371		1238171		635200		
20:14:19		1895903		1263927		631976		
20:14:21		1916475		1266519		649956		
20:14:23		1918521		1279725		638796		
20:14:25		1929123		1279663		649460		
20:14:27		1929085		1309517		619568		
20:14:29		1952935		1309675		643260		
20:14:31		1953071		1317251		635820		
20:14:33		1959108		1336308		622800		
20:14:35		1974371		1336319		638052		
20:14:37		1974384		1341672		632712		
20:14:39		1978619		1342807		635812		
20:14:41		1979556		1359864		619692		
20:14:43		1993215		1367447		625768		
20:14:45		1999256		1369768		629488		
20:14:47		2001131		1374123		627008		
20:14:49		2004592		1372004		632588		
20:14:51		2002920		1371196		631724		
20:14:53		2001939		1371331		630608		
20:14:55		2002025		1371417		630608		
20:14:57		2002135		1378347		623788		
20:14:59		2007727		1377119		630608		
20:15:01		2007118		1376502		630616		
20:15:03		2006503		1376631		629872		
20:15:06		2006483		1398319		608164		
20:15:08		2023829		954337		1069492		
20:15:10		1668864		656056		1012808		
20:15:12		1669553		800017		869536		
20:15:14		1672747		964815		707932		
20:15:16		1711344		974124		737220		
20:15:18		1684297		980805		703492		
20:15:20		1684828		988548		696280		
20:15:22		1695916		994560		701356		
20:15:24		1700983		999511		701472		
20:15:26		1704990		1004262		700728		
20:15:28		1708749		1009673		699076		
20:15:30		1713109		1013421		699688		
20:15:32		1716084		1017760		698324		
20:15:34		1719460		1022640		696820		
