recorded by mmserver domain:[id:19 time:Tue Feb 19 19:56:54 2013
]
time		tg_mem		use_mem		free_mem		
19:56:56		1394616		938468		456148		
19:56:58		1395306		938658		456648		
19:57:00		1395473		938701		456772		
19:57:02		1395505		948505		447000		
19:57:04		1401636		963496		438140		
19:57:06		1411099		972367		438732		
19:57:08		1416716		974748		441968		
19:57:10		1418202		982806		435396		
19:57:12		1418202		990114		428088		
19:57:14		1428015		1004143		423872		
19:57:16		1437011		1032227		404784		
19:57:18		1455216		1068040		387176		
19:57:20		1478755		1097035		381720		
19:57:22		1498079		1134835		363244		
19:57:24		1523623		1161991		361632		
19:57:26		1542214		1169422		372792		
19:57:28		1547334		1195250		352084		
19:57:30		1565250		1212546		352704		
19:57:32		1577331		1213839		363492		
19:57:34		1578245		1234593		343652		
19:57:36		1592848		1243236		349612		
19:57:38		1598978		1260898		338080		
19:57:40		1611542		1260194		351348		
19:57:42		1611029		1259681		351348		
19:57:44		1610562		1279302		331260		
19:57:46		1624566		1280286		344280		
19:57:48		1625401		1294265		331136		
19:57:50		1635421		1304781		330640		
19:57:52		1643046		1340802		302244		
19:57:54		1669251		1350143		319108		
19:57:56		1676102		1351418		324684		
19:57:58		1677026		1358914		318112		
19:58:00		1682561		1378461		304100		
19:58:02		1696983		1380359		316624		
19:58:04		1698394		1383382		315012		
19:58:06		1700623		1381519		319104		
19:58:08		1699242		1381502		317740		
19:58:10		1699076		1381456		317620		
19:58:12		1699038		1376950		322088		
19:58:14		1695680		1376964		318716		
19:58:16		1695679		1385015		310664		
19:58:18		1701636		1385508		316128		
19:58:20		1702338		1385642		316696		
19:58:22		1702415		1384355		318060		
19:58:24		1701437		1402845		298592		
19:58:26		1715052		956220		758832		
19:58:28		1406595		717799		688796		
19:58:30		1400484		824128		576356		
19:58:32		1400376		963672		436704		
19:58:34		1420046		971726		448320		
19:58:36		1416125		979109		437016		
19:58:38		1420948		987572		433376		
19:58:40		1426500		992084		434416		
19:58:42		1429397		996097		433300		
19:58:44		1432032		1001208		430824		
19:58:46		1435202		1006066		429136		
19:58:48		1438337		1009985		428352		
19:58:50		1440854		1013602		427252		
19:58:52		1443195		1019239		423956		
19:58:54		1446828		1036328		410500		
19:58:56		1457940		1053004		404936		
19:58:58		1468869		1055653		413216		
19:59:00		1470617		1063761		406856		
19:59:02		1475971		1069323		406648		
19:59:04		1479641		1076893		402748		
19:59:06		1484676		1085136		399540		
19:59:08		1490177		1099645		390532		
19:59:10		1499864		1103112		396752		
19:59:12		1502149		1114417		387732		
19:59:14		1509789		1118373		391416		
19:59:16		1512442		1131822		380620		
19:59:18		1521556		1139380		382176		
19:59:20		1526712		1142676		384036		
19:59:22		1528955		1147159		381796		
19:59:24		1532006		1152770		379236		
19:59:26		1535951		1158659		377292		
19:59:29		1539898		1160482		379416		
19:59:31		1541133		1167681		373452		
19:59:33		1546091		1167803		378288		
19:59:35		1546190		1167158		379032		
19:59:37		1545726		1168794		376932		
19:59:39		1546797		1169493		377304		
19:59:41		1547351		1167567		379784		
19:59:43		1546030		1171454		374576		
19:59:45		1548577		1175001		373576		
19:59:47		1551176		1175484		375692		
19:59:49		1551493		1175677		375816		
19:59:51		1551620		1176424		375196		
19:59:53		1552154		1177330		374824		
19:59:55		1552770		1178318		374452		
19:59:57		1553469		1179373		374096		
19:59:59		1554178		1180082		374096		
20:00:01		1554681		1180957		373724		
20:00:03		1555304		1190244		365060		
20:00:05		1561752		1192228		369524		
20:00:07		1563133		1190509		372624		
20:00:09		1561939		1192291		369648		
20:00:11		1563028		1194496		368532		
20:00:13		1564686		1195014		369672		
20:00:15		1565053		1195753		369300		
20:00:17		1565551		1195815		369736		
20:00:19		1565595		961283		604312		
20:00:21		1409649		889637		520012		
20:00:23		1376689		968145		408544		
20:00:25		1417428		1000324		417104		
20:00:27		1437812		983012		454800		
20:00:29		1423561		989493		434068		
20:00:31		1426785		995565		431220		
20:00:33		1431528		999688		431840		
20:00:35		1434222		1003878		430344		
20:00:37		1436942		1009258		427684		
20:00:39		1440394		1012994		427400		
20:00:41		1442804		1018992		423812		
20:00:43		1446679		1023979		422700		
20:00:45		1449919		1041763		408156		
20:00:47		1461523		1058423		403100		
20:00:49		1472468		1062176		410292		
20:00:51		1474935		1071499		403436		
20:00:53		1481122		1076582		404540		
20:00:55		1484497		1082137		402360		
20:00:57		1488199		1093363		394836		
20:00:59		1495697		1098501		397196		
20:01:01		1499133		1109025		390108		
20:01:03		1506222		1114870		391352		
20:01:05		1510169		1130885		379284		
20:01:07		1521144		1138196		382948		
20:01:09		1526007		1142955		383052		
20:01:11		1529243		1141971		387272		
20:01:13		1528573		1146797		381776		
20:01:15		1531788		1151988		379800		
20:01:17		1535404		1154140		381264		
20:01:19		1536898		1157662		379236		
20:01:21		1539317		1148549		390768		
20:01:23		1533076		1152352		380724		
20:01:25		1535411		1154679		380732		
20:01:27		1537253		1154785		382468		
20:01:29		1537337		1158465		378872		
20:01:31		1539846		1161346		378500		
20:01:33		1541829		1166057		375772		
20:01:35		1545089		1167457		377632		
20:01:37		1546027		1167403		378624		
20:01:39		1546014		1167886		378128		
20:01:41		1546332		1168948		377384		
20:01:43		1547072		1171492		375580		
20:01:45		1548827		1174795		374032		
20:01:47		1551064		1178896		372168		
20:01:49		1553935		1177543		376392		
20:01:51		1552985		1180681		372304		
20:01:53		1555038		1181106		373932		
20:01:55		1555451		1183499		371952		
20:01:57		1557116		1186160		370956		
20:01:59		1558954		1186746		372208		
20:02:01		1559374		1189642		369732		
20:02:03		1561409		1192045		369364		
20:02:05		1563039		1197511		365528		
20:02:07		1566850		1205170		361680		
20:02:09		1572210		1209026		363184		
20:02:11		1574897		1212941		361956		
20:02:13		1577635		1212939		364696		
20:02:15		1577651		1211843		365808		
20:02:17		1576868		1212820		364048		
20:02:19		1577453		1219365		358088		
20:02:21		1582123		1221935		360188		
20:02:24		1582123		1228019		354104		
20:02:26		1588237		1234133		354104		
20:02:28		1592562		1238458		354104		
20:02:30		1595619		1227539		368080		
20:02:32		1587885		1227121		360764		
20:02:34		1587299		1227295		360004		
20:02:36		1587505		1229989		357516		
20:02:38		1589449		1230581		358868		
20:02:40		1590068		1234312		355756		
20:02:42		1592751		1235883		356868		
20:02:44		1593888		1236040		357848		
20:02:46		1594018		1236054		357964		
20:02:48		1594044		1236080		357964		
20:02:50		1593953		1235989		357964		
20:02:52		1593877		1239525		354352		
20:02:54		1596352		1241276		355076		
20:02:56		1597689		1241357		356332		
20:02:58		1597709		1241385		356324		
20:03:00		1597668		1241492		356176		
20:03:02		1597755		1241595		356160		
20:03:04		1597821		1241669		356152		
20:03:06		1597883		1241755		356128		
20:03:08		1597936		1241832		356104		
20:03:10		1597997		1243377		354620		
20:03:12		1599100		1245092		354008		
20:03:14		1600314		1244134		356180		
20:03:16		1599680		1246492		353188		
20:03:18		1601270		1244382		356888		
20:03:20		1599835		1243819		356016		
20:03:22		1599251		1243987		355264		
20:03:24		1599327		1244211		355116		
20:03:26		1599496		1244496		355000		
20:03:28		1599719		1244963		354756		
20:03:30		1600079		1244951		355128		
20:03:32		1600101		1244997		355104		
20:03:34		1600137		1245053		355084		
20:03:36		1600181		1245117		355064		
20:03:38		1600233		1245201		355032		
20:03:40		1600300		1245268		355032		
20:03:42		1600356		1245304		355052		
20:03:44		1600357		1245425		354932		
20:03:46		1600441		1245529		354912		
20:03:48		1600526		1249486		351040		
20:03:50		1603346		1249830		353516		
20:03:52		1603667		1249795		353872		
20:03:54		1603635		1249903		353732		
20:03:56		1603692		1249960		353732		
20:03:58		1603739		1250123		353616		
20:04:00		1603845		1246861		356984		
20:04:02		1601511		1246899		354612		
20:04:04		1601366		1246898		354468		
20:04:06		1601379		1246935		354444		
20:04:08		1601409		1247605		353804		
20:04:10		1601903		1247235		354668		
20:04:12		1601704		1247016		354688		
20:04:14		1601523		1246927		354596		
20:04:16		1601437		1248605		352832		
20:04:18		1602616		1247232		355384		
20:04:20		1601796		948660		653136		
20:04:22		1401661		920513		481148		
20:04:24		1403596		948736		454860		
20:04:26		1401616		948244		453372		
20:04:28		1401365		948117		453248		
20:04:30		1401285		948665		452620		
20:04:32		1401645		948645		453000		
20:04:32		1401673		948673		453000		
