recorded by mmserver domain:[id:6 time:Sun Feb  3 16:38:39 2013
]
time		tg_mem		use_mem		free_mem		
16:38:41		1051448		221376		830072		
16:38:43		1049998		221290		828708		
16:38:45		1049937		221353		828584		
16:38:47		1050025		221441		828584		
16:38:49		1050113		221405		828708		
16:38:51		1050077		221369		828708		
16:38:53		1045565		221197		824368		
16:38:56		1040739		221207		819532		
16:38:58		1039673		221257		818416		
16:39:00		1039747		221331		818416		
16:39:02		1039524		221232		818292		
16:39:04		1039102		221182		817920		
16:39:06		1038621		221197		817424		
16:39:08		1037976		221172		816804		
16:39:10		1042707		223299		819408		
16:39:12		1039743		220335		819408		
16:39:14		1032760		213352		819408		
16:39:16		1023690		220898		802792		
16:39:18		1029672		223904		805768		
16:39:20		1029030		220906		808124		
16:39:22		1039583		229475		810108		
16:39:24		1019623		220923		798700		
16:39:26		1015772		220916		794856		
16:39:28		1013456		220956		792500		
16:39:30		1001078		220978		780100		
16:39:32		1002400		221432		780968		
16:39:34		1000626		220898		779728		
16:39:36		998795		220803		777992		
16:39:38		995725		220833		774892		
16:39:40		993861		220829		773032		
16:39:42		989691		220875		768816		
16:39:44		983463		220847		762616		
16:39:46		977281		220865		756416		
16:39:48		974932		220872		754060		
16:39:50		972186		220854		751332		
16:39:52		970950		220858		750092		
16:39:54		969020		220912		748108		
16:39:56		968974		220866		748108		
16:39:58		968831		220847		747984		
16:40:00		968812		220828		747984		
16:40:02		971347		221503		749844		
16:40:04		970609		220889		749720		
16:40:06		968556		220944		747612		
16:40:08		967074		220950		746124		
16:40:10		966114		220982		745132		
16:40:12		966245		221113		745132		
16:40:14		964725		220957		743768		
16:40:16		957842		220894		736948		
16:40:18		956494		220910		735584		
16:40:20		957716		221388		736328		
16:40:22		957712		221384		736328		
16:40:24		957624		221296		736328		
16:40:26		957449		221121		736328		
16:40:28		957306		220978		736328		
16:40:30		957201		220873		736328		
16:40:32		956983		220903		736080		
16:40:34		956870		220914		735956		
16:40:36		956709		220877		735832		
16:40:38		956549		220841		735708		
16:40:40		956328		220868		735460		
16:40:42		956051		220839		735212		
16:40:44		955530		220814		734716		
16:40:46		954743		220895		733848		
16:40:48		954009		220905		733104		
16:40:50		954946		221470		733476		
16:40:52		954918		221442		733476		
16:40:54		954697		221221		733476		
16:40:56		954327		220851		733476		
16:40:58		954036		220808		733228		
16:41:00		953580		220848		732732		
16:41:02		952047		220927		731120		
16:41:04		952712		221468		731244		
16:41:06		952760		221392		731368		
16:41:08		952559		221191		731368		
16:41:10		952482		221114		731368		
16:41:12		953001		221385		731616		
16:41:14		953122		221382		731740		
16:41:16		953219		221479		731740		
16:41:18		953316		221452		731864		
16:41:20		949411		220895		728516		
16:41:22		946846		220810		726036		
16:41:24		941801		220849		720952		
16:41:26		941245		220913		720332		
16:41:28		940912		220828		720084		
16:41:30		940902		220818		720084		
16:41:32		940467		220879		719588		
16:41:34		939031		220807		718224		
16:41:36		938439		220835		717604		
16:41:38		937103		220863		716240		
16:41:40		936834		220842		715992		
16:41:42		936564		220820		715744		
16:41:45		935724		220848		714876		
16:41:47		936447		221447		715000		
16:41:49		936549		221425		715124		
16:41:51		936552		221428		715124		
16:41:53		936555		221431		715124		
16:41:55		937327		221459		715868		
16:41:57		937281		221413		715868		
16:41:59		937259		221391		715868		
16:42:01		937264		221396		715868		
16:42:03		937244		221376		715868		
16:42:05		937125		221257		715868		
16:42:07		937255		221387		715868		
16:42:09		939622		221398		718224		
16:42:11		939310		221086		718224		
16:42:13		939518		221294		718224		
16:42:15		939857		221385		718472		
16:42:17		944147		223071		721076		
16:42:19		951963		224811		727152		
16:42:21		1017093		289941		727152		
16:42:23		1006230		221418		784812		
16:42:25		1016379		226235		790144		
16:42:27		1014921		221429		793492		
16:42:29		1011356		220840		790516		
16:42:31		1009625		220845		788780		
16:42:33		1006779		220851		785928		
16:42:35		1004156		220832		783324		
16:42:37		1016781		230357		786424		
16:42:39		1015494		221382		794112		
16:42:41		1012943		220815		792128		
16:42:43		1005382		220818		784564		
16:42:45		997127		220871		776256		
16:42:47		984484		220876		763608		
16:42:49		974420		220856		753564		
16:42:51		968796		220812		747984		
16:42:53		968083		220843		747240		
16:42:55		962858		220826		742032		
16:42:57		960115		220811		739304		
16:42:59		958612		220920		737692		
16:43:01		951355		220855		730500		
16:43:03		949827		220815		729012		
16:43:05		940388		220800		719588		
16:43:07		940321		220857		719464		
16:43:09		937651		220915		716736		
16:43:11		936146		220898		715248		
16:43:13		935807		220807		715000		
16:43:15		934649		220889		713760		
16:43:17		933715		220823		712892		
16:43:19		933227		220831		712396		
16:43:21		932441		220913		711528		
16:43:23		931857		220825		711032		
16:43:25		933183		221407		711776		
16:43:27		930243		220823		709420		
16:43:29		1016013		303245		712768		
16:43:31		1013490		221486		792004		
16:43:33		993796		220888		772908		
16:43:35		991926		220878		771048		
16:43:37		991320		220892		770428		
16:43:39		991427		220999		770428		
16:43:41		985114		220886		764228		
16:43:43		976048		220872		755176		
16:43:45		974150		220834		753316		
16:43:47		971030		220814		750216		
16:43:49		967711		220843		746868		
16:43:51		967368		220872		746496		
16:43:53		967100		220852		746248		
16:43:55		967452		221204		746248		
16:43:57		966961		220837		746124		
16:43:59		966619		220867		745752		
16:44:01		967616		221492		746124		
16:44:03		967844		221472		746372		
16:44:05		970725		222245		748480		
16:44:07		970135		221407		748728		
16:44:09		968850		220866		747984		
16:44:11		967739		220871		746868		
16:44:13		967681		220813		746868		
16:44:15		967611		220867		746744		
16:44:17		967641		220897		746744		
16:44:19		967646		220902		746744		
16:44:21		967651		220907		746744		
16:44:23		967581		220837		746744		
16:44:25		967511		220891		746620		
16:44:27		967491		220871		746620		
16:44:29		967397		220901		746496		
16:44:31		967402		220906		746496		
16:44:33		998027		249299		748728		
16:44:35		971671		221455		750216		
16:44:37		994508		237596		756912		
16:44:39		1022031		221471		800560		
16:44:41		997157		220901		776256		
16:44:44		993016		220852		772164		
16:44:46		995348		221448		773900		
16:44:48		995497		221473		774024		
16:44:50		994829		220805		774024		
16:44:52		994953		220929		774024		
16:44:54		994334		220806		773528		
16:44:56		998818		222810		776008		
16:44:58		996753		220869		775884		
16:45:00		995284		220888		774396		
16:45:02		985432		220832		764600		
16:45:04		983367		220875		762492		
16:45:06		982369		220869		761500		
16:45:08		980948		220812		760136		
16:45:10		980049		220905		759144		
16:45:12		979720		220824		758896		
16:45:14		979565		220917		758648		
16:45:16		978343		220811		757532		
16:45:18		977568		220904		756664		
16:45:20		999392		240868		758524		
16:45:22		1002145		221425		780720		
16:45:24		998177		220805		777372		
16:45:26		997013		220881		776132		
16:45:28		996469		220833		775636		
16:45:30		996321		220809		775512		
16:45:32		995950		220810		775140		
16:45:34		995952		220812		775140		
16:45:36		995929		220913		775016		
16:45:38		996005		220989		775016		
16:45:40		996057		221041		775016		
16:45:42		996060		221044		775016		
16:45:44		1003961		226713		777248		
16:45:46		997580		220828		776752		
16:45:48		994149		220869		773280		
16:45:50		991389		220837		770552		
16:45:52		989990		220926		769064		
16:45:54		989990		220926		769064		
16:45:56		989352		220908		768444		
16:45:58		987947		220867		767080		
16:46:00		984675		220819		763856		
16:46:02		982072		220820		761252		
16:46:04		984399		221411		762988		
16:46:06		984468		221480		762988		
16:46:08		984935		221451		763484		
16:46:10		984996		221388		763608		
16:46:12		984909		221301		763608		
16:46:14		984909		221301		763608		
16:46:16		1000982		234894		766088		
16:46:18		981450		220818		760632		
16:46:20		976922		220878		756044		
16:46:22		974417		220853		753564		
16:46:24		972976		220900		752076		
16:46:26		971249		220909		750340		
16:46:28		970107		220883		749224		
16:46:30		964406		220886		743520		
16:46:32		960162		220858		739304		
16:46:34		958348		220904		737444		
16:46:36		957761		220813		736948		
16:46:38		955461		220869		734592		
16:46:40		952384		220892		731492		
16:46:42		949254		220862		728392		
16:46:44		945221		220921		724300		
16:46:46		942994		220802		722192		
16:46:48		940763		220803		719960		
16:46:50		939806		220838		718968		
16:46:52		938899		220923		717976		
16:46:54		938835		220859		717976		
16:46:56		938399		220919		717480		
16:46:58		937938		220830		717108		
16:47:00		937653		220917		716736		
16:47:02		937590		220854		716736		
16:47:04		937181		220817		716364		
16:47:06		936771		220903		715868		
16:47:08		936138		220890		715248		
16:47:10		933918		220902		713016		
16:47:12		933906		220890		713016		
