recorded by mmserver domain:[id:5 time:Sun Feb  3 16:04:52 2013
]
time		tg_mem		use_mem		free_mem		
16:04:54		1048576		218840		829736		
16:04:56		1048515		218779		829736		
16:04:58		1049000		218892		830108		
16:05:00		1049584		218856		830728		
16:05:02		1049920		218820		831100		
16:05:04		1048421		218313		830108		
16:05:06		1038141		218325		819816		
16:05:08		1033986		218262		815724		
16:05:10		1033949		218225		815724		
16:05:12		1029794		218286		811508		
16:05:14		1025739		218323		807416		
16:05:16		1021634		218310		803324		
16:05:18		1017530		218298		799232		
16:05:20		1014219		218211		796008		
16:05:22		1011503		218223		793280		
16:05:24		1005612		218284		787328		
16:05:26		1004136		218296		785840		
16:05:28		1002462		218234		784228		
16:05:30		1000986		218246		782740		
16:05:32		999857		218233		781624		
16:05:34		998902		218270		780632		
16:05:36		988895		218183		770712		
16:05:38		998347		225403		772944		
16:05:40		991216		218272		772944		
16:05:42		980614		218210		762404		
16:05:44		975641		218197		757444		
16:05:46		975802		218358		757444		
16:05:48		971772		218172		753600		
16:05:50		967741		218233		749508		
16:05:52		967927		218419		749508		
16:05:55		964095		218183		745912		
16:05:57		967926		221518		746408		
16:05:59		973444		222696		750748		
16:06:01		978738		218690		760048		
16:06:03		978899		218727		760172		
16:06:05		984565		221789		762776		
16:06:07		990653		222297		768356		
16:06:09		995650		218738		776912		
16:06:11		994794		218130		776664		
16:06:13		996418		218762		777656		
16:06:15		1001001		219129		781872		
16:06:17		1004989		220513		784476		
16:06:19		1010234		218690		791544		
16:06:21		1013247		220711		792536		
16:06:23		1018070		219582		798488		
16:06:25		1021876		218676		803200		
16:06:27		1025587		221271		804316		
16:06:29		1030835		222551		808284		
16:06:31		1036728		218756		817972		
16:06:33		1037970		219254		818716		
16:06:35		1047471		227391		820080		
16:06:37		1051294		218690		832604		
16:06:39		1048400		218152		830248		
16:06:41		1048184		218060		830124		
16:06:43		1048141		218141		830000		
16:06:45		1048198		218198		830000		
16:06:47		1048255		218255		830000		
16:06:49		1048312		218312		830000		
16:06:49		1048369		218369		830000		
