recorded by mmserver domain:[id:18 time:Tue Feb  5 09:16:17 2013
]
time		tg_mem		use_mem		free_mem		
09:16:19		1095363		1021391		73972		
09:16:21		1095892		1038596		57296		
09:16:23		1097272		1031548		65724		
09:16:25		1096706		1021142		75564		
09:16:27		1095867		1021919		73948		
09:16:29		1095917		1025301		70616		
09:16:31		1096189		1027433		68756		
09:16:33		1096365		1027609		68756		
09:16:35		1096382		1027626		68756		
09:16:37		1096384		1027628		68756		
09:16:39		1096384		1027752		68632		
09:16:41		1096394		1027762		68632		
09:16:43		1096395		1027887		68508		
09:16:45		1096405		1028021		68384		
09:16:47		1096416		1028032		68384		
09:16:50		1096417		1027201		69216		
09:16:52		1096351		1027135		69216		
09:16:54		1096344		1025392		70952		
09:16:56		1096205		1029345		66860		
09:16:58		1096518		1033014		63504		
09:17:00		1096818		1041374		55444		
09:17:02		1097493		1040313		57180		
09:17:04		1097414		1041102		56312		
09:17:06		1097470		1024122		73348		
09:17:08		1096113		1020733		75380		
09:17:10		1095822		950242		145580		
09:17:12		1090179		993867		96312		
09:17:14		1093668		1021820		71848		
09:17:16		1095952		1021996		73956		
09:17:18		1095952		1030732		65220		
09:17:20		1096662		1025862		70800		
09:17:22		1096276		1021496		74780		
09:17:24		1095919		1033931		61988		
09:17:26		1096906		1015950		80956		
09:17:28		1095480		1020732		74748		
09:17:30		1095839		1023955		71884		
09:17:32		1096105		1033529		62576		
09:17:34		1096874		1037522		59352		
09:17:36		1097207		1041823		55384		
09:17:38		1097551		1043159		54392		
09:17:40		1097658		1027150		70508		
09:17:42		1096377		1022373		74004		
09:17:44		1095969		1024937		71032		
09:17:46		1096166		1031146		65020		
09:17:48		1096667		1038211		58456		
09:17:50		1097242		1025286		71956		
09:17:52		1096219		1021735		74484		
09:17:54		1095900		1020160		75740		
09:17:56		1095774		1020266		75508		
09:17:58		1095782		1020182		75600		
09:18:00		1095776		1020100		75676		
09:18:02		1095769		1022457		73312		
09:18:04		1095958		1022770		73188		
09:18:06		1095986		1029618		66368		
09:18:08		1096532		1027808		68724		
09:18:10		1096399		1028907		67492		
09:18:12		1096484		1020700		75784		
09:18:14		1095829		1020665		75164		
09:18:16		1095813		1024709		71104		
09:18:18		1096136		1024412		71724		
09:18:20		1096119		1025263		70856		
09:18:22		1096187		1023395		72792		
09:18:24		1096039		1022179		73860		
09:18:26		1095938		1021946		73992		
09:18:28		1095938		1027526		68412		
09:18:30		1096364		1026588		69776		
09:18:32		1096298		1031606		64692		
09:18:34		1096698		1030394		66304		
09:18:36		1096609		1022369		74240		
09:18:38		1095965		1030205		65760		
09:18:40		1096579		1025859		70720		
09:18:42		1096244		1026088		70156		
09:18:44		1096255		1029811		66444		
09:18:46		1096553		1041909		54644		
09:18:48		1097527		1022071		75456		
09:18:50		1095952		1020992		74960		
09:18:52		1095839		1020011		75828		
09:18:54		1095761		1023901		71860		
09:18:56		1096071		1028799		67272		
09:18:58		1096469		1022861		73608		
09:19:00		1096002		1039002		57000		
09:19:02		1097284		1021820		75464		
09:19:04		1095935		1031011		64924		
09:19:06		1096643		1021303		75340		
09:19:08		1095881		1020417		75464		
09:19:10		1095792		1022204		73588		
09:19:12		1095936		1022008		73928		
09:19:14		1095923		1020507		75416		
09:19:16		1095803		1020015		75788		
09:19:18		1095761		1026669		69092		
09:19:20		1096293		1031789		64504		
09:19:22		1096713		1021917		74796		
