record in kb
time		total		used		free
[18:58:31]		1048572		0		1048572
[18:58:34]		1048572		0		1048572
[18:58:37]		1048572		0		1048572
[18:58:40]		1048572		0		1048572
[18:58:43]		1048572		0		1048572
[18:58:46]		1048572		0		1048572
[18:58:49]		1048572		0		1048572
[18:58:52]		1048572		0		1048572
[18:58:55]		1048572		0		1048572
[18:58:58]		1048572		0		1048572
[18:59:01]		1048572		0		1048572
[18:59:04]		1048572		0		1048572
[18:59:07]		1048572		0		1048572
[18:59:10]		1048572		0		1048572
[18:59:13]		1048572		0		1048572
[18:59:16]		1048572		0		1048572
[18:59:19]		1048572		0		1048572
[18:59:22]		1048572		0		1048572
[18:59:25]		1048572		0		1048572
[18:59:28]		1048572		0		1048572
[18:59:31]		1048572		0		1048572
[18:59:34]		1048572		0		1048572
[18:59:37]		1048572		0		1048572
[18:59:40]		1048572		0		1048572
[18:59:43]		1048572		0		1048572
[18:59:46]		1048572		0		1048572
[18:59:49]		1048572		0		1048572
[18:59:52]		1048572		32		1048540
[18:59:55]		1048572		32		1048540
[18:59:58]		1048572		32		1048540
[19:00:01]		1048572		32		1048540
[19:00:04]		1048572		324		1048248
[19:00:07]		1048572		324		1048248
[19:00:10]		1048572		1380		1047192
[19:00:13]		1048572		2364		1046208
[19:00:16]		1048572		6912		1041660
[19:00:19]		1048572		12076		1036496
[19:00:22]		1048572		12876		1035696
[19:00:25]		1048572		12876		1035696
[19:00:28]		1048572		12876		1035696
[19:00:31]		1048572		12876		1035696
[19:00:34]		1048572		12876		1035696
[19:00:37]		1048572		12876		1035696
[19:00:40]		1048572		12876		1035696
[19:00:43]		1048572		12876		1035696
[19:00:46]		1048572		12868		1035704
[19:00:49]		1048572		12864		1035708
[19:00:52]		1048572		12864		1035708
[19:00:55]		1048572		12864		1035708
[19:00:58]		1048572		12864		1035708
[19:01:01]		1048572		12864		1035708
[19:01:04]		1048572		12864		1035708
[19:01:07]		1048572		12864		1035708
[19:01:10]		1048572		12864		1035708
[19:01:13]		1048572		12864		1035708
[19:01:16]		1048572		12864		1035708
[19:01:19]		1048572		12864		1035708
[19:01:22]		1048572		12864		1035708
[19:01:25]		1048572		12864		1035708
[19:01:28]		1048572		12864		1035708
[19:01:31]		1048572		12864		1035708
[19:01:34]		1048572		12864		1035708
[19:01:37]		1048572		12864		1035708
[19:01:40]		1048572		12864		1035708
[19:01:43]		1048572		12864		1035708
[19:01:46]		1048572		12864		1035708
[19:01:49]		1048572		12864		1035708
[19:01:52]		1048572		12864		1035708
[19:01:55]		1048572		12864		1035708
[19:01:58]		1048572		12864		1035708
[19:02:01]		1048572		12864		1035708
[19:02:04]		1048572		12864		1035708
[19:02:07]		1048572		12864		1035708
[19:02:10]		1048572		12864		1035708
[19:02:13]		1048572		12864		1035708
[19:02:16]		1048572		12864		1035708
[19:02:19]		1048572		12864		1035708
[19:02:22]		1048572		12864		1035708
[19:02:25]		1048572		12864		1035708
[19:02:28]		1048572		12864		1035708
[19:02:31]		1048572		12864		1035708
[19:02:34]		1048572		12864		1035708
[19:02:37]		1048572		12864		1035708
[19:02:40]		1048572		12864		1035708
[19:02:43]		1048572		12864		1035708
[19:02:46]		1048572		12864		1035708
[19:02:49]		1048572		12864		1035708
[19:02:52]		1048572		12864		1035708
[19:02:55]		1048572		12864		1035708
[19:02:58]		1048572		12864		1035708
[19:03:01]		1048572		12864		1035708
[19:03:04]		1048572		12864		1035708
[19:03:07]		1048572		12864		1035708
[19:03:10]		1048572		12864		1035708
[19:03:14]		1048572		12864		1035708
[19:03:17]		1048572		12864		1035708
[19:03:20]		1048572		12864		1035708
[19:03:23]		1048572		12864		1035708
[19:03:26]		1048572		12864		1035708
