recorded by mmserver domain:[id:7 time:Mon Feb  4 11:14:51 2013
]
time		tg_mem		use_mem		free_mem		
11:14:53		1274441		993189		281252		
11:14:55		1274441		993189		281252		
11:14:57		1274441		993561		280880		
11:14:59		1274590		1016494		258096		
11:15:01		1283778		1043214		240564		
11:15:03		1294604		1041200		253404		
11:15:05		1293802		1043994		249808		
11:15:07		1294839		1046023		248816		
11:15:09		1295730		1048030		247700		
11:15:11		1296535		1047967		248568		
11:15:13		1296516		1048072		248444		
11:15:15		1296531		1049203		247328		
11:15:17		1296985		1049409		247576		
11:15:19		1297088		1049512		247576		
11:15:21		1297115		1048795		248320		
11:15:23		1296818		1048498		248320		
11:15:25		1296668		1048472		248196		
11:15:27		1296643		1045267		251376		
11:15:29		1295359		1059011		236348		
11:15:31		1300753		1067753		233000		
11:15:33		1304417		1083965		220452		
11:15:35		1310909		1085249		225660		
11:15:37		1311427		1090479		220948		
11:15:39		1313509		1091941		221568		
11:15:41		1314091		1096515		217576		
11:15:43		1315942		1101334		214608		
11:15:45		1317869		1117645		200224		
11:15:47		1324375		1047023		277352		
11:15:49		1296144		1139824		156320		
11:15:51		1330938		1156810		174128		
11:15:53		1340083		1165111		174972		
11:15:55		1343388		1172152		171236		
11:15:57		1346225		1183133		163092		
11:15:59		1350616		1196572		154044		
11:16:01		1355972		1208164		147808		
11:16:03		1360623		1241719		118904		
11:16:05		1374040		1230248		143792		
11:16:07		1369467		1233195		136272		
11:16:09		1370412		1238480		131932		
11:16:11		1372620		1246392		126228		
11:16:13		1375907		1250455		125452		
11:16:15		1377538		1257170		120368		
11:16:17		1380227		1264463		115764		
11:16:19		1383140		1274568		108572		
11:16:21		1387188		1287048		100140		
11:16:23		1392174		1291662		100512		
11:16:25		1393997		1303273		90724		
11:16:27		1398650		1321954		76696		
11:16:29		1406104		1331812		74292		
11:16:31		1410061		1334529		75532		
11:16:33		1411134		1345966		65168		
11:16:35		1415704		1340556		75148		
11:16:37		1413539		1338515		75024		
11:16:39		1412543		1338883		73660		
11:16:41		1412690		1346098		66592		
11:16:43		1415603		1346903		68700		
11:16:45		1416117		1346921		69196		
11:16:47		1416138		1346942		69196		
11:16:49		1416137		1347189		68948		
11:16:51		1416222		1340578		75644		
11:16:53		1413587		1339927		73660		
11:16:55		1413100		1337456		75644		
11:16:57		1412125		1337473		74652		
11:16:59		1412121		1338833		73288		
11:17:01		1412677		1324881		87796		
11:17:03		1407135		1327027		80108		
11:17:05		1407949		1326717		81232		
11:17:07		1407909		1341309		66600		
11:17:09		1413741		1338213		75528		
11:17:11		1412640		1346536		66104		
11:17:13		1415859		1337851		78008		
11:17:15		1412472		1337688		74784		
11:17:17		1412229		1338933		73296		
11:17:19		1412716		1344156		68560		
11:17:21		1414853		1355137		59716		
11:17:23		1419409		1329097		90312		
11:17:25		1409003		1326815		82188		
11:17:27		1407843		1326555		81288		
11:17:29		1407760		1326596		81164		
11:17:31		1407779		1326647		81132		
11:17:34		1407802		1326826		80976		
11:17:36		1407876		1327460		80416		
11:17:38		1408137		1328437		79700		
11:17:40		1408553		1329165		79388		
11:17:42		1408886		1329810		79076		
11:17:44		1409178		1330538		78640		
11:17:46		1409498		1330858		78640		
11:17:48		1409606		1332306		77300		
11:17:50		1410214		1332830		77384		
11:17:52		1410443		1333495		76948		
11:17:54		1410564		1335316		75248		
11:17:56		1411314		1336286		75028		
11:17:58		1411762		1337606		74156		
11:18:00		1412284		1339056		73228		
11:18:02		1412880		1340148		72732		
11:18:04		1412880		1339748		73132		
11:18:06		1413160		1340524		72636		
11:18:08		1413455		1341535		71920		
11:18:10		1413876		1342796		71080		
11:18:12		1414374		1345286		69088		
11:18:14		1415382		1346422		68960		
11:18:16		1415825		1347861		67964		
11:18:18		1416396		1349724		66672		
11:18:20		1417149		1351785		65364		
11:18:22		1417961		1349649		68312		
11:18:24		1417114		1340866		76248		
11:18:26		1413528		1350176		63352		
11:18:28		1417191		1338183		79008		
11:18:30		1412637		1341317		71320		
11:18:32		1413658		1344690		68968		
11:18:34		1415109		1345397		69712		
11:18:36		1415525		1345441		70084		
11:18:38		1415547		1345307		70240		
11:18:40		1415495		1345255		70240		
11:18:42		1415469		1322353		93116		
11:18:44		1406307		1322367		83940		
11:18:46		1405867		1322299		83568		
11:18:48		1406056		1322772		83284		
11:18:50		1406289		1323005		83284		
11:18:52		1406418		1326278		80140		
11:18:54		1407739		1327103		80636		
11:18:56		1408164		1327776		80388		
11:18:58		1408476		1330940		77536		
11:19:00		1409723		1333179		76544		
11:19:02		1410619		1333455		77164		
11:19:04		1410720		1332812		77908		
