recorded by mmserver domain:[id:14 time:Mon Feb  4 18:59:45 2013
]
time		tg_mem		use_mem		free_mem		
18:59:47		1225541		994729		230812		
18:59:49		1229588		994808		234780		
18:59:51		1229639		1014751		214888		
18:59:53		1236015		1040391		195624		
18:59:55		1244224		1041860		202364		
18:59:57		1244696		1044636		200060		
18:59:59		1245583		1046763		198820		
19:00:01		1246264		1048684		197580		
19:00:03		1246883		1049799		197084		
19:00:05		1247230		1050022		197208		
19:00:07		1247309		1050845		196464		
19:00:09		1247559		1050103		197456		
19:00:11		1247322		1049990		197332		
19:00:13		1247266		1049934		197332		
19:00:15		1247244		1048548		198696		
19:00:17		1246799		1048367		198432		
19:00:19		1246706		1026202		220504		
19:00:21		1239605		1052725		186880		
19:00:23		1248040		1064500		183540		
19:00:25		1251977		1079745		172232		
19:00:27		1256853		1085877		170976		
19:00:29		1258819		1092183		166636		
19:00:31		1260816		1094676		166140		
19:00:33		1261584		1100040		161544		
19:00:35		1263293		1104345		158948		
19:00:37		1264689		1115165		149524		
19:00:39		1268143		1044471		223672		
19:00:41		1245520		1091968		153552		
19:00:43		1259802		1155206		104596		
19:00:45		1280962		1165642		115320		
19:00:47		1284358		1170270		114088		
19:00:49		1285842		1181514		104328		
19:00:51		1289440		1208124		81316		
19:00:53		1297956		1210112		87844		
19:00:55		1298589		1214009		84580		
19:00:57		1299837		1217041		82796		
19:00:59		1300808		1225476		75332		
19:01:01		1303506		1231406		72100		
19:01:03		1305401		1238565		66836		
19:01:05		1307695		1232863		74832		
19:01:07		1305875		1236763		69112		
19:01:09		1306977		1233357		73620		
19:01:11		1305976		1234712		71264		
19:01:13		1306329		1235065		71264		
19:01:15		1306470		1241530		64940		
19:01:17		1308550		1233062		75488		
19:01:19		1305938		1233906		72032		
19:01:21		1306008		1236116		69892		
19:01:23		1306741		1239949		66792		
19:01:25		1308026		1238506		69520		
19:01:27		1307657		1238013		69644		
19:01:29		1307470		1234974		72496		
19:01:31		1306472		1230876		75596		
19:01:33		1305079		1230351		74728		
19:01:35		1304879		1230895		73984		
19:01:37		1305057		1231321		73736		
19:01:39		1305207		1238539		66668		
19:01:41		1307519		1236635		70884		
19:01:43		1307075		1236067		71008		
19:01:45		1306858		1235850		71008		
19:01:47		1306858		1231634		75224		
19:01:49		1305416		1215932		89484		
19:01:51		1300283		1216627		83656		
19:01:53		1300482		1217934		82548		
19:01:55		1300911		1223447		77464		
19:01:57		1302715		1226119		76596		
19:01:59		1303714		1232202		71512		
19:02:01		1305671		1232079		73592		
19:02:03		1305619		1230011		75608		
19:02:05		1304954		1232322		72632		
19:02:07		1305640		1237224		68416		
19:02:09		1307263		1242559		64704		
19:02:11		1308971		1249747		59224		
19:02:13		1311269		1250069		61200		
19:02:16		1311368		1232364		79004		
19:02:18		1305700		1220628		85072		
19:02:20		1301759		1231443		70316		
19:02:22		1305232		1232096		73136		
19:02:24		1305609		1232381		73228		
19:02:26		1305700		1232784		72916		
19:02:28		1305826		1232818		73008		
19:02:30		1305818		1233370		72448		
