record in kb
time		total		used		free
[18:27:03]		1048572		0		1048572
[18:27:06]		1048572		0		1048572
[18:27:09]		1048572		0		1048572
[18:27:12]		1048572		0		1048572
[18:27:15]		1048572		0		1048572
[18:27:18]		1048572		0		1048572
[18:27:21]		1048572		0		1048572
[18:27:24]		1048572		0		1048572
[18:27:27]		1048572		0		1048572
[18:27:30]		1048572		0		1048572
[18:27:33]		1048572		0		1048572
[18:27:36]		1048572		0		1048572
[18:27:39]		1048572		0		1048572
[18:27:42]		1048572		0		1048572
[18:27:45]		1048572		0		1048572
[18:27:48]		1048572		0		1048572
[18:27:51]		1048572		0		1048572
[18:27:54]		1048572		0		1048572
[18:27:57]		1048572		0		1048572
[18:28:00]		1048572		0		1048572
[18:28:03]		1048572		0		1048572
[18:28:06]		1048572		0		1048572
[18:28:09]		1048572		0		1048572
[18:28:12]		1048572		0		1048572
[18:28:15]		1048572		0		1048572
[18:28:18]		1048572		0		1048572
[18:28:21]		1048572		0		1048572
[18:28:24]		1048572		0		1048572
[18:28:27]		1048572		0		1048572
[18:28:30]		1048572		0		1048572
[18:28:33]		1048572		0		1048572
[18:28:36]		1048572		0		1048572
[18:28:39]		1048572		0		1048572
[18:28:42]		1048572		0		1048572
[18:28:45]		1048572		0		1048572
[18:28:48]		1048572		0		1048572
[18:28:51]		1048572		0		1048572
[18:28:54]		1048572		60		1048512
[18:28:57]		1048572		192		1048380
[18:29:00]		1048572		764		1047808
[18:29:03]		1048572		764		1047808
[18:29:06]		1048572		764		1047808
[18:29:09]		1048572		764		1047808
[18:29:12]		1048572		764		1047808
[18:29:15]		1048572		764		1047808
[18:29:18]		1048572		764		1047808
[18:29:21]		1048572		764		1047808
[18:29:24]		1048572		764		1047808
[18:29:27]		1048572		764		1047808
[18:29:30]		1048572		3240		1045332
[18:29:33]		1048572		3240		1045332
[18:29:36]		1048572		4120		1044452
[18:29:39]		1048572		5924		1042648
[18:29:42]		1048572		5924		1042648
[18:29:45]		1048572		5924		1042648
[18:29:48]		1048572		12672		1035900
[18:29:52]		1048572		12672		1035900
[18:29:55]		1048572		12672		1035900
[18:29:58]		1048572		12672		1035900
[18:30:01]		1048572		12672		1035900
[18:30:04]		1048572		12672		1035900
[18:30:07]		1048572		12672		1035900
[18:30:10]		1048572		12672		1035900
[18:30:13]		1048572		12672		1035900
[18:30:16]		1048572		12672		1035900
[18:30:19]		1048572		12672		1035900
[18:30:22]		1048572		12672		1035900
[18:30:25]		1048572		12672		1035900
[18:30:28]		1048572		12672		1035900
[18:30:31]		1048572		12672		1035900
[18:30:34]		1048572		12672		1035900
[18:30:37]		1048572		12672		1035900
[18:30:40]		1048572		12868		1035704
[18:30:43]		1048572		12868		1035704
[18:30:46]		1048572		12868		1035704
[18:30:49]		1048572		12868		1035704
[18:30:52]		1048572		12868		1035704
[18:30:55]		1048572		12868		1035704
[18:30:58]		1048572		12868		1035704
