recorded by mmserver domain:[id:2 time:Fri Mar 22 20:59:38 2013
]
time		tg_mem		use_mem		free_mem		
20:59:40		1048576		225368		823208		
20:59:44		524288		231320		292968		
20:59:46		524288		231328		292960		
20:59:48		524288		234972		289316		
20:59:50		524288		234972		289316		
20:59:52		524288		237088		287200		
20:59:54		524288		241708		282580		
20:59:56		464144		245300		218844		
20:59:58		453504		247028		206476		
21:00:00		439392		248788		190604		
21:00:02		409780		250144		159636		
21:00:04		397032		251812		145220		
21:00:06		394700		253820		140880		
21:00:08		394724		255736		138988		
21:00:10		395120		257588		137532		
21:00:12		395516		259224		136292		
21:00:14		395540		260984		134556		
21:00:16		395440		262808		132632		
21:00:18		395340		264472		130868		
21:00:20		395240		266264		128976		
21:00:22		395140		267744		127396		
21:00:24		395040		269756		125284		
21:00:26		395064		271452		123612		
21:00:28		395088		273244		121844		
21:00:30		395618		275074		120544		
21:00:32		396736		276720		120016		
21:00:34		397498		278474		119024		
21:00:36		398384		280164		118220		
21:00:38		399238		281950		117288		
21:00:40		401736		283548		118188		
21:00:42		402548		285260		117288		
21:00:44		403376		287080		116296		
21:00:46		404328		289024		115304		
21:00:48		405280		290628		114652		
21:00:50		406062		292246		113816		
21:00:52		406890		293974		112916		
21:00:54		407734		295654		112080		
21:00:56		408562		297474		111088		
21:00:58		409514		299326		110188		
21:01:00		410420		301224		109196		
21:01:02		411388		302748		108640		
21:01:04		411576		304704		106872		
21:01:06		413144		306396		106748		
21:01:08		413968		307744		106224		
21:01:10		414620		290764		123856		
21:01:12		406394		293074		113320		
21:01:14		403312		294984		108328		
21:01:16		396526		296690		99836		
21:01:18		397334		298366		98968		
21:01:20		398022		300170		97852		
21:01:22		398524		301788		96736		
21:01:24		399336		303500		95836		
21:01:26		404628		305256		99372		
21:01:28		405548		306984		98564		
21:01:30		406376		308836		97540		
21:01:32		407282		310454		96828		
21:01:34		408110		312150		95960		
21:01:36		408938		313814		95124		
21:01:38		409812		315556		94256		
21:01:40		410686		317330		93356		
21:01:42		411576		319088		92488		
21:01:44		412404		320784		91620		
21:01:46		413294		322634		90660		
21:01:48		414230		324222		90008		
21:01:50		414996		325948		89048		
21:01:52		415870		327598		88272		
21:01:54		416698		329418		87280		
21:01:56		417588		330988		86600		
21:01:58		557246		332482		224764		
21:02:00		557130		334102		223028		
21:02:02		542326		335602		206724		
21:02:04		536809		337153		199656		
21:02:06		527686		339066		188620		
21:02:08		516106		340970		175136		
21:02:10		503949		342641		161308		
21:02:12		449905		344057		105848		
21:02:14		442253		345737		96516		
21:02:16		440383		347431		92952		
21:02:18		431677		348829		82848		
21:02:20		422133		350633		71500		
21:02:22		419435		352479		66956		
21:02:24		421861		348465		73396		
21:02:26		419889		343609		76280		
21:02:28		415483		345435		70048		
21:02:30		416363		316555		99808		
21:02:32		402177		318393		83784		
21:02:34		403257		319905		83352		
21:02:36		404057		321697		82360		
21:02:38		402129		323397		78732		
21:02:40		402697		325049		77648		
21:02:42		403807		326843		76964		
21:02:44		404639		328419		76220		
21:02:46		405471		330119		75352		
21:02:48		403199		331751		71448		
21:02:50		403871		333571		70300		
21:02:52		406357		335189		71168		
21:02:54		407355		337055		70300		
21:02:57		408291		338611		69680		
21:02:59		410839		340479		70360		
21:03:01		412551		342159		70392		
21:03:03		413259		343923		69336		
21:03:05		419827		345691		74136		
21:03:07		420709		347625		73084		
21:03:09		421683		349439		72244		
21:03:11		422581		351025		71556		
21:03:13		423389		352981		70408		
21:03:15		424337		354673		69664		
21:03:17		425223		356675		68548		
21:03:19		571850		357870		213980		
21:03:21		562781		359573		203208		
21:03:23		557919		361407		196512		
21:03:25		549372		362936		186436		
21:03:27		537214		364542		172672		
21:03:29		521288		366160		155128		
21:03:31		500833		367965		132868		
21:03:33		471131		369495		101636		
21:03:35		462997		371281		91716		
21:03:37		460567		373191		87376		
21:03:39		453735		374883		78852		
21:03:41		449449		376673		72776		
21:03:43		442081		378365		63716		
21:03:45		444017		380605		63412		
21:03:47		445733		370705		75028		
21:03:49		436681		360713		75968		
21:03:51		432181		363765		68416		
21:03:53		433937		177729		256208		
21:03:55		345779		169131		176648		
21:03:57		345964		169068		176896		
21:03:58		501672		324776		176896		
