recorded by mmserver domain:[id:4 time:Fri Mar 22 20:59:38 2013
]
time		tg_mem		use_mem		free_mem		
20:59:40		524288		254692		269596		
20:59:42		524288		254692		269596		
20:59:44		524288		283960		240328		
20:59:46		524288		295120		229168		
20:59:48		524288		305536		218752		
20:59:50		524288		338768		185520		
20:59:52		524288		397420		126868		
20:59:54		524288		461552		62736		
20:59:56		584432		472192		112240		
20:59:58		595072		486304		108768		
21:00:00		609184		515916		93268		
21:00:02		638796		528664		110132		
21:00:04		651544		530996		120548		
21:00:06		653876		530972		122904		
21:00:08		653852		530576		123276		
21:00:10		653456		530180		123276		
21:00:12		653060		530156		122904		
21:00:14		653036		530256		122780		
21:00:16		653136		530356		122780		
21:00:18		653236		530456		122780		
21:00:20		653336		530556		122780		
21:00:22		653436		530656		122780		
21:00:24		653536		530632		122904		
21:00:26		653512		530608		122904		
21:00:28		653488		530584		122904		
21:00:30		652958		530178		122780		
21:00:32		651840		530300		121540		
21:00:34		651078		530282		120796		
21:00:36		650192		530264		119928		
21:00:38		649338		527054		122284		
21:00:40		646840		527028		119812		
21:00:42		646028		527084		118944		
21:00:44		645200		527000		118200		
21:00:46		644248		527040		117208		
21:00:48		643296		527080		116216		
21:00:50		642514		527042		115472		
21:00:52		641686		527082		114604		
21:00:54		640842		527106		113736		
21:00:56		640014		527022		112992		
21:00:58		639062		527062		112000		
21:01:00		638156		527024		111132		
21:01:02		637188		528172		109016		
21:01:04		637000		526992		110008		
21:01:06		635432		527036		108396		
21:01:08		634608		527080		107528		
21:01:10		633956		526552		107404		
21:01:12		642182		535026		107156		
21:01:14		645264		550508		94756		
21:01:16		652050		550598		101452		
21:01:18		651242		550898		100344		
21:01:20		650554		551698		98856		
21:01:22		650052		551692		98360		
21:01:24		649240		542820		106420		
21:01:26		643948		542736		101212		
21:01:28		643028		542808		100220		
21:01:30		642200		542848		99352		
21:01:32		641294		542810		98484		
21:01:34		640466		542850		97616		
21:01:36		639638		542766		96872		
21:01:38		638764		542760		96004		
21:01:40		637890		542754		95136		
21:01:42		637000		542856		94144		
21:01:44		636172		542772		93400		
21:01:46		635282		542750		92532		
21:01:48		634346		542806		91540		
21:01:50		633580		542784		90796		
21:01:52		632706		542778		89928		
21:01:54		631878		542818		89060		
21:01:56		630988		257748		373240		
21:01:58		491330		251390		239940		
21:02:00		491445		284613		206832		
21:02:02		506249		297433		208816		
21:02:04		511766		325642		186124		
21:02:06		520889		369857		151032		
21:02:08		532469		418761		113708		
21:02:10		544626		491406		53220		
21:02:12		598670		508126		90544		
21:02:14		606322		513546		92776		
21:02:16		608192		532652		75540		
21:02:18		616898		553138		63760		
21:02:20		626442		560338		66104		
21:02:22		629140		557332		71808		
21:02:24		626714		557262		69452		
21:02:26		628686		561218		67468		
21:02:28		633092		561284		71808		
21:02:30		632212		560776		71436		
21:02:32		646398		560454		85944		
21:02:34		645318		560366		84952		
21:02:36		644518		566014		78504		
21:02:38		646446		566578		79868		
21:02:40		645878		566010		79868		
21:02:42		644768		566140		78628		
21:02:44		643936		566052		77884		
21:02:46		643104		572296		70808		
21:02:48		645376		572584		72792		
21:02:50		644704		569432		75272		
21:02:52		642218		569054		73164		
21:02:54		641220		569048		72172		
21:02:57		640284		565508		74776		
21:02:59		637736		563952		73784		
21:03:01		636024		564216		71808		
21:03:03		635316		552844		82472		
21:03:05		628748		552848		75900		
21:03:07		627866		552834		75032		
21:03:09		626892		552852		74040		
21:03:11		625994		552822		73172		
21:03:13		625186		552882		72304		
21:03:15		624238		552802		71436		
21:03:17		623352		250980		372372		
21:03:19		476725		262825		213900		
21:03:21		485794		267306		218488		
21:03:23		490656		284940		205716		
21:03:25		499203		319155		180048		
21:03:27		511361		375829		135532		
21:03:29		527287		424863		102424		
21:03:31		547743		474279		73464		
21:03:33		577445		492077		85368		
21:03:35		585579		498723		86856		
21:03:37		588009		514297		73712		
21:03:39		594841		524561		70280		
21:03:41		599127		541087		58040		
21:03:43		606495		538907		67588		
21:03:45		604559		537715		66844		
21:03:47		602843		545919		56924		
21:03:49		611895		544927		66968		
21:03:51		616395		544467		71928		
21:03:53		614639		542959		71680		
21:03:55		702796		542456		160340		
21:03:57		702611		221675		480936		
21:03:58		546903		92503		454400		
