recorded by mmserver domain:[id:4 time:Sun Mar 24 14:19:41 2013
]
time		tg_mem		use_mem		free_mem		
14:19:43		655360		247208		408152		
14:19:45		524288		247204		277084		
14:19:47		524288		247204		277084		
14:19:49		524288		247204		277084		
14:19:51		524288		247204		277084		
14:19:53		524288		247204		277084		
14:19:55		524288		247204		277084		
14:19:57		524288		247204		277084		
14:19:59		524288		247204		277084		
14:20:01		524288		247204		277084		
14:20:03		524288		247204		277084		
14:20:05		524288		247204		277084		
14:20:07		492214		247114		245100		
14:20:09		484997		247213		237784		
14:20:11		478890		247058		231832		
14:20:13		472066		247186		224880		
14:20:15		466755		247207		219548		
14:20:17		460496		261116		199380		
14:20:19		456223		261183		195040		
14:20:21		452327		265683		186644		
14:20:23		450989		237269		213720		
14:20:25		427563		269183		158380		
14:20:27		425798		274366		151432		
14:20:29		406777		273977		132800		
14:20:31		396819		269195		127624		
14:20:33		375689		273453		102236		
14:20:35		379789		271353		108436		
14:20:37		374490		266790		107700		
14:20:39		366457		266825		99632		
14:20:41		364688		266668		98020		
14:20:43		356395		268543		87852		
14:20:45		353034		267166		85868		
14:20:47		350670		274102		76568		
14:20:49		353605		275301		78304		
14:20:51		353897		267085		86812		
14:20:54		344797		267145		77652		
14:20:56		344797		262197		82600		
14:20:58		338522		263014		75508		
14:21:00		336764		263264		73500		
14:21:02		337329		262777		74552		
14:21:04		335460		262936		72524		
14:21:06		337712		264976		72736		
14:21:08		339685		264625		75060		
14:21:10		407320		263876		143444		
14:21:12		407479		265431		142048		
14:21:14		394379		265251		129128		
14:21:16		395935		261543		134392		
14:21:18		383639		299043		84596		
14:21:20		410246		329618		80628		
14:21:22		422497		294533		127964		
14:21:24		395110		285638		109472		
14:21:26		384097		302277		81820		
14:21:28		393538		292994		100544		
14:21:30		380784		283652		97132		
14:21:32		368534		287510		81024		
14:21:34		372417		310489		61928		
14:21:36		388046		291210		96836		
14:21:38		371473		273025		98448		
14:21:40		352213		285009		67204		
14:21:42		356373		284253		72120		
14:21:44		355807		287387		68420		
14:21:46		363130		292138		70992		
14:21:48		361462		302006		59456		
14:21:50		371485		294809		76676		
14:21:52		365869		276405		89464		
14:21:54		350712		230304		120408		
14:21:56		313550		220818		92732		
14:21:58		305283		221355		83928		
14:22:00		303233		234061		69172		
14:22:02		314877		227849		87028		
14:22:04		309164		243216		65948		
14:22:06		320367		246359		74008		
14:22:08		322248		218836		103412		
14:22:10		299365		223233		76132		
14:22:12		301995		220503		81492		
14:22:14		299290		211022		88268		
14:22:16		290598		236270		54328		
14:22:18		309921		207141		102780		
14:22:20		286171		196515		89656		
14:22:22		338314		216930		121384		
14:22:24		373269		204137		169132		
14:22:26		330918		192042		138876		
14:22:28		311606		225802		85804		
14:22:30		335661		204101		131560		
14:22:32		315267		220783		94484		
14:22:34		326655		217663		108992		
14:22:36		326655		225599		101056		
14:22:38		324255		214519		109736		
14:22:40		391351		224203		167148		
14:22:42		408355		251499		156856		
14:22:44		404899		244075		160824		
14:22:46		397270		186474		210796		
14:22:49		353791		207599		146192		
14:22:51		365938		228674		137264		
14:22:53		367587		243963		123624		
14:22:55		357728		218356		139372		
14:22:57		335660		240184		95476		
14:22:59		348628		197724		150904		
14:23:01		312946		203330		109616		
14:23:03		314068		207052		107016		
14:23:05		315298		197526		117772		
14:23:07		303732		211504		92228		
14:23:09		311873		210841		101032		
14:23:11		307989		221217		86772		
14:23:13		312704		205840		106864		
14:23:15		298549		211773		86776		
14:23:17		298435		218355		80080		
14:23:19		300621		232081		68540		
14:23:21		308891		200195		108696		
14:23:23		280247		208355		71892		
14:23:25		284808		203268		81540		
14:23:27		279917		216341		63576		
14:23:29		289584		217700		71884		
14:23:31		363853		163317		200536		
14:23:33		322186		169390		152796		
14:23:35		316239		185143		131096		
14:23:37		307707		166071		141636		
14:23:39		290411		196267		94144		
14:23:41		311502		168378		143124		
14:23:43		287914		197366		90548		
14:23:45		305788		218092		87696		
