recorded by mmserver domain:[id:2 time:Wed Mar 27 18:25:11 2013
]
time		tg_mem		use_mem		free_mem		
18:25:13		1048576		225036		823540			
18:25:17		524288		225020		299268		
18:25:19		524288		225020		299268		
18:25:21		524288		225028		299260		
18:25:23		524288		225028		299260		
18:25:25		524288		243312		280976		
18:25:27		524288		243312		280976		
18:25:29		524288		243312		280976		
18:25:31		524288		244880		279408		
18:25:33		524288		244872		279416		
18:25:35		524288		244872		279416		
18:25:37		524288		244872		279416		
18:25:39		524288		244996		279292		
18:25:41		524288		244996		279292		
18:25:43		524288		244996		279292		
18:25:45		524288		244996		279292		
18:25:47		524288		245616		278672		
18:25:49		512495		255943		256552		
18:25:51		512495		258991		253504		
18:25:53		505698		259006		246692		
18:25:55		493804		258900		234904		
18:25:57		488015		258939		229076		
18:25:59		484185		258953		225232		
18:26:01		479563		258919		220644		
18:26:03		475983		258935		217048		
18:26:05		470140		258920		211220		
18:26:07		460351		258927		201424		
18:26:09		451741		258997		192744		
18:26:11		448644		259000		189644		
18:26:13		440517		258933		181584		
18:26:15		436774		258910		177864		
18:26:17		430830		258918		171912		
18:26:19		427637		263145		164492		
18:26:22		413283		268267		145016		
18:26:24		415748		274552		141196		
18:26:26		417683		319983		97700		
18:26:28		438177		320889		117288		
18:26:30		443330		327422		115908		
18:26:32		448353		331545		116808		
18:26:34		450142		325166		124976		
18:26:36		440800		328472		112328		
18:26:38		440417		331685		108732		
18:26:40		440482		334850		105632		
18:26:42		440032		337128		102904		
18:26:44		439022		339466		99556		
18:26:46		436686		341610		95076		
18:26:48		434038		343302		90736		
18:26:50		432054		345162		86892		
18:26:52		431512		346480		85032		
18:26:54		428738		347426		81312		
18:26:56		427074		348382		78692		
18:26:58		425059		349095		75964		
18:27:00		423618		349390		74228		
18:27:02		422264		350020		72244		
18:27:04		423317		351073		72244		
18:27:06		423079		351331		71748		
18:27:08		424482		335622		88860		
18:27:10		412454		335622		76832		
18:27:12		410290		335938		74352		
18:27:14		410461		336605		73856		
18:27:16		410896		337412		73484		
18:27:18		411309		337825		73484		
18:27:20		413644		338176		75468		
18:27:22		411606		338122		73484		
18:27:24		412730		338874		73856		
18:27:26		412978		339494		73484		
18:27:28		410149		339317		70832		
18:27:30		411578		339966		71612		
18:27:32		413146		340418		72728		
18:27:34		412142		340158		71984		
18:27:36		412041		340553		71488		
18:27:38		409895		340807		69088		
18:27:40		410670		341114		69556		
18:27:42		410498		341338		69160		
18:27:44		411565		341645		69920		
18:27:46		412209		342489		69720		
18:27:48		412673		342597		70076		
18:27:50		412553		342725		69828		
18:27:52		412088		343204		68884		
18:27:54		413017		343549		69468		
18:27:56		412810		343670		69140		
18:27:58		412414		343902		68512		
18:28:00		412335		344139		68196		
18:28:02		410046		344322		65724		
18:28:04		497008		344716		152292		
18:28:06		497802		344766		153036		
18:28:08		491242		344406		146836		
18:28:10		490492		344524		145968		
18:28:12		538708		345124		193584		
18:28:14		538708		345124		193584		
18:28:16		505407		344807		160600		
18:28:18		501755		344995		156760		
18:28:20		485421		345153		140268		
18:28:22		486758		345722		141036		
18:28:24		482207		345387		136820		
18:28:26		476052		345556		130496		
18:28:28		474501		345741		128760		
18:28:30		471366		345954		125412		
18:28:32		456824		346168		110656		
18:28:34		446812		346324		100488		
18:28:36		445688		346440		99248		
18:28:38		436265		346689		89576		
18:28:40		437228		347280		89948		
18:28:42		436115		346911		89204		
18:28:44		430620		347244		83376		
18:28:46		427754		347478		80276		
18:28:48		427769		347617		80152		
18:28:50		421902		347826		74076		
18:28:53		422088		348012		74076		
18:28:55		428574		348546		80028		
18:28:57		424662		348354		76308		
18:28:59		423903		348463		75440		
18:29:01		425677		349121		76556		
18:29:03		419978		348754		71224		
18:29:05		423738		349538		74200		
18:29:07		425371		349683		75688		
18:29:09		425280		349716		75564		
18:29:11		423666		349590		74076		
18:29:13		423398		349694		73704		
18:29:15		423646		350190		73456		
18:29:17		423163		349955		73208		
18:29:19		420976		350248		70728		
18:29:21		498308		350824		147484		
18:29:23		496389		350517		145872		
18:29:25		477874		350602		127272		
18:29:27		465284		350780		114504		
18:29:29		458268		350708		107560		
18:29:31		457248		351052		106196		
18:29:33		463169		351641		111528		
18:29:35		458630		351318		107312		
18:29:37		454735		351391		103344		
18:29:39		447841		351685		96156		
18:29:41		445542		351862		93680		
18:29:43		442285		351949		90336		
18:29:45		444312		352732		91580		
18:29:47		443923		352343		91580		
18:29:49		442196		352476		89720		
18:29:51		440727		352619		88108		
18:29:53		433592		336896		96696		
18:29:55		420843		336919		83924		
18:29:57		416969		336889		80080		
18:29:59		415842		336998		78844		
18:30:01		414861		337129		77732		
18:30:03		411839		337327		74512		
18:30:05		416039		337927		78112		
18:30:07		413833		337577		76256		
18:30:09		413706		337694		76012		
18:30:11		413513		337993		75520		
18:30:13		410774		338106		72668		
18:30:15		406187		338207		67980		
18:30:17		492879		338791		154088		
18:30:19		487888		338264		149624		
18:30:21		485594		338574		147020		
18:30:23		468743		338711		130032		
18:30:25		472089		339329		132760		
18:30:27		461544		270184		191360		
18:30:29		403050		273274		129776		
18:30:31		471292		273804		197488		
18:30:33		467103		273335		193768		
18:30:35		448655		273239		175416		
18:30:37		443389		273305		170084		
18:30:39		442904		273316		169588		
18:30:41		440146		273286		166860		
18:30:43		425096		273240		151856		
18:30:45		416836		273288		143548		
18:30:47		414463		273271		141192		
18:30:49		414463		273271		141192		
18:30:51		396584		273248		123336		
18:30:53		392140		273268		118872		
18:30:55		384856		273300		111556		
18:30:57		395211		273859		121352		
18:30:59		390962		275694		115268		
18:31:01		388699		279011		109688		
18:31:03		388864		296292		92572		
18:31:05		399261		316829		82432		
18:31:07		404478		324914		79564		
18:31:09		412851		330331		82520		
18:31:11		416956		334312		82644		
18:31:13		423591		337739		85852		
18:31:15		423591		340963		82628		
18:31:17		425588		327308		98280		
18:31:19		412593		329317		83276		
18:31:21		409018		331570		77448		
18:31:24		411798		334474		77324		
18:31:26		411577		336609		74968		
18:31:28		410365		339117		71248		
18:31:30		408273		340161		68112		
18:31:32		405651		341027		64624		
18:31:34		413985		342285		71700		
18:31:36		413985		342657		71328		
18:31:38		476728		343152		133576		
18:31:40		464660		343376		121284		
18:31:42		462745		344189		118556		
18:31:44		460114		344782		115332		
18:31:46		459707		345243		114464		
18:31:48		457074		345958		111116		
18:31:50		447574		346502		101072		
18:31:52		441052		347048		94004		
18:31:54		431935		347603		84332		
18:31:56		430398		347926		82472		
18:31:58		427627		332415		95212		
18:32:00		413295		332459		80836		
18:32:02		413295		332583		80712		
18:32:04		409887		332895		76992		
18:32:06		406147		333123		73024		
18:32:08		415115		333907		81208		
18:32:10		415543		334335		81208		
18:32:12		415343		334379		80964		
18:32:14		411661		334417		77244		
18:32:16		409421		334533		74888		
18:32:18		409098		335078		74020		
18:32:20		409119		335347		73772		
18:32:22		408201		335545		72656		
18:32:24		408479		336195		72284		
18:32:26		406515		336091		70424		
18:32:28		483580		336772		146808		
18:32:30		493932		336956		156976		
18:32:32		467546		336734		130812		
18:32:34		463777		336933		126844		
18:32:36		458222		331378		126844		
18:32:38		451533		337461		114072		
18:32:40		455367		338195		117172		
18:32:42		450629		337921		112708		
18:32:44		445799		338175		107624		
18:32:46		488968		338564		150404		
18:32:48		478298		338182		140116		
18:32:50		474074		338542		135532		
18:32:52		467218		338754		128464		
18:32:54		460972		338832		122140		
18:32:56		450106		339126		110980		
18:32:58		444772		339248		105524		
18:33:00		438489		339413		99076		
18:33:02		439613		340041		99572		
18:33:04		433126		339754		93372		
18:33:06		429573		339921		89652		
18:33:08		428650		340114		88536		
18:33:10		426151		340343		85808		
18:33:12		433054		341046		92008		
18:33:14		429031		340619		88412		
18:33:16		424841		340893		83948		
18:33:18		423151		341063		82088		
18:33:20		414261		341225		73036		
18:33:22		410122		341442		68680		
18:33:24		409942		341586		68356		
18:33:26		421303		342099		79204		
18:33:28		425406		342110		83296		
18:33:30		420641		341685		78956		
18:33:32		423541		342229		81312		
18:33:34		415863		341867		73996		
18:33:36		410055		341967		68088		
18:33:38		414961		342537		72424		
18:33:40		414918		342618		72300		
18:33:42		413887		342331		71556		
18:33:44		413162		342474		70688		
18:33:46		431499		343079		88420		
18:33:48		427345		342769		84576		
18:33:50		431826		343406		88420		
18:33:52		437352		343600		93752		
18:33:54		433910		343258		90652		
18:33:56		430987		343311		87676		
18:33:59		429804		343616		86188		
18:34:01		430497		344309		86188		
18:34:03		425540		343940		81600		
18:34:05		419935		344039		75896		
18:34:07		476454		344634		131820		
18:34:09		457286		344190		113096		
18:34:11		455604		344244		111360		
18:34:13		449724		344440		105284		
18:34:15		458071		345099		112972		
18:34:17		456671		344691		111980		
18:34:19		448228		344804		103424		
18:34:21		437480		344968		92512		
18:34:23		431705		345021		86684		
18:34:25		423689		345313		78376		
18:34:27		417908		345484		72424		
18:34:29		416827		345519		71308		
18:34:31		415921		345729		70192		
18:34:33		425932		346316		79616		
18:34:35		424431		345931		78500		
18:34:37		425207		346583		78624		
18:34:39		419141		346221		72920		
18:34:41		416844		346404		70440		
18:34:43		412777		346433		66344		
18:34:45		501078		347030		154048		
18:34:47		504602		347082		157520		
18:34:49		489014		346746		142268		
18:34:51		484697		346769		137928		
18:34:53		478878		346902		131976		
18:34:55		477608		347120		130488		
18:34:57		477736		347372		130364		
18:34:59		471656		347368		124288		
18:35:01		463973		347621		116352		
18:35:03		454488		347684		106804		
18:35:05		449477		347757		101720		
18:35:07		450311		348467		101844		
18:35:09		457517		348605		108912		
18:35:11		454123		348435		105688		
18:35:13		451631		348423		103208		
18:35:15		455460		280056		175404		
18:35:17		397986		283406		114580		
18:35:19		452677		283777		168900		
18:35:21		451054		283270		167784		
18:35:23		437388		283240		154148		
18:35:25		437388		283236		154152		
18:35:27		437388		283236		154152		
18:35:29		406082		283302		122780		
18:35:31		406082		283302		122780		
18:35:33		401593		283277		118316		
18:35:35		400290		283214		117076		
18:35:37		388353		283301		105052		
18:35:39		377616		283228		94388		
18:35:41		368737		283277		85460		
18:35:43		377750		283858		93892		
18:35:45		375925		283273		92652		
18:35:47		369927		285591		84336		
18:35:49		371556		289328		82228		
18:35:51		369880		284972		84908		
18:35:53		367319		275635		91684		
18:35:55		355686		281362		74324		
18:35:57		361997		284449		77548		
18:35:59		360485		289757		70728		
18:36:01		372385		293845		78540		
18:36:03		372385		295829		76556		
18:36:05		384234		300362		83872		
18:36:07		456984		302556		154428		
18:36:09		471820		288376		183444		
18:36:11		444183		290623		153560		
18:36:13		444268		292940		151328		
18:36:15		436008		294104		141904		
18:36:17		435045		295125		139920		
18:36:19		440013		296621		143392		
18:36:21		436964		297044		139920		
18:36:24		435242		297554		137688		
18:36:26		511564		298236		213328		
18:36:28		500301		298257		202044		
18:36:30		482565		298873		183692		
18:36:32		482859		299539		183320		
18:36:34		477288		300152		177136		
18:36:36		474182		300766		173416		
18:36:38		469731		301275		168456		
18:36:40		478548		302404		176144		
18:36:42		469349		302505		166844		
18:36:44		454542		287698		166844		
18:36:46		445388		303468		141920		
18:36:48		450087		304319		145768		
18:36:50		448851		304199		144652		
