recorded by mmserver domain:[id:13 time:Sat Mar 30 20:18:56 2013
]
time		tg_mem		use_mem		free_mem		
20:18:58		524288		230152		294136		
20:19:01		524288		230152		294136		
20:19:03		524288		230152		294136		
20:19:05		524288		230152		294136		
20:19:07		524288		230152		294136		
20:19:09		524288		230152		294136		
20:19:11		524288		230152		294136		
20:19:13		524288		230152		294136		
20:19:15		524288		230152		294136		
20:19:17		524288		230152		294136		
20:19:19		524288		230152		294136		
20:19:21		524288		230152		294136		
20:19:23		524288		230152		294136		
20:19:25		524288		230152		294136		
20:19:27		524288		230152		294136		
20:19:29		524288		230152		294136		
20:19:31		524288		230152		294136		
20:19:33		524288		230152		294136		
20:19:35		524288		230152		294136		
20:19:37		524288		230152		294136		
20:19:39		524288		230152		294136		
20:19:41		524288		230152		294136		
20:19:43		524288		230152		294136		
20:19:45		524288		230152		294136		
20:19:47		524288		230152		294136		
20:19:49		524288		230152		294136		
20:19:51		524288		230152		294136		
20:19:53		524288		230152		294136		
20:19:55		524288		230152		294136		
20:19:57		506785		212649		294136		
20:19:59		505492		211356		294136		
20:20:01		505205		211069		294136		
20:20:03		505631		211495		294136		
20:20:05		502827		208691		294136		
20:20:08		504561		210425		294136		
20:20:10		504974		210838		294136		
20:20:12		504570		210434		294136		
20:20:14		499385		205249		294136		
20:20:16		500619		206483		294136		
20:20:18		490182		261310		228872		
20:20:20		499949		261901		238048		
20:20:22		500860		262812		238048		
20:20:24		493660		255612		238048		
20:20:26		493343		255295		238048		
20:20:28		492110		254062		238048		
20:20:30		490901		252853		238048		
20:20:32		489680		251632		238048		
20:20:34		484511		246463		238048		
20:20:36		476946		261342		215604		
20:20:38		484685		261889		222796		
20:20:40		483139		261335		221804		
20:20:42		477341		261365		215976		
20:20:44		466634		250658		215976		
20:20:46		455062		261406		193656		
20:20:48		448919		261339		187580		
20:20:50		449794		261966		187828		
20:20:52		453576		263640		189936		
20:20:54		441505		261365		180140		
20:20:56		435723		255583		180140		
20:20:58		435723		261411		174312		
20:21:00		431596		261376		170220		
