recorded by mmserver domain:[id:3 time:Sun Mar  3 18:50:58 2013
]
time		tg_mem		use_mem		free_mem		
18:51:00		1695223		928511		766712		
18:51:02		1695206		928494		766712		
18:51:04		1695189		951141		744048		
18:51:06		1713279		961791		751488		
18:51:08		1721820		968980		752840		
18:51:10		1727594		972138		755456		
18:51:12		1730134		981002		749132		
18:51:14		1737237		1004597		732640		
18:51:16		1756095		1031763		724332		
18:51:18		1777831		1081151		696680		
18:51:20		1817347		1112607		704740		
18:51:22		1842778		1134566		708212		
18:51:24		1860099		1179787		680312		
18:51:26		1896292		1189568		706724		
18:51:28		1904090		1177526		726564		
18:51:30		1894453		1199509		694944		
18:51:32		1911352		1206488		704864		
18:51:34		1917612		1214484		703128		
18:51:36		1924393		1249785		674608		
18:51:38		1952254		1280126		672128		
18:51:40		1976519		1276367		700152		
18:51:42		1973528		1276352		697176		
18:51:44		1973043		1304883		668160		
18:51:46		1995844		1309456		686388		
18:51:48		2000021		1317229		682792		
18:51:50		2006207		1330979		675228		
18:51:52		2017203		1332559		684644		
18:51:54		2018460		1335304		683156		
18:51:56		2020684		1347448		673236		
18:51:58		2030497		1355649		674848		
18:52:00		2037383		1359187		678196		
18:52:02		2039781		1361833		677948		
18:52:04		2041782		1363830		677952		
18:52:06		2043358		1350774		692584		
18:52:08		2033005		1350837		682168		
18:52:10		2031952		1356480		675472		
18:52:12		2037273		1356221		681052		
18:52:14		2037411		1356227		681184		
18:52:16		2037319		1356135		681184		
18:52:18		2037227		1373403		663824		
18:52:20		2050998		945954		1105044		
18:52:22		1709142		682942		1026200		
18:52:24		1708704		904540		804164		
18:52:26		1682138		956978		725160		
18:52:28		1741096		965344		775752		
18:52:30		1724177		970637		753540		
18:52:32		1717166		976898		740268		
18:52:34		1733569		980165		753404		
18:52:36		1736438		987250		749188		
18:52:38		1742109		992325		749784		
18:52:40		1746286		996910		749376		
18:52:42		1749947		1001811		748136		
18:52:44		1753881		1007477		746404		
18:52:46		1758406		1026846		731560		
18:52:48		1773790		1041870		731920		
18:52:50		1785811		1050179		735632		
18:52:52		1792506		1057150		735356		
18:52:54		1798058		1063774		734284		
18:52:56		1803352		1076572		726780		
18:52:58		1813607		1087811		725796		
18:53:00		1822566		1091706		730860		
18:53:02		1825664		1102332		723332		
18:53:04		1834189		1115649		718540		
18:53:06		1844861		1121005		723856		
18:53:09		1849122		1127010		722112		
18:53:11		1853938		1132874		721064		
18:53:13		1858624		1136672		721952		
18:53:15		1861682		1142642		719040		
18:53:17		1866450		1148582		717868		
18:53:19		1871214		1152474		718740		
18:53:21		1874312		1152844		721468		
18:53:23		1874608		1153024		721584		
18:53:25		1874737		1155493		719244		
18:53:27		1876713		1155857		720856		
18:53:29		1877027		1156791		720236		
18:53:31		1877763		1157031		720732		
18:53:33		1877954		1158214		719740		
18:53:35		1878888		1157784		721104		
18:53:37		1878558		1158570		719988		
18:53:39		1879120		1160124		718996		
18:53:41		1880426		1161182		719244		
18:53:43		1881286		1162042		719244		
18:53:45		1881948		1163184		718764		
18:53:47		1882894		1164750		718144		
18:53:49		1884138		1169714		714424		
18:53:51		1888135		1173835		714300		
18:53:53		1891388		1175724		715664		
18:53:55		1892880		1176580		716300		
18:53:57		1893615		1177315		716300		
18:53:59		1894177		1177461		716716		
18:54:01		1894306		947530		946776		
18:54:03		1710338		845450		864888		
18:54:05		1662883		956739		706144		
18:54:07		1720472		967564		752908		
18:54:09		1726368		971724		754644		
18:54:11		1729709		977381		752328		
18:54:13		1734284		983576		750708		
18:54:15		1739311		990231		749080		
18:54:17		1744500		994172		750328		
18:54:19		1747921		999505		748416		
18:54:21		1752577		1002553		750024		
18:54:23		1754383		1009579		744804		
18:54:25		1759598		1027994		731604		
18:54:27		1774332		1043360		730972		
18:54:29		1787041		1051233		735808		
18:54:31		1793849		1059181		734668		
