recorded by mmserver domain:[id:3 time:Sun Mar  3 19:48:06 2013
]
time		tg_mem		use_mem		free_mem		
19:48:08		1080479		927147		153332		
19:48:10		1080503		933275		147228		
19:48:12		1086386		946530		139856		
19:48:14		1099233		956605		142628		
19:48:16		1109121		962873		146248		
19:48:18		1115430		966198		149232		
19:48:20		1118586		977238		141348		
19:48:22		1128925		998597		130328		
19:48:24		1128925		1032761		96164		
19:48:26		1182448		1067076		115372		
19:48:28		1215363		1097011		118352		
19:48:30		1244528		1133740		110788		
19:48:32		1278872		1171804		107068		
19:48:34		1315408		1171876		143532		
19:48:36		1315475		1172015		143460		
19:48:38		1315610		1173514		142096		
19:48:40		1317051		1200375		116676		
19:48:42		1342855		1198899		143956		
19:48:44		1342741		1234993		107748		
19:48:46		1376005		1248805		127200		
19:48:48		1389673		1265549		124124		
19:48:50		1405991		1265499		140492		
19:48:52		1405356		1294872		110484		
19:48:54		1433529		1295417		138112		
19:48:56		1434078		1314814		119264		
19:48:58		1452701		1321529		131172		
19:49:00		1459153		1322197		136956		
19:49:02		1459790		1326994		132796		
19:49:04		1464395		1351067		113328		
19:49:06		1487501		1352597		134904		
19:49:08		1488967		1354807		134160		
19:49:10		1491092		1354948		136144		
19:49:12		1491228		1354936		136292		
19:49:14		1491224		1344392		146832		
19:49:16		1486809		1344441		142368		
19:49:18		1486063		1350883		135180		
19:49:20		1488232		1350820		137412		
19:49:22		1488288		1351048		137240		
19:49:24		1488284		1356872		131412		
19:49:26		1493062		1368222		124840		
19:49:28		1504011		940107		563904		
19:49:30		1322247		877311		444936		
19:49:32		1288786		946582		342204		
19:49:34		1280263		955819		324444		
19:49:36		1262047		961671		300376		
19:49:38		1248866		969026		279840		
19:49:40		1237255		975091		262164		
19:49:42		1227458		979778		247680		
19:49:44		1218764		982800		235964		
19:49:46		1210862		988390		222472		
19:49:48		1204677		990129		214548		
19:49:50		1198618		997118		201500		
19:49:52		1194604		1002052		192552		
19:49:54		1191118		1021446		169672		
19:49:56		1191921		1037217		154704		
19:49:58		1193631		1044547		149084		
19:50:00		1194692		1050848		143844		
19:50:02		1199291		1057183		142108		
19:50:04		1205373		1065761		139612		
19:50:07		1213613		1077769		135844		
19:50:09		1225138		1083690		141448		
19:50:11		1230827		1093887		136940		
19:50:13		1240616		1101772		138844		
19:50:15		1248180		1112564		135616		
19:50:17		1258540		1120032		138508		
19:50:19		1265712		1125700		140012		
19:50:21		1271153		1128257		142896		
19:50:23		1273612		1135324		138288		
19:50:25		1280395		1140855		139540		
19:50:27		1285699		1148087		137612		
19:50:29		1292645		1151745		140900		
19:50:31		1296148		1150048		146100		
19:50:33		1295598		1150134		145464		
19:50:35		1295484		1151872		143612		
19:50:37		1296229		1152873		143356		
19:50:39		1297215		1154099		143116		
19:50:41		1298402		1153798		144604		
19:50:43		1298297		1154073		144224		
19:50:45		1298366		1154382		143984		
19:50:47		1298665		1155673		142992		
19:50:49		1299911		1156679		143232		
19:50:51		1300872		1158128		142744		
19:50:53		1302262		1158898		143364		
19:50:55		1303007		1159751		143256		
19:50:57		1303821		1167881		135940		
19:50:59		1311624		1174940		136684		
19:51:01		1318400		1175144		143256		
19:51:03		1318599		1172227		146372		
19:51:05		1317644		1174000		143644		
19:51:07		1317979		1174955		143024		
19:51:09		1318391		1176235		142156		
19:51:11		1319636		1172776		146860		
19:51:13		1318513		943913		374600		
19:51:15		1243422		948106		295316		
19:51:17		1226095		954471		271624		
19:51:19		1218329		962897		255432		
19:51:21		1209893		965997		243896		
19:51:23		1201153		970621		230532		
19:51:25		1193983		975691		218292		
19:51:27		1188128		980628		207500		
19:51:29		1183227		986079		197148		
19:51:31		1179372		991548		187824		
19:51:33		1176410		996426		179984		
19:51:35		1174105		1001453		172652		
19:51:37		1172518		1006986		165532		
19:51:39		1171677		1037365		134312		
19:51:41		1186256		1042520		143736		
19:51:43		1191302		1050854		140448		
19:51:45		1199301		1051621		147680		
19:51:47		1200035		1052875		147160		
19:51:49		1201238		1053010		148228		
19:51:51		1201374		1053286		148088		
19:51:53		1201630		1056354		145276		
19:51:55		1204577		1063329		141248		
19:51:57		1211277		1068781		142496		
19:51:59		1216486		1080050		136436		
19:52:01		1227310		1085966		141344		
19:52:03		1232990		1096146		136844		
19:52:05		1242757		1105957		136800		
19:52:07		1252180		1120612		131568		
19:52:09		1266243		1122563		143680		
19:52:11		1268118		1127266		140852		
19:52:13		1272634		1132350		140284		
19:52:15		1277522		1138102		139420		
19:52:17		1283036		1139816		143220		
19:52:19		1284683		1142723		141960		
19:52:21		1287471		1143023		144448		
19:52:23		1287761		1145173		142588		
19:52:25		1289827		1145743		144084		
19:52:27		1290372		1146536		143836		
19:52:29		1291130		1152502		138628		
19:52:31		1296863		1156623		140240		
19:52:33		1300816		1158096		142720		
19:52:35		1302229		1156285		145944		
19:52:37		1301667		1156715		144952		
19:52:39		1301653		1157949		143704		
19:52:41		1302072		1162440		139632		
19:52:43		1306400		1162672		143728		
19:52:45		1306622		1166474		140148		
19:52:47		1310276		1168992		141284		
19:52:49		1312695		1169303		143392		
19:52:52		1313017		1171605		141412		
19:52:54		1315205		1174153		141052		
19:52:56		1317649		1176717		140932		
19:52:58		1320109		1179541		140568		
19:53:00		1322814		1181754		141060		
19:53:02		1324948		1184884		140064		
19:53:04		1327949		1197197		130752		
19:53:06		1339775		1201343		138432		
19:53:08		1343752		1201592		142160		
19:53:10		1343987		1201715		142272		
19:53:12		1344104		1203084		141020		
19:53:14		1345423		1209003		136420		
19:53:16		1351104		1212224		138880		
19:53:18		1354195		1217551		136644		
19:53:20		1359308		1217596		141712		
19:53:22		1359358		1217778		141580		
19:53:24		1359524		1218820		140704		
19:53:26		1360522		1219462		141060		
19:53:28		1361143		1215135		146008		
19:53:30		1359620		1215232		144388		
19:53:32		1359288		1217524		141764		
19:53:34		1359844		1220080		139764		
19:53:36		1361684		1220328		141356		
19:53:38		1361976		1220376		141600		
19:53:40		1362019		1220543		141476		
19:53:42		1362181		1223793		138388		
19:53:44		1365303		1223815		141488		
19:53:46		1365325		1223989		141336		
19:53:48		1365493		1224033		141460		
19:53:50		1365532		1224200		141332		
19:53:52		1365689		1226113		139576		
19:53:54		1367526		1226218		141308		
19:53:56		1367626		1226330		141296		
19:53:58		1367733		1227685		140048		
19:54:00		1369038		1228022		141016		
19:54:02		1369359		1227371		141988		
19:54:04		1369039		1227071		141968		
19:54:06		1368947		1227123		141824		
19:54:08		1368907		1227227		141680		
19:54:10		1368897		1227461		141436		
19:54:12		1368947		1228151		140796		
19:54:14		1369457		1228797		140660		
19:54:16		1370093		1228957		141136		
19:54:18		1370252		1229008		141244		
19:54:20		1370303		1229183		141120		
19:54:22		1370473		1229277		141196		
19:54:24		1370560		1229356		141204		
19:54:26		1370634		1229430		141204		
19:54:28		1370703		1229495		141208		
19:54:30		1370768		1229576		141192		
19:54:32		1370849		1229685		141164		
19:54:34		1370952		1229812		141140		
19:54:36		1371073		1229949		141124		
19:54:38		1371204		1229964		141240		
19:54:40		1371219		1229959		141260		
19:54:42		1371218		1229938		141280		
19:54:44		1371210		1229942		141268		
19:54:46		1371209		1229973		141236		
19:54:48		1371228		1230140		141088		
19:54:50		1371389		1231069		140320		
19:54:52		1372277		1230741		141536		
19:54:54		1372170		1230618		141552		
19:54:56		1372098		930226		441872		
19:54:58		1264449		930209		334240		
19:54:59		1250759		918627		332132		
