recorded by mmserver domain:[id:3 time:Sat Mar  9 10:02:25 2013
]
time		tg_mem		use_mem		free_mem		
10:02:27		537412		341480		195932		
10:02:30		524288		341792		182496		
10:02:32		524288		341564		182724		
10:02:34		524288		341572		182716		
10:02:36		524288		346148		178140		
10:02:38		524288		356228		168060		
10:02:40		524288		358152		166136		
10:02:42		524288		361984		162304		
10:02:44		524288		365440		158848		
10:02:46		524288		366552		157736		
10:02:48		524288		365232		159056		
10:02:50		524288		365152		159136		
10:02:52		524288		365096		159192		
10:02:54		524288		365096		159192		
10:02:56		524288		365096		159192		
10:02:58		524288		365096		159192		
10:03:00		524288		365096		159192		
10:03:02		524288		365096		159192		
10:03:04		524288		365096		159192		
10:03:06		524288		365096		159192		
10:03:08		524288		365096		159192		
10:03:10		524288		365096		159192		
10:03:12		524288		365096		159192		
10:03:14		524288		365096		159192		
10:03:16		524288		365096		159192		
10:03:18		524288		365096		159192		
10:03:20		524288		365096		159192		
10:03:22		524288		365096		159192		
10:03:24		524288		365096		159192		
10:03:26		524288		365096		159192		
10:03:28		524288		365096		159192		
10:03:30		524288		411360		112928		
10:03:32		568646		423894		144752		
10:03:34		581180		438616		142564		
10:03:36		595902		453338		142564		
10:03:38		610624		468060		142564		
10:03:41		589752		490672		99080		
10:03:43		647958		548878		99080		
10:03:45		629618		500362		129256		
10:03:47		657648		506340		151308		
10:03:49		663626		503382		160244		
10:03:51		661783		509635		152148		
10:03:53		666921		514773		152148		
10:03:55		672059		519911		152148		
10:03:57		677197		525049		152148		
10:03:59		682335		510431		171904		
10:04:01		675793		509981		165812		
10:04:03		674544		509736		164808		
10:04:05		673646		508838		164808		
10:04:07		672555		523943		148612		
10:04:09		681229		541205		140024		
10:04:11		698491		541927		156564		
10:04:13		699411		542239		157172		
10:04:15		699525		542245		157280		
10:04:17		699543		542463		157080		
10:04:19		699852		542772		157080		
10:04:21		700058		542978		157080		
10:04:23		700264		571004		129260		
10:04:25		728290		570982		157308		
10:04:27		729256		571436		157820		
10:04:29		729321		571733		157588		
10:04:31		729137		571837		157300		
10:04:33		729193		572069		157124		
10:04:35		729355		572559		156796		
10:04:37		729845		573161		156684		
10:04:39		730447		573799		156648		
10:04:41		731085		573765		157320		
10:04:43		731085		574481		156604		
10:04:45		731767		575439		156328		
10:04:48		732725		575713		157012		
10:04:50		732999		576011		156988		
10:04:52		733297		576333		156964		
10:04:54		733619		576991		156628		
10:04:56		734277		577997		156280		
10:04:58		735283		580083		155200		
10:05:00		737369		582761		154608		
10:05:02		740047		585575		154472		
10:05:04		742861		581241		161620		
10:05:06		740671		580907		159764		
