recorded by mmserver domain:[id:3 time:Fri Mar  8 10:31:19 2013
]
time		tg_mem		use_mem		free_mem		
10:31:21		524288		105096		419192		
10:31:23		524288		105088		419200		
10:31:25		524288		105088		419200		
10:31:27		524288		105088		419200		
10:31:29		524288		105088		419200		
10:31:31		524288		105088		419200		
10:31:33		524288		112644		411644		
10:31:35		524288		124476		399812		
10:31:37		524288		124476		399812		
10:31:39		524288		124476		399812		
10:31:41		524288		124476		399812		
10:31:43		524288		124476		399812		
10:31:45		524288		124476		399812		
10:31:47		524288		124476		399812		
10:31:49		524288		124476		399812		
10:31:51		524288		124476		399812		
10:31:53		524288		124476		399812		
10:31:55		524288		124476		399812		
10:31:57		524288		124476		399812		
10:31:59		524288		124476		399812		
10:32:01		524288		124476		399812		
10:32:03		524288		124476		399812		
10:32:05		524288		148704		375584		
10:32:07		524288		158408		365880		
10:32:09		524288		163268		361020		
10:32:11		524288		173372		350916		
10:32:13		524288		181520		342768		
10:32:15		524288		194464		329824		
10:32:17		524288		216792		307496		
10:32:19		524288		234608		289680		
10:32:21		524288		234608		289680		
10:32:23		524288		234608		289680		
10:32:25		524288		234608		289680		
10:32:28		524288		234608		289680		
10:32:30		524288		234608		289680		
10:32:32		524288		234608		289680		
10:32:34		524288		234608		289680		
10:32:36		524288		234608		289680		
10:32:38		524288		234608		289680		
10:32:40		524288		234608		289680		
10:32:42		524288		234608		289680		
10:32:44		524288		316592		207696		
10:32:46		524288		316592		207696		
10:32:48		524288		316592		207696		
10:32:50		524288		316592		207696		
10:32:52		524288		316592		207696		
10:32:54		524288		316592		207696		
10:32:56		524288		316592		207696		
10:32:58		524288		347636		176652		
10:33:00		524288		347628		176660		
10:33:02		524288		348244		176044		
10:33:04		524288		348564		175724		
10:33:06		524288		344304		179984		
10:33:08		524288		344956		179332		
10:33:10		524288		345700		178588		
10:33:12		524288		345700		178588		
10:33:14		524288		345700		178588		
10:33:16		524288		345700		178588		
10:33:18		524288		345700		178588		
10:33:20		524288		345700		178588		
10:33:22		524288		345700		178588		
10:33:24		524288		345700		178588		
10:33:26		524288		345700		178588		
10:33:28		524288		345700		178588		
10:33:30		524288		345700		178588		
10:33:32		524288		345700		178588		
10:33:34		524288		345700		178588		
10:33:37		524288		353256		171032		
10:33:39		524288		353256		171032		
10:33:41		524288		353256		171032		
10:33:43		524288		353256		171032		
10:33:45		524288		353256		171032		
10:33:47		524288		353256		171032		
10:33:49		524288		353256		171032		
10:33:51		524288		353256		171032		
10:33:53		524288		353256		171032		
10:33:55		524288		366592		157696		
10:33:57		524288		366592		157696		
10:33:59		524288		366592		157696		
10:34:01		524288		366592		157696		
10:34:03		524288		366592		157696		
10:34:05		524288		366592		157696		
10:34:07		524288		366592		157696		
10:34:09		524288		366592		157696		
10:34:11		524288		366592		157696		
10:34:13		524288		366592		157696		
10:34:15		524288		366592		157696		
10:34:17		524288		366592		157696		
10:34:19		524288		366592		157696		
10:34:21		524288		366592		157696		
10:34:23		524288		136148		388140		
10:34:25		524288		136148		388140		
10:34:27		524288		136148		388140		
10:34:29		524288		136148		388140		
10:34:31		524288		136148		388140		
10:34:33		524288		136148		388140		
10:34:35		524288		136148		388140		
10:34:37		524288		136148		388140		
10:34:39		524288		136148		388140		
10:34:41		524288		136148		388140		
10:34:43		524288		136148		388140		
10:34:45		524288		136148		388140		
10:34:48		524288		136148		388140		
10:34:50		524288		136148		388140		
10:34:52		524288		136148		388140		
10:34:54		524288		136148		388140		
10:34:56		524288		136148		388140		
10:34:58		524288		136148		388140		
10:35:00		524288		136148		388140		
10:35:02		524288		136148		388140		
10:35:04		524288		136148		388140		
10:35:06		524288		136148		388140		
10:35:08		524288		136148		388140		
10:35:10		524288		136148		388140		
10:35:12		524288		136148		388140		
10:35:14		524288		136148		388140		
10:35:16		524288		136148		388140		
10:35:18		524288		136148		388140		
10:35:20		524288		136148		388140		
10:35:22		524288		136148		388140		
10:35:24		524288		136148		388140		
10:35:26		524288		136148		388140		
10:35:28		524288		136148		388140		
10:35:30		524288		382460		141828		
10:35:32		524288		382460		141828		
10:35:34		524288		382460		141828		
10:35:36		524288		382460		141828		
10:35:38		524288		382460		141828		
10:35:40		524288		382460		141828		
10:35:42		524288		382460		141828		
10:35:44		524288		382460		141828		
10:35:46		524288		382460		141828		
10:35:48		524288		382460		141828		
10:35:50		524288		382460		141828		
10:35:52		524288		382460		141828		
10:35:54		524288		382460		141828		
10:35:56		524288		382460		141828		
10:35:58		524288		382460		141828		
10:36:01		524288		382460		141828		
10:36:03		524288		382460		141828		
10:36:05		524288		382460		141828		
10:36:07		524288		382460		141828		
10:36:09		524288		382460		141828		
10:36:11		524288		382460		141828		
10:36:13		524288		382460		141828		
10:36:15		524288		382460		141828		
10:36:17		524288		382460		141828		
10:36:19		524288		382460		141828		
10:36:21		524288		382460		141828		
10:36:23		524288		382460		141828		
10:36:25		524288		393808		130480		
10:36:27		524288		393808		130480		
10:36:29		524288		393808		130480		
10:36:31		524288		393808		130480		
10:36:33		524288		393808		130480		
10:36:35		524288		393808		130480		
10:36:37		524288		393808		130480		
10:36:39		524288		393808		130480		
10:36:41		524288		130116		394172		
10:36:43		524288		130116		394172		
10:36:45		524288		130116		394172		
10:36:47		524288		130116		394172		
10:36:49		524288		130116		394172		
10:36:51		524288		130116		394172		
10:36:53		524288		130116		394172		
10:36:55		524288		130116		394172		
10:36:57		524288		130116		394172		
10:36:59		524288		256868		267420		
10:37:01		524288		256868		267420		
10:37:03		524288		256868		267420		
10:37:05		524288		256868		267420		
10:37:07		524288		256868		267420		
10:37:10		524288		256868		267420		
10:37:12		524288		256868		267420		
10:37:14		524288		256868		267420		
10:37:16		524288		256868		267420		
10:37:18		524288		256868		267420		
10:37:20		524288		256868		267420		
10:37:22		524288		256868		267420		
10:37:24		524288		256868		267420		
10:37:26		524288		256868		267420		
10:37:28		524288		256868		267420		
10:37:30		524288		256868		267420		
10:37:32		524288		256868		267420		
10:37:34		524288		256868		267420		
10:37:36		524288		256868		267420		
10:37:38		524288		256868		267420		
10:37:40		524288		256868		267420		
10:37:42		524288		137624		386664		
10:37:44		524288		137616		386672		
10:37:46		524288		139760		384528		
10:37:48		524288		137016		387272		
