record in kb
time		total		used		free
[15:40:15]		1048572		18348		1030224
[15:40:18]		1048572		18348		1030224
[15:40:21]		1048572		18344		1030228
[15:40:24]		1048572		18344		1030228
[15:40:27]		1048572		18344		1030228
[15:40:30]		1048572		18108		1030464
[15:40:33]		1048572		17868		1030704
[15:40:36]		1048572		17868		1030704
[15:40:39]		1048572		17868		1030704
[15:40:42]		1048572		17868		1030704
[15:40:45]		1048572		17868		1030704
[15:40:48]		1048572		17864		1030708
[15:40:51]		1048572		17864		1030708
[15:40:54]		1048572		17864		1030708
[15:40:57]		1048572		17864		1030708
[15:41:00]		1048572		17864		1030708
[15:41:03]		1048572		17864		1030708
[15:41:06]		1048572		17864		1030708
[15:41:09]		1048572		17864		1030708
[15:41:12]		1048572		17864		1030708
[15:41:15]		1048572		17864		1030708
[15:41:18]		1048572		18172		1030400
[15:41:21]		1048572		18172		1030400
[15:41:24]		1048572		34600		1013972
[15:41:27]		1048572		36672		1011900
[15:41:30]		1048572		41600		1006972
[15:41:33]		1048572		62976		985596
[15:41:36]		1048572		67148		981424
[15:41:39]		1048572		70112		978460
[15:41:42]		1048572		80124		968448
[15:41:45]		1048572		82600		965972
[15:41:48]		1048572		83552		965020
[15:41:51]		1048572		83184		965388
[15:41:54]		1048572		83656		964916
[15:41:57]		1048572		81620		966952
[15:42:00]		1048572		83216		965356
[15:42:03]		1048572		117544		931028
[15:42:06]		1048572		104168		944404
[15:42:09]		1048572		155208		893364
[15:42:12]		1048572		115856		932716
[15:42:15]		1048572		119468		929104
[15:42:18]		1048572		116924		931648
[15:42:21]		1048572		119688		928884
[15:42:24]		1048572		122920		925652
[15:42:27]		1048572		126572		922000
[15:42:31]		1048572		127588		920984
[15:42:34]		1048572		126000		922572
[15:42:37]		1048572		119428		929144
[15:42:40]		1048572		119784		928788
[15:42:43]		1048572		126248		922324
[15:42:46]		1048572		122188		926384
[15:42:49]		1048572		134900		913672
[15:42:52]		1048572		131760		916812
[15:42:55]		1048572		135576		912996
[15:42:58]		1048572		134000		914572
[15:43:01]		1048572		134216		914356
[15:43:04]		1048572		138484		910088
[15:43:07]		1048572		135816		912756
[15:43:10]		1048572		140600		907972
[15:43:13]		1048572		139796		908776
[15:43:16]		1048572		139024		909548
[15:43:19]		1048572		134844		913728
[15:43:22]		1048572		127756		920816
[15:43:25]		1048572		127724		920848
[15:43:28]		1048572		125176		923396
[15:43:31]		1048572		130248		918324
[15:43:34]		1048572		135668		912904
[15:43:37]		1048572		140292		908280
[15:43:40]		1048572		152692		895880
[15:43:43]		1048572		155424		893148
[15:43:46]		1048572		190216		858356
[15:43:49]		1048572		164576		883996
[15:43:52]		1048572		173652		874920
[15:43:55]		1048572		166704		881868
[15:43:58]		1048572		163612		884960
[15:44:01]		1048572		165888		882684
[15:44:04]		1048572		154460		894112
[15:44:07]		1048572		147924		900648
[15:44:10]		1048572		132808		915764
[15:44:13]		1048572		145344		903228
[15:44:16]		1048572		147292		901280
[15:44:19]		1048572		139148		909424
[15:44:22]		1048572		134420		914152
[15:44:25]		1048572		146796		901776
[15:44:28]		1048572		139964		908608
[15:44:31]		1048572		130056		918516
[15:44:34]		1048572		142036		906536
[15:44:37]		1048572		175128		873444
[15:44:40]		1048572		149964		898608
[15:44:43]		1048572		166380		882192
[15:44:46]		1048572		165172		883400
[15:44:49]		1048572		149816		898756
[15:44:52]		1048572		154392		894180
[15:44:55]		1048572		135008		913564
[15:44:58]		1048572		136700		911872
[15:45:01]		1048572		150264		898308
[15:45:04]		1048572		136848		911724
[15:45:07]		1048572		146060		902512
[15:45:10]		1048572		146256		902316
[15:45:13]		1048572		148976		899596
