record in kb
time		total		used		free
[10:00:53]		1048572		16736		1031836
[10:00:56]		1048572		16732		1031840
[10:00:59]		1048572		16732		1031840
[10:01:02]		1048572		16732		1031840
[10:01:05]		1048572		16732		1031840
[10:01:08]		1048572		16732		1031840
[10:01:11]		1048572		16732		1031840
[10:01:14]		1048572		16732		1031840
[10:01:17]		1048572		16732		1031840
[10:01:20]		1048572		16732		1031840
[10:01:23]		1048572		16732		1031840
[10:01:26]		1048572		16740		1031832
[10:01:29]		1048572		16740		1031832
[10:01:32]		1048572		16740		1031832
[10:01:35]		1048572		16740		1031832
[10:01:38]		1048572		16740		1031832
[10:01:41]		1048572		16740		1031832
[10:01:44]		1048572		16776		1031796
[10:01:47]		1048572		16776		1031796
[10:01:50]		1048572		16784		1031788
[10:01:53]		1048572		16948		1031624
[10:01:56]		1048572		16948		1031624
[10:01:59]		1048572		16948		1031624
[10:02:02]		1048572		16948		1031624
[10:02:05]		1048572		16948		1031624
[10:02:08]		1048572		16948		1031624
[10:02:11]		1048572		16948		1031624
[10:02:14]		1048572		16948		1031624
[10:02:17]		1048572		16948		1031624
[10:02:20]		1048572		16948		1031624
[10:02:23]		1048572		16948		1031624
[10:02:26]		1048572		16944		1031628
[10:02:29]		1048572		16940		1031632
[10:02:32]		1048572		16940		1031632
[10:02:35]		1048572		16940		1031632
[10:02:38]		1048572		16940		1031632
[10:02:41]		1048572		16940		1031632
[10:02:44]		1048572		16940		1031632
[10:02:47]		1048572		16940		1031632
[10:02:50]		1048572		16940		1031632
[10:02:53]		1048572		16940		1031632
[10:02:56]		1048572		16940		1031632
[10:02:59]		1048572		16940		1031632
[10:03:02]		1048572		16940		1031632
[10:03:05]		1048572		16940		1031632
[10:03:08]		1048572		16940		1031632
[10:03:11]		1048572		16940		1031632
[10:03:14]		1048572		16940		1031632
[10:03:17]		1048572		16940		1031632
[10:03:20]		1048572		16940		1031632
[10:03:23]		1048572		16940		1031632
[10:03:26]		1048572		16940		1031632
[10:03:29]		1048572		16940		1031632
[10:03:32]		1048572		16940		1031632
[10:03:35]		1048572		16940		1031632
[10:03:38]		1048572		16940		1031632
[10:03:41]		1048572		16940		1031632
[10:03:44]		1048572		16940		1031632
[10:03:47]		1048572		16940		1031632
[10:03:50]		1048572		16940		1031632
[10:03:53]		1048572		16940		1031632
[10:03:56]		1048572		16940		1031632
[10:03:59]		1048572		16940		1031632
[10:04:02]		1048572		16940		1031632
[10:04:05]		1048572		16940		1031632
[10:04:08]		1048572		16940		1031632
[10:04:11]		1048572		16940		1031632
[10:04:14]		1048572		16940		1031632
