recorded by mmserver domain:[id:14 time:Sat Mar  9 18:57:20 2013
]
time		tg_mem		use_mem		free_mem		
18:57:22		1045041		114525		930516		
18:57:24		1041977		114437		927540		
18:57:27		1042028		114488		927540		
18:57:29		1042024		114484		927540		
18:57:31		1042006		114466		927540		
18:57:33		1041983		114443		927540		
18:57:35		1041957		114417		927540		
18:57:37		1041952		114412		927540		
18:57:39		1041929		114513		927416		
18:57:41		1041938		114522		927416		
18:57:43		1042016		114600		927416		
18:57:45		1041790		114498		927292		
18:57:47		1040650		114474		926176		
18:57:49		1039712		114404		925308		
18:57:51		1038800		114484		924316		
18:57:53		1038836		114520		924316		
18:57:55		1038481		114413		924068		
18:57:57		1037980		114408		923572		
18:57:59		1036931		114475		922456		
18:58:01		1038571		116115		922456		
18:58:03		1038956		114516		924440		
18:58:05		1039180		114616		924564		
18:58:07		1039366		114554		924812		
18:58:09		1039471		114535		924936		
18:58:11		1039449		114513		924936		
18:58:13		1039384		114448		924936		
18:58:15		1038419		113979		924440		
18:58:17		1038517		114077		924440		
18:58:19		1038527		114087		924440		
18:58:21		1037998		113930		924068		
18:58:23		1037317		113993		923324		
18:58:25		1036747		113919		922828		
18:58:27		1036283		113951		922332		
18:58:29		1035835		113999		921836		
18:58:32		1034915		113947		920968		
18:58:34		1033597		113993		919604		
18:58:36		1032554		113942		918612		
18:58:38		1030776		114024		916752		
18:58:40		1029721		114085		915636		
18:58:42		1028317		114045		914272		
18:58:44		1026918		114010		912908		
18:58:46		1026872		114088		912784		
18:58:48		1026308		114020		912288		
18:58:50		1026085		114045		912040		
18:58:52		1025141		114093		911048		
18:58:54		1025182		114134		911048		
18:58:56		1024564		114012		910552		
18:58:58		1024500		114072		910428		
18:59:00		1024432		114004		910428		
18:59:02		1023537		114101		909436		
18:59:04		1022941		114125		908816		
18:59:06		1023277		114461		908816		
18:59:08		1023308		114492		908816		
18:59:10		1023378		114562		908816		
18:59:12		1023418		114602		908816		
18:59:14		1023481		114541		908940		
18:59:16		1023506		114566		908940		
18:59:18		1022978		114038		908940		
18:59:20		1022341		114021		908320		
18:59:22		1022405		114085		908320		
18:59:24		1022427		114107		908320		
18:59:26		1022454		114134		908320		
18:59:28		1022461		114141		908320		
18:59:30		1022464		114144		908320		
18:59:32		1022421		114101		908320		
18:59:35		1022295		113975		908320		
18:59:37		1020631		113923		906708		
18:59:39		1019315		113971		905344		
18:59:41		1017893		114037		903856		
18:59:43		1018434		114578		903856		
18:59:45		1018583		114603		903980		
18:59:47		1018665		114561		904104		
18:59:49		1018557		114453		904104		
18:59:51		1018575		114471		904104		
18:59:53		1018663		114559		904104		
18:59:55		1018731		114503		904228		
18:59:57		1018989		114513		904476		
18:59:59		1019080		114604		904476		
19:00:01		1019163		114563		904600		
19:00:03		1019353		114505		904848		
19:00:05		1019424		114576		904848		
19:00:07		1019504		114656		904848		
19:00:09		1019587		114739		904848		
19:00:11		1019658		114562		905096		
19:00:13		1019654		114558		905096		
19:00:15		1019672		114576		905096		
19:00:17		1019715		114619		905096		
19:00:19		1019740		114644		905096		
19:00:21		1019772		114676		905096		
19:00:23		1019791		114695		905096		
19:00:25		1019797		114701		905096		
19:00:27		1019799		114579		905220		
19:00:29		1019762		114542		905220		
19:00:31		1019744		114524		905220		
19:00:33		1019687		114467		905220		
