record in kb
time		total		used		free
[18:16:50]		1048572		5544		1043028
[18:16:53]		1048572		5544		1043028
[18:16:56]		1048572		5544		1043028
[18:16:59]		1048572		6828		1041744
[18:17:02]		1048572		6820		1041752
[18:17:05]		1048572		11568		1037004
[18:17:08]		1048572		11568		1037004
[18:17:11]		1048572		11568		1037004
[18:17:14]		1048572		11568		1037004
[18:17:17]		1048572		11568		1037004
[18:17:20]		1048572		11568		1037004
[18:17:23]		1048572		11416		1037156
[18:17:26]		1048572		11416		1037156
[18:17:29]		1048572		11416		1037156
[18:17:32]		1048572		11416		1037156
[18:17:35]		1048572		11416		1037156
[18:17:38]		1048572		11412		1037160
[18:17:41]		1048572		26096		1022476
[18:17:44]		1048572		26776		1021796
[18:17:47]		1048572		27052		1021520
[18:17:50]		1048572		23340		1025232
[18:17:53]		1048572		54252		994320
[18:17:56]		1048572		61988		986584
[18:17:59]		1048572		20500		1028072
[18:18:02]		1048572		20324		1028248
[18:18:05]		1048572		20324		1028248
[18:18:08]		1048572		20324		1028248
[18:18:11]		1048572		20324		1028248
[18:18:14]		1048572		43360		1005212
[18:18:17]		1048572		30916		1017656
[18:18:20]		1048572		44524		1004048
[18:18:23]		1048572		35900		1012672
[18:18:26]		1048572		32864		1015708
[18:18:29]		1048572		53148		995424
[18:18:32]		1048572		63192		985380
[18:18:35]		1048572		86772		961800
[18:18:38]		1048572		92892		955680
[18:18:41]		1048572		121220		927352
[18:18:44]		1048572		121148		927424
[18:18:47]		1048572		150040		898532
[18:18:50]		1048572		158716		889856
[18:18:53]		1048572		171984		876588
[18:18:56]		1048572		161340		887232
[18:18:59]		1048572		163864		884708
[18:19:02]		1048572		167936		880636
[18:19:05]		1048572		175440		873132
[18:19:08]		1048572		175408		873164
[18:19:11]		1048572		178480		870092
[18:19:14]		1048572		182660		865912
[18:19:17]		1048572		179456		869116
[18:19:20]		1048572		187700		860872
[18:19:23]		1048572		183308		865264
[18:19:26]		1048572		180440		868132
[18:19:29]		1048572		171424		877148
[18:19:32]		1048572		179272		869300
[18:19:35]		1048572		177652		870920
[18:19:38]		1048572		183576		864996
[18:19:41]		1048572		167720		880852
[18:19:44]		1048572		198328		850244
[18:19:47]		1048572		196524		852048
[18:19:50]		1048572		195336		853236
[18:19:53]		1048572		198316		850256
[18:19:56]		1048572		203012		845560
[18:19:59]		1048572		206904		841668
[18:20:02]		1048572		198836		849736
[18:20:05]		1048572		185956		862616
[18:20:08]		1048572		203916		844656
[18:20:12]		1048572		200368		848204
[18:20:15]		1048572		203268		845304
[18:20:18]		1048572		196764		851808
[18:20:21]		1048572		195740		852832
[18:20:24]		1048572		214680		833892
[18:20:27]		1048572		206860		841712
[18:20:30]		1048572		230400		818172
[18:20:33]		1048572		221916		826656
[18:20:36]		1048572		239680		808892
[18:20:39]		1048572		231132		817440
[18:20:42]		1048572		232244		816328
[18:20:45]		1048572		224096		824476
[18:20:48]		1048572		227340		821232
[18:20:51]		1048572		235092		813480
[18:20:54]		1048572		221896		826676
[18:20:57]		1048572		221740		826832
[18:21:00]		1048572		202612		845960
[18:21:03]		1048572		208608		839964
[18:21:06]		1048572		216764		831808
[18:21:09]		1048572		221660		826912
[18:21:12]		1048572		214448		834124
[18:21:15]		1048572		222120		826452
[18:21:18]		1048572		226372		822200
[18:21:21]		1048572		224976		823596
[18:21:24]		1048572		223340		825232
[18:21:27]		1048572		214624		833948
[18:21:30]		1048572		224956		823616
[18:21:33]		1048572		229952		818620
[18:21:36]		1048572		228408		820164
[18:21:39]		1048572		231204		817368
[18:21:42]		1048572		218640		829932
[18:21:45]		1048572		210588		837984
[18:21:48]		1048572		221472		827100
[18:21:51]		1048572		218792		829780
[18:21:54]		1048572		209924		838648
[18:21:57]		1048572		214632		833940
[18:22:00]		1048572		207980		840592
[18:22:03]		1048572		224360		824212
[18:22:06]		1048572		235956		812616
[18:22:09]		1048572		243064		805508
[18:22:12]		1048572		246072		802500
[18:22:15]		1048572		251948		796624
[18:22:18]		1048572		268148		780424
[18:22:21]		1048572		274176		774396
[18:22:24]		1048572		276896		771676
[18:22:27]		1048572		277956		770616
[18:22:30]		1048572		282660		765912
[18:22:33]		1048572		274840		773732
[18:22:36]		1048572		270420		778152
[18:22:39]		1048572		272168		776404
[18:22:42]		1048572		268144		780428
[18:22:45]		1048572		263636		784936
[18:22:48]		1048572		275964		772608
[18:22:51]		1048572		275688		772884
[18:22:54]		1048572		249188		799384
[18:22:57]		1048572		247056		801516
[18:23:00]		1048572		250028		798544
[18:23:03]		1048572		253792		794780
[18:23:06]		1048572		255532		793040
[18:23:09]		1048572		259820		788752
[18:23:12]		1048572		279292		769280
[18:23:15]		1048572		269400		779172
[18:23:18]		1048572		261360		787212
[18:23:21]		1048572		260192		788380
[18:23:24]		1048572		266980		781592
[18:23:27]		1048572		268720		779852
[18:23:30]		1048572		264032		784540
[18:23:33]		1048572		260500		788072
[18:23:36]		1048572		268772		779800
[18:23:39]		1048572		265392		783180
[18:23:42]		1048572		277408		771164
[18:23:45]		1048572		277168		771404
[18:23:48]		1048572		280356		768216
[18:23:51]		1048572		281524		767048
[18:23:54]		1048572		284724		763848
[18:23:57]		1048572		279304		769268
[18:24:00]		1048572		275048		773524
[18:24:03]		1048572		292476		756096
[18:24:06]		1048572		294340		754232
[18:24:09]		1048572		293780		754792
[18:24:12]		1048572		320404		728168
[18:24:15]		1048572		318868		729704
[18:24:18]		1048572		323456		725116
[18:24:21]		1048572		341760		706812
[18:24:24]		1048572		368944		679628
[18:24:27]		1048572		365904		682668
[18:24:30]		1048572		337792		710780
[18:24:33]		1048572		328084		720488
[18:24:36]		1048572		325104		723468
[18:24:39]		1048572		314040		734532
[18:24:42]		1048572		345120		703452
[18:24:45]		1048572		349268		699304
[18:24:48]		1048572		351696		696876
[18:24:51]		1048572		341716		706856
[18:24:54]		1048572		340752		707820
[18:24:57]		1048572		306264		742308
[18:25:00]		1048572		289784		758788
[18:25:03]		1048572		306856		741716
[18:25:06]		1048572		302584		745988
[18:25:09]		1048572		304496		744076
[18:25:12]		1048572		310840		737732
[18:25:15]		1048572		323392		725180
[18:25:18]		1048572		329964		718608
[18:25:21]		1048572		306152		742420
[18:25:24]		1048572		311204		737368
[18:25:27]		1048572		298012		750560
[18:25:30]		1048572		303892		744680
[18:25:33]		1048572		276500		772072
[18:25:36]		1048572		286696		761876
[18:25:39]		1048572		278080		770492
[18:25:42]		1048572		278516		770056
[18:25:45]		1048572		270364		778208
[18:25:48]		1048572		296140		752432
[18:25:51]		1048572		308676		739896
[18:25:54]		1048572		328476		720096
[18:25:57]		1048572		277304		771268
[18:26:00]		1048572		275200		773372
[18:26:03]		1048572		277556		771016
[18:26:06]		1048572		305116		743456
[18:26:09]		1048572		318704		729868
[18:26:12]		1048572		315496		733076
[18:26:15]		1048572		304724		743848
[18:26:18]		1048572		294456		754116
[18:26:21]		1048572		184444		864128
[18:26:24]		1048572		69680		978892
[18:26:27]		1048572		39588		1008984
[18:26:30]		1048572		21716		1026856
[18:26:33]		1048572		86220		962352
[18:26:36]		1048572		53076		995496
[18:26:39]		1048572		50684		997888
[18:26:42]		1048572		66680		981892
[18:26:45]		1048572		77488		971084
[18:26:48]		1048572		20756		1027816
[18:26:51]		1048572		20756		1027816
[18:26:54]		1048572		20720		1027852
[18:26:57]		1048572		20724		1027848
[18:27:00]		1048572		50740		997832
[18:27:03]		1048572		88948		959624
[18:27:06]		1048572		151096		897476
[18:27:09]		1048572		217080		831492
[18:27:12]		1048572		243392		805180
[18:27:15]		1048572		240900		807672
[18:27:18]		1048572		290468		758104
[18:27:21]		1048572		313580		734992
[18:27:24]		1048572		317168		731404
[18:27:27]		1048572		326600		721972
[18:27:30]		1048572		371684		676888
[18:27:33]		1048572		374576		673996
[18:27:36]		1048572		393328		655244
[18:27:39]		1048572		400836		647736
[18:27:42]		1048572		404076		644496
[18:27:45]		1048572		415440		633132
[18:27:48]		1048572		418564		630008
[18:27:51]		1048572		410752		637820
[18:27:54]		1048572		412052		636520
[18:27:57]		1048572		402700		645872
[18:28:00]		1048572		384844		663728
[18:28:03]		1048572		381200		667372
[18:28:06]		1048572		390076		658496
[18:28:09]		1048572		398416		650156
[18:28:12]		1048572		409756		638816
[18:28:15]		1048572		416640		631932
[18:28:18]		1048572		417696		630876
[18:28:21]		1048572		418416		630156
[18:28:24]		1048572		425692		622880
[18:28:27]		1048572		423228		625344
[18:28:30]		1048572		426560		622012
[18:28:33]		1048572		424280		624292
[18:28:36]		1048572		426148		622424
[18:28:39]		1048572		435960		612612
[18:28:42]		1048572		442904		605668
[18:28:45]		1048572		440456		608116
[18:28:48]		1048572		449184		599388
[18:28:51]		1048572		454164		594408
[18:28:54]		1048572		459392		589180
[18:28:57]		1048572		454492		594080
[18:29:00]		1048572		459980		588592
[18:29:03]		1048572		455948		592624
[18:29:06]		1048572		444516		604056
[18:29:09]		1048572		425512		623060
[18:29:12]		1048572		437016		611556
[18:29:15]		1048572		428324		620248
[18:29:18]		1048572		428264		620308
[18:29:21]		1048572		433212		615360
[18:29:24]		1048572		444564		604008
[18:29:27]		1048572		444236		604336
[18:29:30]		1048572		453868		594704
[18:29:33]		1048572		450500		598072
[18:29:36]		1048572		445144		603428
[18:29:39]		1048572		455560		593012
[18:29:42]		1048572		470140		578432
[18:29:45]		1048572		486968		561604
[18:29:48]		1048572		486504		562068
[18:29:51]		1048572		490592		557980
[18:29:54]		1048572		495396		553176
[18:29:57]		1048572		497108		551464
[18:30:00]		1048572		488900		559672
[18:30:03]		1048572		491252		557320
[18:30:06]		1048572		492480		556092
[18:30:09]		1048572		501780		546792
[18:30:12]		1048572		498328		550244
[18:30:15]		1048572		506516		542056
[18:30:18]		1048572		510072		538500
[18:30:21]		1048572		507940		540632
[18:30:24]		1048572		498800		549772
[18:30:27]		1048572		502204		546368
[18:30:30]		1048572		495704		552868
[18:30:33]		1048572		486436		562136
[18:30:36]		1048572		512264		536308
[18:30:39]		1048572		519792		528780
[18:30:42]		1048572		525028		523544
[18:30:45]		1048572		262336		786236
[18:30:48]		1048572		174496		874076
[18:30:51]		1048572		115104		933468
[18:30:54]		1048572		45840		1002732
[18:30:57]		1048572		21592		1026980
[18:31:00]		1048572		21592		1026980
[18:31:03]		1048572		21592		1026980
[18:31:06]		1048572		21592		1026980
[18:31:09]		1048572		75172		973400
[18:31:12]		1048572		80128		968444
[18:31:15]		1048572		79320		969252
[18:31:18]		1048572		143236		905336
[18:31:21]		1048572		136612		911960
[18:31:24]		1048572		136272		912300
[18:31:27]		1048572		128480		920092
[18:31:30]		1048572		127628		920944
[18:31:33]		1048572		133176		915396
[18:31:36]		1048572		128656		919916
[18:31:39]		1048572		138840		909732
[18:31:42]		1048572		144108		904464
[18:31:45]		1048572		149768		898804
[18:31:48]		1048572		145004		903568
[18:31:51]		1048572		141360		907212
[18:31:54]		1048572		149292		899280
[18:31:57]		1048572		148820		899752
[18:32:00]		1048572		158672		889900
[18:32:03]		1048572		161360		887212
[18:32:06]		1048572		154312		894260
[18:32:09]		1048572		157984		890588
[18:32:12]		1048572		152768		895804
[18:32:15]		1048572		152828		895744
[18:32:18]		1048572		149144		899428
[18:32:21]		1048572		151052		897520
[18:32:24]		1048572		158852		889720
[18:32:27]		1048572		160588		887984
[18:32:30]		1048572		171792		876780
[18:32:33]		1048572		166192		882380
[18:32:36]		1048572		36380		1012192
[18:32:39]		1048572		21752		1026820
[18:32:42]		1048572		21752		1026820
[18:32:45]		1048572		21748		1026824
[18:32:48]		1048572		21756		1026816
[18:32:51]		1048572		21756		1026816
[18:32:54]		1048572		21756		1026816
[18:32:57]		1048572		21748		1026824
[18:33:00]		1048572		21748		1026824
[18:33:03]		1048572		21712		1026860
[18:33:06]		1048572		21712		1026860
[18:33:09]		1048572		21712		1026860
[18:33:12]		1048572		21712		1026860
[18:33:15]		1048572		21712		1026860
[18:33:18]		1048572		21712		1026860
[18:33:21]		1048572		21712		1026860
[18:33:24]		1048572		66160		982412
[18:33:27]		1048572		81712		966860
[18:33:30]		1048572		60772		987800
[18:33:33]		1048572		62184		986388
[18:33:36]		1048572		67424		981148
[18:33:39]		1048572		76528		972044
[18:33:42]		1048572		59328		989244
[18:33:45]		1048572		70172		978400
[18:33:48]		1048572		80212		968360
[18:33:51]		1048572		85204		963368
[18:33:54]		1048572		71936		976636
[18:33:57]		1048572		21752		1026820
[18:34:00]		1048572		21752		1026820
[18:34:03]		1048572		21716		1026856
[18:34:06]		1048572		21712		1026860
[18:34:09]		1048572		21712		1026860
[18:34:12]		1048572		21712		1026860
[18:34:15]		1048572		21712		1026860
[18:34:18]		1048572		21704		1026868
[18:34:21]		1048572		21704		1026868
[18:34:24]		1048572		21704		1026868
[18:34:27]		1048572		21704		1026868
[18:34:30]		1048572		21704		1026868
[18:34:33]		1048572		21704		1026868
