record in kb
time		total		used		free
[18:57:04]		1048572		20240		1028332
[18:57:07]		1048572		20240		1028332
[18:57:10]		1048572		20228		1028344
[18:57:13]		1048572		20224		1028348
[18:57:16]		1048572		20220		1028352
[18:57:19]		1048572		20216		1028356
[18:57:22]		1048572		20216		1028356
[18:57:25]		1048572		20216		1028356
[18:57:28]		1048572		20216		1028356
[18:57:31]		1048572		20212		1028360
[18:57:34]		1048572		20208		1028364
[18:57:37]		1048572		20208		1028364
[18:57:40]		1048572		20208		1028364
[18:57:43]		1048572		20208		1028364
[18:57:46]		1048572		20204		1028368
[18:57:49]		1048572		20204		1028368
[18:57:52]		1048572		20204		1028368
[18:57:55]		1048572		20204		1028368
[18:57:58]		1048572		20200		1028372
[18:58:01]		1048572		20200		1028372
[18:58:04]		1048572		20200		1028372
[18:58:07]		1048572		20200		1028372
[18:58:10]		1048572		20200		1028372
[18:58:13]		1048572		20200		1028372
[18:58:16]		1048572		20200		1028372
[18:58:19]		1048572		20200		1028372
[18:58:22]		1048572		20200		1028372
[18:58:25]		1048572		20200		1028372
[18:58:28]		1048572		20200		1028372
[18:58:31]		1048572		20200		1028372
[18:58:34]		1048572		20200		1028372
[18:58:37]		1048572		20200		1028372
[18:58:40]		1048572		20200		1028372
[18:58:43]		1048572		20200		1028372
[18:58:46]		1048572		20196		1028376
[18:58:49]		1048572		20196		1028376
[18:58:52]		1048572		20196		1028376
[18:58:55]		1048572		20196		1028376
[18:58:58]		1048572		20196		1028376
[18:59:01]		1048572		20196		1028376
[18:59:04]		1048572		20196		1028376
[18:59:07]		1048572		20196		1028376
[18:59:10]		1048572		20196		1028376
[18:59:13]		1048572		20196		1028376
[18:59:16]		1048572		20196		1028376
[18:59:19]		1048572		20196		1028376
[18:59:22]		1048572		20196		1028376
[18:59:25]		1048572		20196		1028376
[18:59:28]		1048572		20196		1028376
[18:59:31]		1048572		20196		1028376
[18:59:34]		1048572		20196		1028376
[18:59:37]		1048572		20196		1028376
[18:59:40]		1048572		20196		1028376
[18:59:43]		1048572		20196		1028376
[18:59:46]		1048572		20196		1028376
[18:59:49]		1048572		20196		1028376
[18:59:52]		1048572		20196		1028376
[18:59:55]		1048572		20196		1028376
[18:59:59]		1048572		20196		1028376
[19:00:02]		1048572		20196		1028376
[19:00:05]		1048572		20196		1028376
[19:00:08]		1048572		20196		1028376
[19:00:11]		1048572		20196		1028376
[19:00:14]		1048572		20196		1028376
[19:00:17]		1048572		20196		1028376
[19:00:20]		1048572		20196		1028376
[19:00:23]		1048572		20196		1028376
[19:00:26]		1048572		20196		1028376
[19:00:29]		1048572		20196		1028376
[19:00:32]		1048572		20196		1028376
[19:00:35]		1048572		20196		1028376
[19:00:38]		1048572		20196		1028376
[19:00:41]		1048572		20196		1028376
[19:00:44]		1048572		20196		1028376
[19:00:47]		1048572		19956		1028616
[19:00:50]		1048572		19956		1028616
[19:00:53]		1048572		19956		1028616
[19:00:56]		1048572		19956		1028616
[19:00:59]		1048572		19956		1028616
[19:01:02]		1048572		19956		1028616
[19:01:06]		1048572		19956		1028616
[19:01:09]		1048572		19956		1028616
[19:01:12]		1048572		19956		1028616
[19:01:15]		1048572		19956		1028616
[19:01:18]		1048572		19956		1028616
[19:01:21]		1048572		19956		1028616
[19:01:24]		1048572		19956		1028616
[19:01:27]		1048572		19956		1028616
[19:01:30]		1048572		19956		1028616
[19:01:33]		1048572		19956		1028616
[19:01:36]		1048572		19956		1028616
[19:01:39]		1048572		19956		1028616
[19:01:42]		1048572		19956		1028616
[19:01:45]		1048572		19956		1028616
[19:01:48]		1048572		19956		1028616
[19:01:51]		1048572		19956		1028616
[19:01:54]		1048572		19956		1028616
[19:01:57]		1048572		19956		1028616
[19:02:00]		1048572		19956		1028616
[19:02:03]		1048572		19956		1028616
[19:02:06]		1048572		19956		1028616
[19:02:09]		1048572		19956		1028616
[19:02:12]		1048572		19956		1028616
[19:02:15]		1048572		19956		1028616
[19:02:18]		1048572		19956		1028616
[19:02:21]		1048572		19956		1028616
[19:02:24]		1048572		19956		1028616
[19:02:27]		1048572		19956		1028616
[19:02:30]		1048572		19956		1028616
[19:02:33]		1048572		19956		1028616
[19:02:36]		1048572		19956		1028616
[19:02:39]		1048572		19956		1028616
[19:02:42]		1048572		19956		1028616
[19:02:45]		1048572		19956		1028616
[19:02:48]		1048572		19956		1028616
[19:02:51]		1048572		19956		1028616
[19:02:54]		1048572		19956		1028616
[19:02:57]		1048572		19956		1028616
[19:03:00]		1048572		19956		1028616
[19:03:03]		1048572		19956		1028616
[19:03:06]		1048572		19956		1028616
[19:03:09]		1048572		19956		1028616
[19:03:12]		1048572		19956		1028616
[19:03:15]		1048572		19956		1028616
[19:03:19]		1048572		19956		1028616
[19:03:22]		1048572		19956		1028616
[19:03:25]		1048572		19956		1028616
[19:03:28]		1048572		19956		1028616
[19:03:31]		1048572		19956		1028616
[19:03:34]		1048572		19956		1028616
[19:03:37]		1048572		19956		1028616
[19:03:40]		1048572		19956		1028616
[19:03:43]		1048572		19956		1028616
[19:03:46]		1048572		19956		1028616
[19:03:49]		1048572		19956		1028616
[19:03:52]		1048572		19956		1028616
[19:03:55]		1048572		19956		1028616
[19:03:58]		1048572		19956		1028616
[19:04:01]		1048572		19956		1028616
[19:04:04]		1048572		19956		1028616
[19:04:07]		1048572		19956		1028616
[19:04:10]		1048572		19956		1028616
[19:04:13]		1048572		19884		1028688
[19:04:16]		1048572		19884		1028688
[19:04:19]		1048572		19884		1028688
