recorded by mmserver domain:[id:13 time:Mon Apr  1 19:52:03 2013
]
time		tg_mem		use_mem		free_mem		
19:52:05		524288		225380		298908		
19:52:07		524288		225380		298908		
19:52:09		524288		225380		298908		
19:52:11		524288		225380		298908		
19:52:13		524288		225380		298908		
19:52:15		524288		225380		298908		
19:52:17		524288		225380		298908		
19:52:19		524288		225380		298908		
19:52:21		524288		225380		298908		
19:52:23		524288		225388		298900		
19:52:25		524288		240532		283756		
19:52:27		524288		240532		283756		
19:52:29		524288		244920		279368		
19:52:31		524288		244920		279368		
19:52:34		524288		244920		279368		
19:52:36		524288		247248		277040		
19:52:38		524288		247248		277040		
19:52:40		524288		247248		277040		
19:52:42		524288		247248		277040		
19:52:44		524288		247248		277040		
19:52:46		516692		239652		277040		
19:52:48		508820		231780		277040		
19:52:50		497210		220170		277040		
19:52:52		489712		212672		277040		
19:52:54		482965		205925		277040		
19:52:56		449067		224719		224348		
19:52:58		453606		237442		216164		
19:53:00		435018		257418		177600		
19:53:02		459091		258303		200788		
19:53:04		442739		258071		184668		
19:53:06		430572		259176		171396		
19:53:08		416109		260337		155772		
19:53:10		406014		260562		145452		
19:53:12		400453		261077		139376		
19:53:14		394442		261762		132680		
19:53:16		384809		262361		122448		
19:53:18		383630		263042		120588		
19:53:20		380920		263680		117240		
19:53:22		380685		264313		116372		
19:53:24		377906		264882		113024		
19:53:26		373813		265997		107816		
19:53:28		370822		266230		104592		
19:53:30		366741		266861		99880		
19:53:32		369154		269398		99756		
19:53:34		368455		268451		100004		
19:53:36		366872		268756		98116		
19:53:38		364586		269790		94796		
19:53:40		365547		270379		95168		
19:53:42		366469		271053		95416		
19:53:44		364461		271709		92752		
19:53:47		367113		274113		93000		
19:53:49		365459		272707		92752		
19:53:51		369525		273705		95820		
19:53:53		364629		274017		90612		
19:53:55		365837		275937		89900		
19:53:57		366613		275937		90676		
19:53:59		398893		308341		90552		
19:54:01		398893		277249		121644		
19:54:03		393569		277349		116220		
19:54:05		394165		278597		115568		
19:54:07		397944		279152		118792		
