recorded by mmserver domain:[id:4 time:Tue Apr  2 13:19:18 2013
]
time		tg_mem		use_mem		free_mem		
13:19:20		872962		646882		226080		
13:19:23		769762		646726		123036		
13:19:25		781414		658378		123036		
13:19:27		784071		661035		123036		
13:19:29		783915		660879		123036		
13:19:31		788955		665919		123036		
13:19:33		788799		648031		140768		
13:19:35		789335		648567		140768		
13:19:37		777087		636319		140768		
13:19:39		764797		624029		140768		
13:19:41		756947		616179		140768		
13:19:43		753727		612959		140768		
13:19:45		735838		595070		140768		
13:19:47		720387		645111		75276		
13:19:49		767991		648363		119628		
13:19:51		771243		481979		289264		
13:19:53		645900		507916		137984		
13:19:55		652228		554184		98044		
13:19:57		690244		593000		97244		
13:19:59		717120		639748		77372		
13:20:01		717120		638956		78164		
13:20:03		761836		686976		74860		
13:20:05		809856		737668		72188		
13:20:07		766018		691090		74928		
13:20:09		813970		725302		88668		
13:20:11		848182		756422		91760		
13:20:13		879302		744794		134508		
13:20:15		870304		752552		117752		
13:20:17		875688		752948		122740		
13:20:19		876535		755491		121044		
13:20:21		878371		421387		456984		
13:20:23		602856		392384		210472		
13:20:25		606492		467980		138512		
13:20:27		622613		508813		113800		
13:20:29		646484		551056		95428		
13:20:32		673936		579420		94516		
13:20:34		702300		615424		86876		
13:20:36		738303		651411		86892		
13:20:38		774291		684631		89660		
13:20:40		807511		719911		87600		
13:20:42		842791		752295		90496		
13:20:44		875175		783047		92128		
13:20:46		905927		810647		95280		
13:20:48		930507		832943		97564		
13:20:50		952793		866477		86316		
13:20:52		985214		901486		83728		
13:20:54		1020149		941733		78416		
13:20:56		1051194		959046		92148		
13:20:58		1064254		992278		71976		
13:21:00		1091559		993931		97628		
13:21:02		1093261		999237		94024		
13:21:04		1092019		1025287		66732		
13:21:06		1118155		1002063		116092		
13:21:08		1088642		977262		111380		
13:21:10		1067400		977340		90060		
13:21:12		1060959		976031		84928		
13:21:14		1059386		979134		80252		
13:21:16		1059296		990832		68464		
13:21:18		1068109		997969		70140		
13:21:20		1071743		1001603		70140		
13:21:22		1075219		1005079		70140		
13:21:24		1074177		969185		104992		
13:21:26		1042864		961956		80908		
13:21:28		1035139		942195		92944		
13:21:30		1017577		885377		132200		
13:21:33		966088		852736		113352		
13:21:35		932816		852640		80176		
13:21:37		935515		841271		94244		
13:21:39		924358		837026		87332		
13:21:41		917759		829571		88188		
13:21:43		910942		836386		74556		
13:21:45		915713		814601		101112		
13:21:47		895827		830643		65184		
13:21:49		910135		819435		90700		
13:21:51		897410		755686		141724		
13:21:53		839818		748314		91504		
13:21:55		829298		758130		71168		
13:21:57		840467		708303		132164		
13:21:59		831423		760763		70660		
13:22:01		915901		740817		175084		
13:22:03		777638		708006		69632		
13:22:05		832259		703695		128564		
13:22:07		824135		701891		122244		
13:22:09		822500		695544		126956		
13:22:11		814702		706470		108232		
13:22:13		823334		691790		131544		
13:22:15		809112		700504		108608		
13:22:17		813609		696941		116668		
13:22:19		815932		696916		119016		
13:22:21		810382		703270		107112		
13:22:23		811932		690344		121588		
13:22:25		800316		673024		127292		
13:22:27		784565		702905		81660		
13:22:29		808001		685173		122828		
13:22:31		790748		678568		112180		
13:22:33		782339		617359		164980		
13:22:35		726290		606138		120152		
13:22:38		710364		631132		79232		
13:22:40		735678		596786		138892		
13:22:42		703972		627592		76380		
13:22:44		728013		600793		127220		
13:22:46		705736		614104		91632		
13:22:48		736290		649246		87044		
13:22:50		694136		621968		72168		
13:22:52		747602		585942		161660		
13:22:54		708841		600509		108332		
13:22:56		711491		621387		90104		
13:22:58		730433		583025		147408		
13:23:00		690019		595947		94072		
13:23:02		700405		593313		107092		
13:23:04		698523		580131		118392		
13:23:06		682199		563807		118392		
13:23:08		667818		592958		74860		
13:23:10		692378		594950		97428		
13:23:12		695757		592253		103504		
13:23:14		692111		598155		93956		
13:23:16		729029		632221		96808		
13:23:18		722158		582074		140084		
13:23:20		705503		606835		98668		
13:23:22		726625		581457		145168		
13:23:24		703986		596018		107968		
13:23:26		714976		575620		139356		
13:23:28		696472		596440		100032		
13:23:30		712680		602604		110076		
13:23:32		717235		583351		133884		
13:23:34		701303		589119		112184		
13:23:36		704473		603945		100528		
13:23:38		749549		654229		95320		
13:23:41		742357		593965		148392		
13:23:43		722784		607624		115160		
13:23:45		730503		613483		117020		
13:23:47		736363		615995		120368		
13:23:49		738874		607718		131156		
13:23:51		729991		587303		142688		
13:23:53		709756		605508		104248		
13:23:55		723469		591809		131660		
13:23:57		710242		602274		107968		
13:23:59		718273		612165		106108		
13:24:01		727270		580218		147052		
13:24:03		693970		565774		128196		
13:24:05		674661		546465		128196		
13:24:07		666313		587421		78892		
13:24:09		691515		566607		124908		
13:24:11		675452		600068		75384		
13:24:13		702274		565866		136408		
13:24:15		669522		542786		126736		
13:24:17		648252		574572		73680		
13:24:19		674118		580882		93236		
13:24:21		680766		572674		108092		
13:24:23		672972		528688		144284		
13:24:25		633431		519899		113532		
13:24:27		622398		538130		84268		
13:24:29		671629		583373		88256		
13:24:31		649099		541839		107260		
13:24:33		667226		533262		133964		
13:24:35		649539		521403		128136		
13:24:37		641789		536965		104824		
13:24:39		648544		503048		145496		
13:24:42		613110		518206		94904		
13:24:44		625429		518745		106684		
13:24:46		628020		514764		113256		
13:24:48		619196		496128		123068		
13:24:50		602729		537093		65636		
13:24:52		636070		516962		119108		
13:24:54		615612		506300		109312		
13:24:56		604950		500226		104724		
13:24:58		597236		499208		98028		
13:25:00		594055		486851		107204		
13:25:02		583009		491913		91096		
13:25:04		587651		507083		80568		
13:25:06		597985		476613		121372		
13:25:08		568967		493491		75476		
13:25:10		580431		470763		109668		
13:25:12		561503		468203		93300		
13:25:14		560531		466755		93776		
13:25:16		566122		457942		108180		
13:25:18		555392		484040		71352		
13:25:20		580478		463494		116984		
13:25:22		562123		450471		111652		
13:25:24		548637		467241		81396		
13:25:26		563244		463128		100116		
13:25:28		560198		482394		77804		
13:25:30		576627		456463		120164		
13:25:32		553373		474997		78376		
13:25:34		553373		423901		129472		
13:25:36		524620		412104		112516		
13:25:38		511344		415692		95652		
13:25:40		515723		426271		89452		
13:25:42		515723		402799		112924		
13:25:45		527931		401127		126804		
13:25:47		525058		415250		109808		
13:25:49		535267		406891		128376		
13:25:51		531460		392420		139040		
13:25:53		517769		387665		130104		
13:25:55		511414		406110		105304		
13:25:57		521219		416907		104312		
13:25:59		528568		420660		107908		
13:26:01		527854		426766		101088		
13:26:03		532843		394431		138412		
13:26:05		502502		413194		89308		
13:26:07		514543		378471		136072		
13:26:09		484836		397040		87796		
13:26:11		499882		417418		82464		
13:26:13		518549		386237		132312		
13:26:15		525389		389977		135412		
13:26:17		568107		424387		143720		
13:26:19		556280		405980		150300		
13:26:21		532342		442554		89788		
13:26:23		563704		400012		163692		
13:26:25		523608		381104		142504		
13:26:27		501965		394569		107396		
