recorded by mmserver domain:[id:21 time:Tue Apr 16 15:10:41 2013
]
time		tg_mem		use_mem		free_mem		
15:10:43		524288		266588		257700		
15:10:45		524288		266588		257700		
15:10:47		524288		266588		257700		
15:10:49		524288		266588		257700		
15:10:51		524288		266588		257700		
15:10:53		524288		266588		257700		
15:10:55		524288		266588		257700		
15:10:57		524288		266588		257700		
15:10:59		524288		266588		257700		
15:11:01		524288		266588		257700		
15:11:03		524288		266588		257700		
15:11:05		524288		266588		257700		
15:11:07		524288		266588		257700		
15:11:09		524288		266588		257700		
15:11:11		524288		266588		257700		
15:11:13		524288		266588		257700		
15:11:15		524288		283076		241212		
15:11:17		524288		286512		237776		
15:11:19		524288		289612		234676		
15:11:21		524288		292512		231776		
15:11:23		524288		294372		229916		
15:11:25		524288		295860		228428		
15:11:27		524288		297348		226940		
15:11:29		524288		300920		223368		
15:11:31		534905		307697		227208		
15:11:33		534905		307697		227208		
15:11:35		534905		307697		227208		
15:11:37		534905		320037		214868		
15:11:39		534905		325045		209860		
15:11:41		534905		329401		205504		
15:11:43		534905		334501		200404		
15:11:45		534905		339353		195552		
15:11:47		546881		343797		203084		
15:11:49		546881		347677		199204		
15:11:51		546881		351197		195684		
15:11:53		546881		355725		191156		
15:11:55		546881		359853		187028		
15:11:57		546881		363773		183108		
15:11:59		546881		367669		179212		
15:12:01		546881		371841		175040		
15:12:04		558186		376590		181596		
15:12:06		558186		380978		177208		
15:12:08		558186		385582		172604		
15:12:10		558186		390434		167752		
15:12:12		558186		395038		163148		
15:12:14		568637		399709		168928		
15:12:16		568637		404545		164092		
15:12:18		568637		409149		159488		
15:12:20		568637		414001		154636		
15:12:22		568637		418281		150356		
15:12:24		584130		421126		163004		
15:12:26		584130		424118		160012		
15:12:28		584130		426722		157408		
15:12:30		584130		428210		155920		
15:12:32		584130		432318		151812		
15:12:34		584130		435294		148836		
15:12:36		584130		438286		145844		
15:12:38		594698		440918		153780		
15:12:40		594698		443522		151176		
15:12:42		594698		446390		148308		
15:12:44		594698		449366		145332		
15:12:46		594698		452110		142588		
15:12:48		606584		454820		151764		
15:12:50		606584		457796		148788		
15:12:52		606584		460540		146044		
15:12:54		606584		462048		144536		
15:12:56		606584		465768		140816		
15:12:58		606584		467876		138708		
15:13:00		606584		470852		135732		
15:13:02		606584		477300		129284		
15:13:04		618049		484673		133376		
15:13:06		618049		496905		121144		
15:13:08		635067		502259		132808		
15:13:10		635067		511319		123748		
15:13:12		672807		519823		152984		
15:13:14		672807		528627		144180		
15:13:16		672807		532611		140196		
15:13:18		672807		567103		105704		
15:13:20		694982		579490		115492		
15:13:22		694982		591334		103648		
15:13:24		714214		604990		109224		
15:13:27		727870		618602		109268		
15:13:29		741482		632214		109268		
15:13:31		755093		645825		109268		
15:13:33		700028		590760		109268		
15:13:35		715876		606608		109268		
15:13:37		730512		621244		109268		
15:13:39		744311		648763		95548		
15:13:41		771643		650675		120968		
15:13:43		771643		649931		121712		
15:13:45		771643		653155		118488		
15:13:47		771643		653155		118488		
15:13:49		771643		653147		118496		
15:13:51		771643		653643		118000		
15:13:53		771643		654635		117008		
15:13:55		771643		657127		114516		
15:13:57		771643		663623		108020		
15:13:59		771643		668219		103424		
15:14:01		771643		670499		101144		
15:14:03		771643		672855		98788		
15:14:05		771643		677707		93936		
15:14:07		771643		682551		89092		
15:14:09		771643		687775		83868		
15:14:11		771643		691759		79884		
15:14:13		771643		693767		77876		
15:14:15		771643		702639		69004		
15:14:17		785942		708906		77036		
15:14:19		799897		715205		84692		
15:14:21		799897		718337		81560		
15:14:23		814186		716290		97896		
15:14:25		826717		716585		110132		
15:14:27		826717		720205		106512		
15:14:29		859319		724683		134636		
15:14:31		859319		727195		132124		
15:14:33		859319		727351		131968		
15:14:35		841655		728459		113196		
15:14:37		841655		728491		113164		
15:14:39		841655		728663		112992		
15:14:41		841655		728843		112812		
15:14:43		830038		729426		100612		
15:14:45		830038		729598		100440		
15:14:47		830038		729646		100392		
15:14:49		830038		729702		100336		
15:14:52		830038		730230		99808		
15:14:54		819140		730780		88360		
15:14:56		819140		730936		88204		
15:14:58		819140		731628		87512		
15:15:00		819140		731016		88124		
15:15:02		819140		731088		88052		
15:15:04		819140		731392		87748		
15:15:06		819140		731456		87684		
15:15:08		819140		731512		87628		
15:15:10		819140		732436		86704		
15:15:12		819140		732484		86656		
15:15:14		819140		732540		86600		
15:15:16		819140		733664		85476		
15:15:18		837091		734791		102300		
15:15:20		837091		734863		102228		
15:15:22		837091		736779		100312		
15:15:24		837091		736835		100256		
15:15:26		837091		737039		100052		
15:15:28		837091		723843		113248		
15:15:30		817504		357772		459732		
15:15:32		487930		159194		328736		
15:15:34		487930		407394		80536		
15:15:36		527704		420312		107392		
15:15:38		527704		429736		97968		
15:15:40		543740		439588		104152		
15:15:42		543740		447532		96208		
15:15:44		557040		453596		103444		
15:15:46		557040		459068		97972		
15:15:48		594557		479809		114748		
15:15:50		650378		481334		169044		
15:15:52		650378		498042		152336		
15:15:54		650378		517946		132432		
15:15:56		703361		524745		178616		
15:15:58		703361		545745		157616		
15:16:00		703361		556233		147128		
15:16:02		715429		561933		153496		
15:16:04		715429		573033		142396		
15:16:06		715429		574817		140612		
15:16:08		704038		582618		121420		
15:16:10		704038		597926		106112		
