record in kb
time		total		used		free
[15:11:12]		1048572		0		1048572
[15:11:15]		1048572		0		1048572
[15:11:18]		1048572		0		1048572
[15:11:21]		1048572		0		1048572
[15:11:24]		1048572		0		1048572
[15:11:27]		1048572		0		1048572
[15:11:30]		1048572		0		1048572
[15:11:33]		1048572		0		1048572
[15:11:36]		1048572		0		1048572
[15:11:39]		1048572		0		1048572
[15:11:42]		1048572		0		1048572
[15:11:45]		1048572		0		1048572
[15:11:48]		1048572		0		1048572
[15:11:51]		1048572		0		1048572
[15:11:55]		1048572		0		1048572
[15:11:58]		1048572		0		1048572
[15:12:01]		1048572		0		1048572
[15:12:04]		1048572		0		1048572
[15:12:07]		1048572		0		1048572
[15:12:10]		1048572		0		1048572
[15:12:13]		1048572		0		1048572
[15:12:16]		1048572		0		1048572
[15:12:19]		1048572		0		1048572
[15:12:22]		1048572		0		1048572
[15:12:25]		1048572		0		1048572
[15:12:28]		1048572		0		1048572
[15:12:31]		1048572		0		1048572
[15:12:34]		1048572		0		1048572
[15:12:37]		1048572		0		1048572
[15:12:40]		1048572		0		1048572
[15:12:43]		1048572		0		1048572
[15:12:46]		1048572		0		1048572
[15:12:49]		1048572		0		1048572
[15:12:52]		1048572		0		1048572
[15:12:55]		1048572		0		1048572
[15:12:58]		1048572		0		1048572
[15:13:01]		1048572		0		1048572
[15:13:04]		1048572		0		1048572
[15:13:07]		1048572		0		1048572
[15:13:10]		1048572		0		1048572
[15:13:13]		1048572		0		1048572
[15:13:16]		1048572		0		1048572
[15:13:19]		1048572		0		1048572
[15:13:22]		1048572		0		1048572
[15:13:25]		1048572		0		1048572
[15:13:28]		1048572		0		1048572
[15:13:31]		1048572		8		1048564
[15:13:34]		1048572		112		1048460
[15:13:37]		1048572		112		1048460
[15:13:40]		1048572		112		1048460
[15:13:43]		1048572		112		1048460
[15:13:46]		1048572		112		1048460
[15:13:49]		1048572		112		1048460
[15:13:52]		1048572		112		1048460
[15:13:55]		1048572		112		1048460
[15:13:58]		1048572		112		1048460
[15:14:01]		1048572		112		1048460
[15:14:04]		1048572		112		1048460
[15:14:07]		1048572		112		1048460
[15:14:10]		1048572		112		1048460
[15:14:13]		1048572		112		1048460
[15:14:16]		1048572		112		1048460
[15:14:19]		1048572		112		1048460
[15:14:22]		1048572		112		1048460
[15:14:25]		1048572		112		1048460
[15:14:28]		1048572		112		1048460
[15:14:31]		1048572		112		1048460
[15:14:34]		1048572		112		1048460
[15:14:37]		1048572		112		1048460
[15:14:40]		1048572		112		1048460
[15:14:43]		1048572		112		1048460
[15:14:46]		1048572		112		1048460
[15:14:49]		1048572		112		1048460
[15:14:52]		1048572		112		1048460
[15:14:55]		1048572		112		1048460
[15:14:58]		1048572		112		1048460
[15:15:01]		1048572		112		1048460
