record in kb
time		total		used		free
[20:47:23]		1048572		17680		1030892
[20:47:26]		1048572		17680		1030892
[20:47:29]		1048572		17664		1030908
[20:47:32]		1048572		17664		1030908
[20:47:35]		1048572		17664		1030908
[20:47:38]		1048572		17664		1030908
[20:47:41]		1048572		17664		1030908
[20:47:44]		1048572		17664		1030908
[20:47:47]		1048572		17664		1030908
[20:47:50]		1048572		17664		1030908
[20:47:53]		1048572		17664		1030908
[20:47:56]		1048572		17664		1030908
[20:47:59]		1048572		17664		1030908
[20:48:02]		1048572		17664		1030908
[20:48:05]		1048572		17676		1030896
[20:48:08]		1048572		17676		1030896
[20:48:11]		1048572		17684		1030888
[20:48:14]		1048572		17696		1030876
[20:48:17]		1048572		18140		1030432
[20:48:20]		1048572		18480		1030092
[20:48:23]		1048572		18480		1030092
[20:48:26]		1048572		18480		1030092
[20:48:29]		1048572		18480		1030092
[20:48:32]		1048572		18480		1030092
[20:48:35]		1048572		18480		1030092
[20:48:38]		1048572		18480		1030092
[20:48:41]		1048572		18480		1030092
[20:48:44]		1048572		18480		1030092
[20:48:47]		1048572		18480		1030092
[20:48:50]		1048572		18480		1030092
[20:48:53]		1048572		18480		1030092
[20:48:56]		1048572		18480		1030092
[20:48:59]		1048572		18480		1030092
[20:49:02]		1048572		18460		1030112
[20:49:05]		1048572		18460		1030112
[20:49:08]		1048572		18460		1030112
[20:49:11]		1048572		18460		1030112
[20:49:14]		1048572		18460		1030112
[20:49:17]		1048572		18460		1030112
[20:49:20]		1048572		18460		1030112
[20:49:24]		1048572		18460		1030112
[20:49:27]		1048572		18460		1030112
[20:49:30]		1048572		18460		1030112
[20:49:33]		1048572		18460		1030112
[20:49:36]		1048572		18460		1030112
[20:49:39]		1048572		22580		1025992
[20:49:42]		1048572		23196		1025376
[20:49:45]		1048572		24564		1024008
[20:49:48]		1048572		47816		1000756
[20:49:51]		1048572		57400		991172
[20:49:54]		1048572		55664		992908
[20:49:57]		1048572		60504		988068
[20:50:00]		1048572		51780		996792
[20:50:03]		1048572		60584		987988
[20:50:06]		1048572		63200		985372
[20:50:09]		1048572		107276		941296
[20:50:12]		1048572		142760		905812
[20:50:15]		1048572		119272		929300
[20:50:18]		1048572		110160		938412
[20:50:21]		1048572		113300		935272
[20:50:24]		1048572		133452		915120
[20:50:27]		1048572		123172		925400
[20:50:30]		1048572		115132		933440
[20:50:33]		1048572		113880		934692
[20:50:36]		1048572		111740		936832
[20:50:39]		1048572		111080		937492
[20:50:42]		1048572		106404		942168
[20:50:45]		1048572		115884		932688
[20:50:48]		1048572		94532		954040
[20:50:51]		1048572		113396		935176
[20:50:54]		1048572		82276		966296
[20:50:57]		1048572		84520		964052
[20:51:00]		1048572		83244		965328
[20:51:03]		1048572		83944		964628
[20:51:06]		1048572		19956		1028616
[20:51:09]		1048572		19956		1028616
[20:51:12]		1048572		19956		1028616
[20:51:15]		1048572		19956		1028616
[20:51:18]		1048572		19956		1028616
[20:51:21]		1048572		19956		1028616
[20:51:24]		1048572		19956		1028616
[20:51:27]		1048572		19956		1028616
[20:51:30]		1048572		19956		1028616
[20:51:33]		1048572		19964		1028608
[20:51:36]		1048572		19964		1028608
[20:51:39]		1048572		59396		989176
[20:51:42]		1048572		47300		1001272
[20:51:45]		1048572		67072		981500
[20:51:48]		1048572		43812		1004760
[20:51:51]		1048572		42072		1006500
[20:51:54]		1048572		40368		1008204
[20:51:57]		1048572		42512		1006060
[20:52:00]		1048572		46712		1001860
[20:52:03]		1048572		50340		998232
[20:52:06]		1048572		50600		997972
[20:52:09]		1048572		48324		1000248
[20:52:12]		1048572		48276		1000296
[20:52:15]		1048572		48376		1000196
[20:52:18]		1048572		48588		999984
[20:52:21]		1048572		46704		1001868
[20:52:24]		1048572		58396		990176
[20:52:27]		1048572		41904		1006668
[20:52:30]		1048572		32780		1015792
[20:52:33]		1048572		41636		1006936
[20:52:36]		1048572		48300		1000272
[20:52:39]		1048572		44628		1003944
[20:52:42]		1048572		45148		1003424
[20:52:45]		1048572		45812		1002760
[20:52:48]		1048572		48104		1000468
[20:52:51]		1048572		48104		1000468
[20:52:54]		1048572		48016		1000556
[20:52:57]		1048572		47984		1000588
[20:53:00]		1048572		45592		1002980
[20:53:03]		1048572		35796		1012776
[20:53:06]		1048572		76912		971660
[20:53:09]		1048572		74908		973664
[20:53:12]		1048572		92664		955908
[20:53:15]		1048572		98412		950160
[20:53:18]		1048572		78404		970168
[20:53:21]		1048572		51036		997536
[20:53:24]		1048572		76572		972000
[20:53:27]		1048572		56352		992220
[20:53:30]		1048572		64928		983644
[20:53:33]		1048572		57980		990592
[20:53:36]		1048572		41796		1006776
[20:53:39]		1048572		39312		1009260
[20:53:42]		1048572		87768		960804
[20:53:45]		1048572		70776		977796
[20:53:48]		1048572		59708		988864
[20:53:51]		1048572		67992		980580
[20:53:54]		1048572		63256		985316
[20:53:57]		1048572		70652		977920
[20:54:00]		1048572		87020		961552
[20:54:03]		1048572		85376		963196
[20:54:06]		1048572		52348		996224
[20:54:09]		1048572		44984		1003588
[20:54:12]		1048572		78184		970388
[20:54:15]		1048572		76500		972072
[20:54:18]		1048572		60356		988216
[20:54:21]		1048572		64408		984164
[20:54:24]		1048572		48168		1000404
[20:54:27]		1048572		50848		997724
[20:54:30]		1048572		51384		997188
[20:54:33]		1048572		55600		992972
[20:54:36]		1048572		52572		996000
[20:54:39]		1048572		52532		996040
[20:54:42]		1048572		52496		996076
[20:54:45]		1048572		52496		996076
[20:54:48]		1048572		52496		996076
[20:54:51]		1048572		52496		996076
[20:54:54]		1048572		52496		996076
[20:54:57]		1048572		52492		996080
[20:55:00]		1048572		51960		996612
[20:55:03]		1048572		20208		1028364
[20:55:06]		1048572		20208		1028364
[20:55:09]		1048572		20208		1028364
[20:55:12]		1048572		20208		1028364
[20:55:15]		1048572		20208		1028364
[20:55:18]		1048572		20208		1028364
[20:55:21]		1048572		20208		1028364
[20:55:24]		1048572		20208		1028364
[20:55:27]		1048572		20208		1028364
[20:55:30]		1048572		20208		1028364
[20:55:33]		1048572		20208		1028364
[20:55:36]		1048572		20208		1028364
[20:55:39]		1048572		20208		1028364
[20:55:42]		1048572		20208		1028364
[20:55:45]		1048572		20208		1028364
[20:55:48]		1048572		20208		1028364
[20:55:51]		1048572		20208		1028364
[20:55:54]		1048572		20208		1028364
[20:55:57]		1048572		20208		1028364
[20:56:00]		1048572		20192		1028380
[20:56:03]		1048572		20192		1028380
[20:56:06]		1048572		20192		1028380
[20:56:09]		1048572		20192		1028380
[20:56:12]		1048572		20192		1028380
[20:56:15]		1048572		20192		1028380
[20:56:18]		1048572		20192		1028380
[20:56:21]		1048572		20192		1028380
[20:56:24]		1048572		20192		1028380
[20:56:27]		1048572		20192		1028380
[20:56:30]		1048572		20192		1028380
[20:56:33]		1048572		20192		1028380
[20:56:36]		1048572		20192		1028380
[20:56:39]		1048572		20192		1028380
[20:56:42]		1048572		20192		1028380
[20:56:45]		1048572		20192		1028380
[20:56:48]		1048572		20188		1028384
[20:56:51]		1048572		20188		1028384
[20:56:54]		1048572		20188		1028384
[20:56:57]		1048572		20188		1028384
[20:57:00]		1048572		20180		1028392
[20:57:03]		1048572		20180		1028392
[20:57:06]		1048572		20180		1028392
[20:57:09]		1048572		20180		1028392
[20:57:12]		1048572		20180		1028392
[20:57:15]		1048572		20180		1028392
[20:57:18]		1048572		20180		1028392
[20:57:21]		1048572		20176		1028396
[20:57:24]		1048572		20176		1028396
[20:57:27]		1048572		20044		1028528
[20:57:30]		1048572		19972		1028600
[20:57:33]		1048572		19972		1028600
[20:57:36]		1048572		19972		1028600
[20:57:39]		1048572		19972		1028600
[20:57:42]		1048572		19972		1028600
[20:57:45]		1048572		19972		1028600
[20:57:48]		1048572		19972		1028600
[20:57:51]		1048572		19972		1028600
[20:57:54]		1048572		19972		1028600
[20:57:57]		1048572		19972		1028600
[20:58:00]		1048572		19972		1028600
[20:58:03]		1048572		19972		1028600
[20:58:06]		1048572		19972		1028600
[20:58:09]		1048572		19972		1028600
[20:58:12]		1048572		19972		1028600
[20:58:15]		1048572		19972		1028600
[20:58:18]		1048572		19972		1028600
[20:58:21]		1048572		19972		1028600
[20:58:24]		1048572		19972		1028600
[20:58:27]		1048572		19972		1028600
[20:58:30]		1048572		19972		1028600
[20:58:33]		1048572		19972		1028600
[20:58:36]		1048572		19972		1028600
[20:58:39]		1048572		19972		1028600
[20:58:42]		1048572		19972		1028600
[20:58:45]		1048572		19972		1028600
[20:58:48]		1048572		19972		1028600
[20:58:51]		1048572		19968		1028604
[20:58:54]		1048572		19968		1028604
[20:58:57]		1048572		19968		1028604
[20:59:00]		1048572		19968		1028604
[20:59:03]		1048572		19968		1028604
[20:59:06]		1048572		19968		1028604
[20:59:09]		1048572		19968		1028604
[20:59:12]		1048572		19968		1028604
[20:59:15]		1048572		19968		1028604
[20:59:18]		1048572		19968		1028604
[20:59:21]		1048572		19968		1028604
[20:59:24]		1048572		19968		1028604
[20:59:27]		1048572		19968		1028604
[20:59:30]		1048572		19968		1028604
[20:59:33]		1048572		19968		1028604
[20:59:36]		1048572		19968		1028604
[20:59:39]		1048572		19968		1028604
[20:59:42]		1048572		19968		1028604
[20:59:45]		1048572		19964		1028608
[20:59:48]		1048572		19964		1028608
[20:59:51]		1048572		19964		1028608
[20:59:54]		1048572		23484		1025088
[20:59:57]		1048572		33304		1015268
[21:00:00]		1048572		37096		1011476
[21:00:03]		1048572		45164		1003408
[21:00:06]		1048572		52928		995644
[21:00:09]		1048572		62012		986560
[21:00:12]		1048572		61568		987004
[21:00:15]		1048572		61776		986796
[21:00:18]		1048572		75180		973392
[21:00:21]		1048572		73764		974808
[21:00:24]		1048572		74116		974456
[21:00:27]		1048572		74164		974408
[21:00:30]		1048572		74160		974412
[21:00:33]		1048572		70916		977656
[21:00:36]		1048572		71804		976768
[21:00:39]		1048572		72288		976284
[21:00:42]		1048572		72816		975756
[21:00:45]		1048572		71552		977020
[21:00:48]		1048572		72448		976124
[21:00:51]		1048572		74304		974268
[21:00:54]		1048572		74404		974168
[21:00:57]		1048572		71552		977020
[21:01:00]		1048572		81188		967384
[21:01:03]		1048572		77320		971252
[21:01:06]		1048572		73716		974856
[21:01:09]		1048572		80168		968404
[21:01:12]		1048572		20220		1028352
[21:01:15]		1048572		20220		1028352
[21:01:18]		1048572		20220		1028352
[21:01:21]		1048572		20220		1028352
[21:01:24]		1048572		20220		1028352
[21:01:27]		1048572		20220		1028352
[21:01:30]		1048572		20220		1028352
[21:01:33]		1048572		19876		1028696
[21:01:36]		1048572		19664		1028908
[21:01:39]		1048572		19648		1028924
