recorded by mmserver domain:[id:19 time:Sat Apr 27 20:29:12 2013
]
time		tg_mem		use_mem		free_mem		
20:29:14		531867		245911		285956		
20:29:16		531867		245911		285956		
20:29:18		531867		245911		285956		
20:29:20		531867		245911		285956		
20:29:22		531867		245911		285956		
20:29:24		531867		245911		285956		
20:29:26		531867		245911		285956		
20:29:28		531867		245911		285956		
20:29:30		531867		245911		285956		
20:29:32		531867		245911		285956		
20:29:34		531867		245911		285956		
20:29:36		531867		245911		285956		
20:29:38		531867		245911		285956		
20:29:40		531867		245911		285956		
20:29:42		531867		245911		285956		
20:29:44		531867		245911		285956		
20:29:46		531867		245895		285972		
20:29:48		531867		245895		285972		
20:29:50		531867		245895		285972		
20:29:52		520749		234777		285972		
20:29:54		520749		234777		285972		
20:29:56		520749		234777		285972		
20:29:58		520749		234777		285972		
20:30:00		520749		234777		285972		
20:30:02		520749		234777		285972		
20:30:04		520749		245449		275300		
20:30:06		520749		245449		275300		
20:30:08		520749		245449		275300		
20:30:10		520749		245449		275300		
20:30:12		509285		245393		263892		
20:30:14		509285		245393		263892		
20:30:16		509285		245393		263892		
20:30:18		492432		228540		263892		
20:30:20		492432		228540		263892		
20:30:22		492432		228540		263892		
20:30:24		492432		228540		263892		
20:30:26		492432		228540		263892		
20:30:28		492432		228540		263892		
20:30:30		492432		228540		263892		
20:30:32		492432		228540		263892		
20:30:34		492432		228540		263892		
20:30:36		492432		228540		263892		
20:30:38		492432		245404		247028		
20:30:40		492432		245404		247028		
20:30:42		492432		245404		247028		
20:30:44		492432		245404		247028		
20:30:47		479969		232941		247028		
20:30:49		479969		232941		247028		
20:30:51		479969		245465		234504		
20:30:53		479969		245465		234504		
20:30:55		479969		245465		234504		
20:30:57		479969		245473		234496		
20:30:59		479969		245465		234504		
20:31:01		479969		245465		234504		
20:31:03		479969		245465		234504		
20:31:05		479969		245465		234504		
20:31:07		479969		245465		234504		
20:31:09		479969		245465		234504		
20:31:11		479969		245465		234504		
20:31:13		479969		245465		234504		
20:31:15		479969		245465		234504		
20:31:17		479969		245465		234504		
20:31:19		479969		245457		234512		
20:31:21		479969		245457		234512		
20:31:23		479969		245457		234512		
20:31:25		479969		245457		234512		
20:31:27		479969		245457		234512		
20:31:29		479969		245457		234512		
20:31:31		479969		245457		234512		
20:31:33		479969		245457		234512		
20:31:35		479969		245457		234512		
20:31:37		479969		245457		234512		
20:31:39		479969		245457		234512		
20:31:41		469582		235070		234512		
20:31:43		469582		235070		234512		
20:31:45		459084		245404		213680		
20:31:47		459084		245404		213680		
20:31:49		459084		245404		213680		
20:31:51		459084		245404		213680		
20:31:53		459084		245404		213680		
20:31:55		459084		245404		213680		
20:31:57		459084		245404		213680		
20:31:59		459084		245420		213664		
20:32:01		459084		245420		213664		
20:32:03		459084		245420		213664		
20:32:05		459084		245420		213664		
20:32:07		459084		245420		213664		
20:32:09		459084		245420		213664		
20:32:11		459084		245420		213664		
20:32:13		459084		245420		213664		
20:32:15		459084		245420		213664		
20:32:17		459084		245420		213664		
20:32:19		459084		245420		213664		
20:32:21		471619		245927		225692		
20:32:23		471619		245927		225692		
20:32:25		520950		245906		275044		
20:32:27		520950		245906		275044		
20:32:29		520950		245906		275044		
20:32:31		520950		245906		275044		
20:32:33		520950		245906		275044		
20:32:35		520950		245906		275044		
20:32:37		520950		245906		275044		
20:32:39		520950		245906		275044		
20:32:41		520950		245906		275044		
20:32:43		520950		245906		275044		
20:32:45		520950		245906		275044		
20:32:47		520950		245906		275044		
20:32:49		520950		245906		275044		
20:32:51		520950		245906		275044		
20:32:53		506552		245396		261156		
20:32:55		506552		245396		261156		
20:32:57		506552		245520		261032		
20:32:59		506552		245884		260668		
20:33:01		506552		245884		260668		
20:33:03		506552		245892		260660		
20:33:05		506552		245892		260660		
20:33:07		506552		245892		260660		
20:33:09		506552		245892		260660		
20:33:11		506552		245892		260660		
20:33:13		506552		245892		260660		
20:33:15		506552		245892		260660		
20:33:17		506552		245892		260660		
20:33:19		506552		245892		260660		
20:33:21		506552		245892		260660		
20:33:23		506552		245892		260660		
20:33:25		506552		245892		260660		
20:33:27		506552		245892		260660		
20:33:29		506552		245892		260660		
20:33:31		506552		245892		260660		
20:33:33		506552		245892		260660		
20:33:35		506552		245892		260660		
20:33:37		494955		245951		249004		
20:33:39		494955		245951		249004		
20:33:41		494955		245951		249004		
20:33:43		494955		245951		249004		
20:33:45		494955		245951		249004		
20:33:47		494955		245951		249004		
20:33:49		494955		245951		249004		
20:33:51		494955		245951		249004		
20:33:53		494955		245951		249004		
20:33:55		494955		245951		249004		
20:33:57		494955		245951		249004		
20:33:59		494955		245943		249012		
20:34:01		494955		245943		249012		
20:34:03		494955		245943		249012		
20:34:05		494955		245943		249012		
20:34:07		494955		245943		249012		
20:34:09		530439		249435		281004		
20:34:11		530439		249435		281004		
20:34:13		519968		238964		281004		
20:34:15		508981		245461		263520		
20:34:17		508981		245461		263520		
20:34:19		508981		245453		263528		
20:34:21		508981		245445		263536		
20:34:23		508981		245445		263536		
20:34:25		508981		245445		263536		
20:34:27		508981		245569		263412		
20:34:29		508981		245601		263380		
20:34:31		508981		245601		263380		
20:34:33		498507		245543		252964		
20:34:35		498507		245543		252964		
20:34:37		498507		245543		252964		
20:34:39		498507		245543		252964		
20:34:41		498507		245543		252964		
20:34:43		498507		245543		252964		
20:34:45		498507		245543		252964		
20:34:47		498507		245543		252964		
20:34:49		498507		245543		252964		
20:34:51		498507		245543		252964		
20:34:53		498507		245543		252964		
20:34:55		498507		245543		252964		
20:34:57		498507		245543		252964		
20:34:59		498507		245543		252964		
20:35:01		498507		245543		252964		
20:35:03		498507		245543		252964		
20:35:05		498507		245543		252964		
20:35:07		498507		245543		252964		
20:35:09		498507		245543		252964		
20:35:11		498507		245543		252964		
20:35:14		511729		245993		265736		
20:35:16		511729		245993		265736		
20:35:18		511729		245993		265736		
20:35:20		511729		245993		265736		
20:35:22		511729		245993		265736		
20:35:24		511729		245993		265736		
20:35:26		511729		245993		265736		
20:35:28		511729		245977		265752		
20:35:30		511729		245977		265752		
20:35:32		511729		245977		265752		
20:35:34		511729		245977		265752		
20:35:36		511729		245977		265752		
20:35:38		511729		245977		265752		
20:35:40		511729		245977		265752		
20:35:42		511729		245977		265752		
20:35:44		511729		245977		265752		
20:35:46		511729		245977		265752		
20:35:48		511729		245977		265752		
20:35:50		511729		245977		265752		
20:35:52		511729		245977		265752		
20:35:54		511729		245977		265752		
20:35:56		511729		245977		265752		
20:35:58		511729		245977		265752		
20:36:00		511729		245977		265752		
20:36:02		511729		245977		265752		
20:36:04		511729		245977		265752		
20:36:06		511729		245977		265752		
20:36:08		511729		245977		265752		
20:36:10		511729		245977		265752		
20:36:12		511729		245977		265752		
20:36:14		511729		245977		265752		
20:36:16		511729		245977		265752		
20:36:18		511729		245977		265752		
20:36:20		511729		245977		265752		
20:36:22		511729		245977		265752		
20:36:24		522150		256398		265752		
20:36:26		522150		256398		265752		
20:36:28		522150		256398		265752		
20:36:30		522150		256398		265752		
20:36:32		522150		256398		265752		
20:36:34		522150		256398		265752		
20:36:36		522150		256398		265752		
20:36:38		522150		256398		265752		
20:36:40		522150		245998		276152		
20:36:42		522150		245998		276152		
20:36:44		522150		245998		276152		
20:36:46		522150		245998		276152		
20:36:48		522150		245998		276152		
20:36:50		522150		245998		276152		
20:36:52		522150		245998		276152		
20:36:54		522150		245998		276152		
20:36:56		522150		245990		276160		
20:36:58		522150		245990		276160		
20:37:00		522150		245990		276160		
20:37:02		522150		245990		276160		
20:37:04		522150		245990		276160		
20:37:06		522150		245990		276160		
20:37:08		522150		245990		276160		
20:37:10		522150		245990		276160		
20:37:12		522150		245990		276160		
20:37:14		522150		245990		276160		
20:37:16		511070		234910		276160		
20:37:18		511070		245450		265620		
20:37:20		511070		245450		265620		
20:37:22		511070		245450		265620		
20:37:24		511070		245450		265620		
20:37:26		511070		245442		265628		
20:37:28		511070		245442		265628		
20:37:30		511070		245450		265620		
20:37:32		511070		245450		265620		
20:37:34		511070		245450		265620		
20:37:36		511070		245450		265620		
20:37:38		511070		245450		265620		
20:37:40		511070		245450		265620		
20:37:42		511070		245450		265620		
20:37:44		511070		245450		265620		
20:37:46		511070		245450		265620		
20:37:48		511070		245450		265620		
20:37:50		511070		245450		265620		
20:37:52		511070		245450		265620		
20:37:54		500378		234758		265620		
20:37:56		500378		234758		265620		
20:37:58		500378		234758		265620		
20:38:00		500378		234758		265620		
20:38:02		500378		234758		265620		
20:38:04		500378		234758		265620		
20:38:06		500378		245422		254956		
20:38:08		500378		245422		254956		
20:38:10		500378		245422		254956		
20:38:12		500378		245422		254956		
20:38:14		500378		245422		254956		
20:38:16		500378		245422		254956		
20:38:18		500378		245422		254956		
20:38:20		500378		245422		254956		
20:38:22		500378		245422		254956		
20:38:24		500378		245422		254956		
20:38:26		500378		245422		254956		
20:38:28		500378		245422		254956		
20:38:30		500378		245422		254956		
20:38:32		500378		245422		254956		
20:38:34		500378		245422		254956		
20:38:36		500378		245422		254956		
20:38:38		500378		245422		254956		
20:38:40		500378		245422		254956		
20:38:42		500378		245422		254956		
20:38:44		500378		245422		254956		
20:38:46		500378		245422		254956		
20:38:48		500378		245422		254956		
20:38:50		500378		245422		254956		
20:38:52		500378		245422		254956		
20:38:54		500378		245422		254956		
20:38:56		500378		245926		254452		
20:38:58		500378		245926		254452		
