record in kb
time		total		used		free
[20:29:22]		1048572		17892		1030680
[20:29:25]		1048572		17892		1030680
[20:29:28]		1048572		17892		1030680
[20:29:31]		1048572		17892		1030680
[20:29:34]		1048572		17892		1030680
[20:29:37]		1048572		17892		1030680
[20:29:40]		1048572		17892		1030680
[20:29:43]		1048572		17892		1030680
[20:29:46]		1048572		17892		1030680
[20:29:49]		1048572		17892		1030680
[20:29:52]		1048572		17892		1030680
[20:29:55]		1048572		17892		1030680
[20:29:58]		1048572		17892		1030680
[20:30:01]		1048572		17896		1030676
[20:30:04]		1048572		17896		1030676
[20:30:07]		1048572		17896		1030676
[20:30:10]		1048572		17896		1030676
[20:30:13]		1048572		17896		1030676
[20:30:16]		1048572		17896		1030676
[20:30:19]		1048572		17896		1030676
[20:30:22]		1048572		17896		1030676
[20:30:25]		1048572		17896		1030676
[20:30:28]		1048572		17908		1030664
[20:30:31]		1048572		17908		1030664
[20:30:34]		1048572		17908		1030664
[20:30:37]		1048572		17908		1030664
[20:30:40]		1048572		17908		1030664
[20:30:43]		1048572		17908		1030664
[20:30:46]		1048572		17908		1030664
[20:30:49]		1048572		17908		1030664
[20:30:52]		1048572		17912		1030660
[20:30:55]		1048572		17912		1030660
[20:30:58]		1048572		17912		1030660
[20:31:01]		1048572		17912		1030660
[20:31:04]		1048572		17912		1030660
[20:31:07]		1048572		17912		1030660
[20:31:10]		1048572		17912		1030660
[20:31:13]		1048572		17912		1030660
[20:31:16]		1048572		17912		1030660
[20:31:19]		1048572		17912		1030660
[20:31:22]		1048572		17912		1030660
[20:31:25]		1048572		17912		1030660
[20:31:28]		1048572		18144		1030428
[20:31:31]		1048572		18144		1030428
[20:31:34]		1048572		18144		1030428
[20:31:37]		1048572		18144		1030428
[20:31:40]		1048572		18144		1030428
[20:31:43]		1048572		18144		1030428
[20:31:46]		1048572		18144		1030428
[20:31:49]		1048572		18144		1030428
[20:31:52]		1048572		18144		1030428
[20:31:55]		1048572		18144		1030428
[20:31:58]		1048572		18144		1030428
[20:32:01]		1048572		18144		1030428
[20:32:04]		1048572		18144		1030428
[20:32:07]		1048572		18144		1030428
[20:32:10]		1048572		18144		1030428
[20:32:13]		1048572		18144		1030428
[20:32:16]		1048572		18144		1030428
[20:32:19]		1048572		18144		1030428
[20:32:22]		1048572		18144		1030428
[20:32:25]		1048572		18144		1030428
[20:32:28]		1048572		18144		1030428
[20:32:31]		1048572		18144		1030428
