recorded by mmserver domain:[id:17 time:Sat Apr 27 20:09:55 2013
]
time		tg_mem		use_mem		free_mem		
20:09:57		524288		202840		321448		
20:09:59		510098		188650		321448		
20:10:01		521005		199557		321448		
20:10:04		521005		199557		321448		
20:10:06		521005		199557		321448		
20:10:08		521005		199557		321448		
20:10:10		521005		199557		321448		
20:10:12		521005		199557		321448		
20:10:14		521005		199557		321448		
20:10:16		521005		199557		321448		
20:10:18		521005		199557		321448		
20:10:20		521005		199557		321448		
20:10:22		521005		199557		321448		
20:10:24		521005		202781		318224		
20:10:26		521005		202781		318224		
20:10:28		521005		202781		318224		
20:10:30		521005		202781		318224		
20:10:32		521005		202781		318224		
20:10:34		521005		202781		318224		
20:10:36		521005		202781		318224		
20:10:38		521005		202781		318224		
20:10:40		521005		202781		318224		
20:10:42		521005		202781		318224		
20:10:44		521005		202781		318224		
20:10:46		521005		202781		318224		
20:10:48		521005		202781		318224		
20:10:50		521005		202781		318224		
20:10:52		521005		202781		318224		
20:10:54		521005		202781		318224		
20:10:56		521005		202781		318224		
20:10:58		521005		202781		318224		
20:11:00		521005		202781		318224		
20:11:02		521005		202781		318224		
20:11:04		521005		202781		318224		
20:11:06		521005		202781		318224		
20:11:08		521005		202781		318224		
20:11:10		521005		202781		318224		
20:11:12		508556		190332		318224		
20:11:14		508556		190332		318224		
20:11:16		508556		190332		318224		
20:11:18		508556		190332		318224		
20:11:20		508556		190332		318224		
20:11:22		508556		202856		305700		
20:11:24		508556		202856		305700		
20:11:26		508556		202856		305700		
20:11:28		508556		202856		305700		
20:11:30		508556		202856		305700		
20:11:32		508556		202856		305700		
20:11:34		508556		202856		305700		
20:11:36		508556		202856		305700		
20:11:38		508556		202856		305700		
20:11:40		508556		202856		305700		
20:11:42		508556		202856		305700		
20:11:44		508556		202856		305700		
20:11:46		508556		202856		305700		
20:11:48		508556		202856		305700		
20:11:50		508556		202856		305700		
20:11:52		508556		202856		305700		
20:11:54		508556		202856		305700		
20:11:56		508556		202856		305700		
20:11:58		508556		202856		305700		
20:12:00		508556		202856		305700		
20:12:02		508556		202856		305700		
20:12:04		508556		202856		305700		
20:12:06		508556		202856		305700		
20:12:08		508556		202856		305700		
20:12:10		508556		202856		305700		
20:12:12		508556		202856		305700		
20:12:14		508556		202856		305700		
