recorded by mmserver domain:[id:20 time:Sat Apr 27 21:10:47 2013
]
time		tg_mem		use_mem		free_mem		
21:10:49		524288		162996		361292		
21:10:51		524288		163128		361160		
21:10:53		524288		214348		309940		
21:10:55		524288		235800		288488		
21:10:57		524288		276100		248188		
21:10:59		524288		317136		207152		
21:11:01		524288		337720		186568		
21:11:03		524288		358428		165860		
21:11:05		524288		382988		141300		
21:11:07		524288		423908		100380		
21:11:09		524288		444492		79796		
21:11:11		546892		465360		81532		
21:11:13		567760		485980		81780		
21:11:15		588380		506476		81904		
21:11:17		608876		527096		81780		
21:11:19		629496		547592		81904		
21:11:21		649992		568212		81780		
21:11:23		670612		588832		81780		
21:11:25		691232		547824		143408		
21:11:27		657489		507005		150484		
21:11:29		638754		465974		172780		
21:11:31		618309		424821		193488		
21:11:33		596511		404263		192248		
21:11:35		583566		363170		220396		
21:11:38		567317		322121		245196		
21:11:40		553773		281297		272476		
21:11:42		542523		240287		302236		
21:11:44		542523		168243		374280		
21:11:46		520436		167228		353208		
21:11:48		520436		167228		353208		
21:11:50		520436		167228		353208		
21:11:52		520436		167228		353208		
21:11:54		520436		167228		353208		
21:11:56		520436		167228		353208		
21:11:58		520436		167228		353208		
21:12:00		520436		167228		353208		
21:12:02		520436		167228		353208		
21:12:04		520436		167228		353208		
21:12:06		520436		167228		353208		
21:12:08		520436		167228		353208		
21:12:08		520436		167228		353208		
