record in kb
time		total		used		free
[21:10:56]		1048572		16680		1031892
[21:10:59]		1048572		16680		1031892
[21:11:02]		1048572		16680		1031892
[21:11:05]		1048572		16680		1031892
[21:11:08]		1048572		16680		1031892
[21:11:11]		1048572		16668		1031904
[21:11:14]		1048572		16668		1031904
[21:11:17]		1048572		16668		1031904
[21:11:20]		1048572		16668		1031904
[21:11:23]		1048572		16668		1031904
[21:11:26]		1048572		16668		1031904
[21:11:29]		1048572		16668		1031904
[21:11:32]		1048572		16668		1031904
[21:11:35]		1048572		16668		1031904
[21:11:38]		1048572		16668		1031904
[21:11:41]		1048572		16668		1031904
[21:11:44]		1048572		16668		1031904
[21:11:47]		1048572		16668		1031904
[21:11:50]		1048572		16668		1031904
[21:11:53]		1048572		16668		1031904
[21:11:56]		1048572		16668		1031904
[21:11:59]		1048572		16668		1031904
[21:12:02]		1048572		16668		1031904
[21:12:05]		1048572		16668		1031904
[21:12:08]		1048572		16668		1031904
[21:12:11]		1048572		16668		1031904
[21:12:14]		1048572		16668		1031904
[21:12:17]		1048572		16668		1031904
