recorded by mmserver domain:[id:5 time:Sun Apr 28 16:11:01 2013
]
time		tg_mem		use_mem		free_mem		
16:11:03		524288		204328		319960		
16:11:05		524288		204328		319960		
16:11:07		524288		204328		319960		
16:11:09		524288		204328		319960		
16:11:11		524288		204328		319960		
16:11:13		524288		204328		319960		
16:11:15		524288		204328		319960		
16:11:17		524288		204328		319960		
16:11:19		524288		204328		319960		
16:11:21		524288		204328		319960		
16:11:23		524288		204328		319960		
16:11:25		524288		204328		319960		
16:11:27		524288		204328		319960		
16:11:29		524288		204328		319960		
16:11:31		524288		204328		319960		
16:11:33		524288		204328		319960		
16:11:35		524288		204328		319960		
16:11:37		524288		204328		319960		
16:11:39		524288		204328		319960		
16:11:41		524288		204328		319960		
16:11:43		524288		204328		319960		
16:11:45		524288		204328		319960		
16:11:47		524288		204328		319960		
16:11:49		524288		204328		319960		
16:11:51		524288		204328		319960		
16:11:53		524288		204328		319960		
16:11:55		524288		204328		319960		
16:11:57		524288		204328		319960		
16:11:59		524288		204328		319960		
16:12:01		523373		204157		319216		
16:12:03		522709		204237		318472		
16:12:05		521890		204162		317728		
16:12:07		518255		204247		314008		
16:12:09		511424		204236		307188		
16:12:11		514904		204988		309916		
16:12:13		513318		203774		309544		
16:12:15		513140		203844		309296		
16:12:17		511978		203798		308180		
16:12:19		505438		203830		301608		
16:12:21		502889		203761		299128		
16:12:23		496983		203807		293176		
16:12:25		497116		203940		293176		
16:12:28		495977		203793		292184		
16:12:30		492549		203837		288712		
16:12:32		490542		203814		286728		
16:12:34		486669		203777		282892		
16:12:36		483788		203748		280040		
16:12:38		479962		203766		276196		
16:12:40		473219		203719		269500		
16:12:42		464210		203762		260448		
16:12:44		471587		204319		267268		
16:12:46		464075		203627		260448		
16:12:48		462657		203697		258960		
16:12:50		462757		203797		258960		
16:12:52		462196		203732		258464		
16:12:54		459779		203671		256108		
16:12:56		459774		203666		256108		
16:12:58		459829		203721		256108		
16:13:00		459496		203636		255860		
16:13:02		461457		204233		257224		
16:13:04		461037		203813		257224		
16:13:06		456944		203688		253256		
16:13:08		453435		203651		249784		
16:13:10		452234		203690		248544		
16:13:12		453040		204248		248792		
16:13:14		449122		203678		245444		
16:13:16		443709		203721		239988		
16:13:18		441848		203720		238128		
16:13:20		443527		204283		239244		
16:13:22		443804		204312		239492		
16:13:24		443733		204241		239492		
16:13:26		443590		204098		239492		
16:13:28		444657		204297		240360		
16:13:30		444569		204209		240360		
16:13:32		444468		204108		240360		
16:13:34		444289		203929		240360		
16:13:36		444008		203648		240360		
16:13:38		444781		204297		240484		
16:13:40		444925		204317		240608		
16:13:42		444843		204235		240608		
16:13:44		444584		203976		240608		
16:13:46		443973		203737		240236		
16:13:48		443271		203655		239616		
16:13:50		442329		203705		238624		
16:13:52		442084		203708		238376		
16:13:54		439051		203651		235400		
16:13:56		438373		203717		234656		
16:13:58		438927		204271		234656		
16:14:00		439046		204266		234780		
16:14:02		439019		204239		234780		
16:14:04		439636		204236		235400		
16:14:06		439621		204221		235400		
16:14:08		439668		204268		235400		
16:14:10		439739		204339		235400		
16:14:12		439785		204261		235524		
16:14:14		439355		203955		235400		
16:14:16		439200		203800		235400		
16:14:18		438725		203821		234904		
16:14:20		435867		203815		232052		
16:14:22		436717		204293		232424		
16:14:24		436898		204350		232548		
16:14:26		436451		203903		232548		
16:14:28		436324		203776		232548		
16:14:30		436271		203723		232548		
16:14:32		436216		203668		232548		
16:14:34		436158		203734		232424		
16:14:36		436192		203768		232424		
16:14:38		436201		203777		232424		
16:14:40		436838		204290		232548		
16:14:42		436915		204243		232672		
16:14:44		436800		204128		232672		
16:14:46		436805		204133		232672		
16:14:48		436804		204132		232672		
16:14:50		438909		204253		234656		
16:14:52		438994		204338		234656		
16:14:54		439084		204304		234780		
16:14:56		437510		203722		233788		
16:14:58		439049		204269		234780		
16:15:00		447346		211574		235772		
16:15:02		493314		252086		241228		
16:15:04		490518		204278		286240		
16:15:06		503251		204363		298888		
16:15:08		497668		203740		293928		
16:15:10		499049		204253		294796		
16:15:12		500032		204244		295788		
16:15:14		500609		204325		296284		
16:15:16		500670		204262		296408		
16:15:18		501137		204357		296780		
16:15:20		507433		209289		298144		
16:15:22		508629		204285		304344		
16:15:24		508901		204309		304592		
16:15:26		508532		203940		304592		
16:15:28		507273		203673		303600		
16:15:31		500522		203618		296904		
16:15:33		494232		203652		290580		
16:15:35		487356		203720		283636		
16:15:37		483721		203681		280040		
16:15:39		483486		203694		279792		
16:15:41		477260		203668		273592		
16:15:43		471788		203776		268012		
16:15:45		468598		203810		264788		
16:15:47		467825		203781		264044		
16:15:49		467799		203755		264044		
16:15:51		467798		203754		264044		
16:15:53		467799		203755		264044		
16:15:55		467799		203755		264044		
16:15:57		465922		203862		262060		
16:15:59		465951		203891		262060		
16:16:01		465989		203929		262060		
16:16:03		465092		203776		261316		
16:16:05		464962		203770		261192		
16:16:07		464959		203767		261192		
16:16:09		464957		203765		261192		
