record in kb
time		total		used		free
[17:30:18]		1048572		552		1048020
[17:30:21]		1048572		552		1048020
[17:30:24]		1048572		552		1048020
[17:30:27]		1048572		552		1048020
[17:30:30]		1048572		552		1048020
[17:30:33]		1048572		552		1048020
[17:30:36]		1048572		552		1048020
[17:30:39]		1048572		552		1048020
[17:30:42]		1048572		552		1048020
[17:30:45]		1048572		552		1048020
[17:30:48]		1048572		552		1048020
[17:30:51]		1048572		552		1048020
[17:30:54]		1048572		560		1048012
[17:30:57]		1048572		560		1048012
[17:31:00]		1048572		560		1048012
[17:31:03]		1048572		560		1048012
[17:31:06]		1048572		668		1047904
[17:31:09]		1048572		880		1047692
[17:31:12]		1048572		880		1047692
[17:31:15]		1048572		880		1047692
[17:31:18]		1048572		880		1047692
[17:31:21]		1048572		880		1047692
[17:31:24]		1048572		1232		1047340
[17:31:27]		1048572		1232		1047340
[17:31:30]		1048572		1232		1047340
[17:31:33]		1048572		2512		1046060
[17:31:36]		1048572		3096		1045476
[17:31:39]		1048572		4284		1044288
[17:31:42]		1048572		4812		1043760
[17:31:45]		1048572		4812		1043760
[17:31:48]		1048572		4812		1043760
[17:31:51]		1048572		4812		1043760
[17:31:54]		1048572		4812		1043760
[17:31:57]		1048572		4812		1043760
[17:32:00]		1048572		5672		1042900
[17:32:03]		1048572		5672		1042900
[17:32:06]		1048572		5672		1042900
[17:32:09]		1048572		5672		1042900
[17:32:12]		1048572		6320		1042252
[17:32:15]		1048572		6564		1042008
[17:32:18]		1048572		6572		1042000
[17:32:21]		1048572		6724		1041848
[17:32:24]		1048572		11028		1037544
[17:32:27]		1048572		11028		1037544
[17:32:30]		1048572		12868		1035704
[17:32:33]		1048572		14388		1034184
[17:32:36]		1048572		16312		1032260
[17:32:39]		1048572		16312		1032260
[17:32:42]		1048572		16328		1032244
[17:32:45]		1048572		16328		1032244
[17:32:48]		1048572		16468		1032104
[17:32:51]		1048572		16560		1032012
[17:32:54]		1048572		16648		1031924
[17:32:57]		1048572		16648		1031924
[17:33:00]		1048572		16648		1031924
[17:33:03]		1048572		16648		1031924
[17:33:06]		1048572		18396		1030176
[17:33:09]		1048572		19224		1029348
[17:33:12]		1048572		19116		1029456
[17:33:15]		1048572		15824		1032748
[17:33:18]		1048572		15824		1032748
[17:33:21]		1048572		15824		1032748
[17:33:24]		1048572		15824		1032748
[17:33:27]		1048572		15824		1032748
[17:33:30]		1048572		15824		1032748
[17:33:33]		1048572		15824		1032748
[17:33:36]		1048572		15824		1032748
[17:33:39]		1048572		15824		1032748
[17:33:42]		1048572		15824		1032748
[17:33:45]		1048572		15824		1032748
[17:33:48]		1048572		15832		1032740
[17:33:51]		1048572		15920		1032652
[17:33:54]		1048572		16628		1031944
[17:33:57]		1048572		16456		1032116
[17:34:00]		1048572		16456		1032116
[17:34:03]		1048572		16396		1032176
[17:34:06]		1048572		16392		1032180
[17:34:09]		1048572		16392		1032180
[17:34:12]		1048572		16392		1032180
[17:34:15]		1048572		16392		1032180
[17:34:18]		1048572		16392		1032180
[17:34:21]		1048572		16392		1032180
[17:34:24]		1048572		16392		1032180
[17:34:27]		1048572		16392		1032180
[17:34:30]		1048572		16392		1032180
[17:34:33]		1048572		16392		1032180
[17:34:36]		1048572		16392		1032180
[17:34:39]		1048572		16392		1032180
[17:34:42]		1048572		16392		1032180
[17:34:45]		1048572		16392		1032180
[17:34:48]		1048572		16964		1031608
[17:34:51]		1048572		17496		1031076
[17:34:54]		1048572		17680		1030892
[17:34:57]		1048572		17680		1030892
[17:35:00]		1048572		17680		1030892
[17:35:03]		1048572		17672		1030900
[17:35:06]		1048572		17672		1030900
[17:35:09]		1048572		17672		1030900
[17:35:12]		1048572		17672		1030900
[17:35:15]		1048572		17672		1030900
[17:35:18]		1048572		17672		1030900
[17:35:21]		1048572		17672		1030900
[17:35:24]		1048572		17672		1030900
[17:35:27]		1048572		17672		1030900
[17:35:30]		1048572		17672		1030900
[17:35:33]		1048572		17672		1030900
[17:35:36]		1048572		17672		1030900
[17:35:39]		1048572		17672		1030900
[17:35:42]		1048572		17672		1030900
[17:35:45]		1048572		17728		1030844
[17:35:48]		1048572		17728		1030844
[17:35:51]		1048572		17500		1031072
[17:35:54]		1048572		17500		1031072
[17:35:57]		1048572		17500		1031072
