recorded by mmserver domain:[id:7 time:Sun Apr 28 17:24:21 2013
]
time		tg_mem		use_mem		free_mem		
17:24:23		524288		209784		314504		
17:24:25		524288		209784		314504		
17:24:27		524288		209668		314620		
17:24:29		524288		227544		296744		
17:24:31		524288		235848		288440		
17:24:33		524288		242128		282160		
17:24:35		524288		245628		278660		
17:24:37		524288		250116		274172		
17:24:39		524288		254940		269348		
17:24:41		524288		255684		268604		
17:24:43		524288		260272		264016		
17:24:45		524288		261512		262776		
17:24:47		524288		262132		262156		
17:24:49		524288		262132		262156		
17:24:51		524288		262008		262280		
17:24:53		524288		262008		262280		
17:24:55		524288		242756		281532		
17:24:57		524288		266028		258260		
17:24:59		524288		271632		252656		
17:25:01		524288		276592		247696		
17:25:03		524288		290488		233800		
17:25:05		524288		295108		229180		
17:25:07		524288		299200		225088		
17:25:09		524288		305772		218516		
17:25:11		524288		308624		215664		
17:25:13		524288		316064		208224		
17:25:15		524288		327596		196692		
17:25:17		524288		335408		188880		
17:25:19		524288		330492		193796		
17:25:21		524288		343296		180992		
17:25:23		524288		352628		171660		
17:25:25		524288		361868		162420		
17:25:27		524288		371044		153244		
17:25:29		524288		377244		147044		
17:25:31		524288		382352		141936		
17:25:33		524288		387112		137176		
17:25:35		524288		407532		116756		
17:25:37		524288		420876		103412		
17:25:39		524288		444652		79636		
17:25:41		547052		445984		101068		
17:25:43		548384		445936		102448		
17:25:45		548376		452160		96216		
17:25:47		554560		459264		95296		
17:25:49		561664		468724		92940		
17:25:51		571124		485780		85344		
17:25:53		588180		502604		85576		
17:25:55		605004		519552		85452		
17:25:57		621952		557500		64452		
17:25:59		659900		562072		97828		
17:26:01		664472		588888		75584		
17:26:03		691288		603808		87480		
17:26:05		706208		613396		92812		
17:26:07		715796		617652		98144		
17:26:09		720052		618684		101368		
17:26:11		721083		619219		101864		
17:26:13		721083		619219		101864		
17:26:15		721636		621184		100452		
17:26:17		723584		607756		115828		
17:26:19		716467		613411		103056		
17:26:21		718743		640239		78504		
17:26:23		742638		652478		90160		
17:26:25		754878		653062		101816		
17:26:27		755462		662258		93204		
17:26:29		764658		692482		72176		
17:26:31		794882		689622		105260		
17:26:33		793180		690076		103104		
17:26:35		793124		690784		102340		
17:26:37		793476		692364		101112		
17:26:39		794764		693796		100968		
17:26:41		796196		695404		100792		
17:26:43		797804		696692		101112		
17:26:45		799092		697868		101224		
17:26:47		800268		700184		100084		
17:26:49		802584		703508		99076		
17:26:51		805908		703200		102708		
17:26:53		805733		704641		101092		
17:26:55		807041		708705		98336		
17:26:57		811105		711045		100060		
17:26:59		813445		716377		97068		
17:27:01		818777		717141		101636		
17:27:03		819541		717905		101636		
17:27:05		820305		717429		102876		
17:27:07		820012		717260		102752		
17:27:09		819852		724788		95064		
17:27:11		827188		719724		107464		
17:27:13		824079		717111		106968		
17:27:15		821993		717009		104984		
17:27:18		821684		718064		103620		
17:27:20		822122		720486		101636		
17:27:22		823520		727216		96304		
17:27:24		829616		734552		95064		
17:27:26		836952		735564		101388		
17:27:28		837964		743768		94196		
17:27:30		846167		751971		94196		
17:27:32		854371		743971		110400		
17:27:34		849216		729268		119948		
17:27:36		839247		729219		110028		
17:27:38		838451		729167		109284		
17:27:40		837727		729187		108540		
17:27:42		837127		729331		107796		
17:27:44		836667		729367		107300		
17:27:46		836201		735225		100976		
17:27:48		839483		735407		104076		
17:27:50		839702		723102		116600		
17:27:52		831717		723861		107856		
17:27:54		831256		723896		107360		
17:27:56		830800		718512		112288		
17:27:58		826938		669874		157064		
17:28:00		795691		379071		416620		
17:28:02		612857		350569		262288		
17:28:04		615476		360752		254724		
17:28:06		590590		372322		218268		
17:28:08		586958		384934		202024		
17:28:10		586328		396084		190244		
17:28:12		583629		407273		176356		
17:28:14		580778		421658		159120		
17:28:16		578743		355483		223260		
17:28:18		558338		366334		192004		
17:28:20		556570		376222		180348		
17:28:22		555668		402476		153192		
17:28:24		556861		458601		98260		
17:28:26		565646		494494		71152		
17:28:28		596894		521510		75384		
17:28:30		623910		522238		101672		
17:28:32		624638		548014		76624		
17:28:34		650414		560646		89768		
17:28:36		663046		565334		97712		
17:28:38		667734		570766		96968		
17:28:40		673166		578678		94488		
17:28:42		681078		575306		105772		
17:28:44		679477		574821		104656		
17:28:46		678977		574941		104036		
17:28:48		678847		574935		103912		
17:28:50		678681		574885		103796		
17:28:52		678519		574971		103548		
17:28:54		678433		574265		104168		
17:28:56		677995		574199		103796		
17:28:58		677813		574265		103548		
17:29:00		677717		574293		103424		
17:29:02		677616		574316		103300		
17:29:04		677525		574225		103300		
17:29:06		677404		574228		103176		
17:29:08		677340		574288		103052		
17:29:10		677291		575859		101432		
17:29:12		678258		597658		80600		
17:29:14		700058		613134		86924		
17:29:16		715534		615838		99696		
17:29:18		718238		616178		102060		
17:29:20		718578		616270		102308		
17:29:22		718670		615618		103052		
17:29:24		718324		615520		102804		
17:29:26		718205		615641		102564		
17:29:28		718228		615664		102564		
17:29:30		718223		615659		102564		
17:29:32		718204		608192		110012		
17:29:34		714272		608228		106044		
17:29:36		713704		608280		105424		
17:29:38		713429		608253		105176		
17:29:40		713137		608209		104928		
17:29:42		712874		608194		104680		
17:29:44		712651		608219		104432		
17:29:46		712448		345728		366720		
17:29:48		583414		419470		163944		
17:29:50		623218		427522		195696		
17:29:52		600564		430500		170064		
17:29:54		593677		434649		159028		
17:29:56		590116		463164		126952		
17:29:58		595026		502102		92924		
17:30:00		605721		509945		95776		
17:30:02		612345		528597		83748		
17:30:04		630997		559277		71720		
17:30:06		661677		561093		100584		
17:30:08		663493		562785		100708		
17:30:10		665185		563917		101268		
17:30:12		666317		565049		101268		
17:30:15		667449		566709		100740		
17:30:17		669108		562428		106680		
17:30:19		667134		564174		102960		
17:30:21		667527		573743		93784		
17:30:23		676143		580871		95272		
17:30:25		683271		584031		99240		
17:30:27		686431		584215		102216		
17:30:29		686615		585887		100728		
17:30:31		688287		586195		102092		
17:30:33		688595		586379		102216		
17:30:35		688779		586687		102092		
17:30:37		689087		587119		101968		
17:30:39		689518		587426		102092		
17:30:41		689826		396798		293028		
17:30:43		599111		406275		192836		
17:30:45		587648		414040		173608		
17:30:47		590180		376740		213440		
17:30:49		573150		395802		177348		
17:30:51		572501		408049		164452		
17:30:53		570939		410207		160732		
17:30:55		566723		411199		155524		
17:30:57		562670		413718		148952		
17:30:59		559244		410788		148456		
17:31:01		555309		411565		143744		
17:31:03		552313		388041		164272		
17:31:05		546639		398619		148020		
17:31:07		545570		404246		141324		
17:31:09		543993		429825		114168		
17:31:11		545096		474880		70216		
17:31:13		577280		475416		101864		
17:31:15		577816		487236		90580		
17:31:17		589636		494840		94796		
17:31:19		597240		496988		100252		
17:31:21		599388		497152		102236		
17:31:23		599552		501084		98468		
17:31:25		603484		504148		99336		
17:31:27		606548		504408		102140		
17:31:29		606808		394028		212780		
17:31:31		571237		395533		175704		
17:31:33		565374		396862		168512		
17:31:35		562754		400566		162188		
17:31:37		559586		400622		158964		
17:31:39		556062		399826		156236		
17:31:41		552771		399759		153012		
17:31:43		549912		399504		150408		
17:31:45		547315		399511		147804		
17:31:47		545013		399557		145456		
17:31:49		542949		399601		143348		
17:31:51		541083		399595		141488		
17:31:53		539405		399529		139876		
17:31:55		537890		400298		137592		
17:31:57		536577		414121		122456		
17:31:59		536130		423566		112564		
17:32:01		535593		438965		96628		
17:32:03		541365		443001		98364		
17:32:05		545401		445209		100192		
17:32:07		547609		448441		99168		
