record in kb
time		total		used		free
[17:15:12]		1048572		0		1048572
[17:15:15]		1048572		0		1048572
[17:15:18]		1048572		0		1048572
[17:15:21]		1048572		0		1048572
[17:15:24]		1048572		0		1048572
[17:15:27]		1048572		0		1048572
[17:15:30]		1048572		0		1048572
[17:15:33]		1048572		0		1048572
[17:15:36]		1048572		0		1048572
[17:15:39]		1048572		0		1048572
[17:15:42]		1048572		0		1048572
[17:15:45]		1048572		0		1048572
[17:15:48]		1048572		0		1048572
[17:15:51]		1048572		0		1048572
[17:15:54]		1048572		0		1048572
[17:15:57]		1048572		0		1048572
[17:16:00]		1048572		0		1048572
[17:16:03]		1048572		0		1048572
[17:16:06]		1048572		0		1048572
[17:16:09]		1048572		0		1048572
[17:16:12]		1048572		0		1048572
[17:16:15]		1048572		0		1048572
[17:16:18]		1048572		0		1048572
[17:16:21]		1048572		0		1048572
[17:16:24]		1048572		0		1048572
[17:16:27]		1048572		0		1048572
[17:16:30]		1048572		0		1048572
[17:16:33]		1048572		0		1048572
[17:16:36]		1048572		0		1048572
[17:16:39]		1048572		0		1048572
[17:16:42]		1048572		0		1048572
[17:16:45]		1048572		4		1048568
[17:16:48]		1048572		4		1048568
[17:16:51]		1048572		4		1048568
[17:16:54]		1048572		4		1048568
[17:16:57]		1048572		4		1048568
[17:17:00]		1048572		4		1048568
[17:17:03]		1048572		4		1048568
[17:17:06]		1048572		4		1048568
[17:17:09]		1048572		4		1048568
[17:17:12]		1048572		4		1048568
[17:17:15]		1048572		4		1048568
[17:17:18]		1048572		4		1048568
[17:17:21]		1048572		4		1048568
[17:17:24]		1048572		4		1048568
[17:17:27]		1048572		4		1048568
[17:17:30]		1048572		4		1048568
[17:17:33]		1048572		4		1048568
[17:17:36]		1048572		4		1048568
[17:17:39]		1048572		4		1048568
[17:17:42]		1048572		4		1048568
[17:17:45]		1048572		4		1048568
[17:17:48]		1048572		4		1048568
[17:17:51]		1048572		4		1048568
[17:17:54]		1048572		4		1048568
[17:17:57]		1048572		4		1048568
[17:18:00]		1048572		4		1048568
[17:18:03]		1048572		4		1048568
[17:18:06]		1048572		4		1048568
[17:18:09]		1048572		4		1048568
[17:18:12]		1048572		4		1048568
[17:18:15]		1048572		4		1048568
[17:18:18]		1048572		4		1048568
[17:18:21]		1048572		4		1048568
[17:18:24]		1048572		4		1048568
