recorded by mmserver domain:[id:17 time:Sun Apr 28 08:55:48 2013
]
time		tg_mem		use_mem		free_mem		
08:55:50		528139		321623		206516		
08:55:52		528139		321623		206516		
08:55:54		528139		321623		206516		
08:55:56		528139		321623		206516		
08:55:58		501276		294760		206516		
08:56:00		480644		274128		206516		
08:56:02		460136		253620		206516		
08:56:04		433456		226940		206516		
08:56:06		412976		206460		206516		
08:56:08		392372		185856		206516		
08:56:10		374334		310842		63492		
08:56:12		389590		309638		79952		
08:56:14		376254		309254		67000		
08:56:16		376254		309266		66988		
08:56:18		376254		309266		66988		
08:56:20		376254		309270		66984		
08:56:22		401480		309688		91792		
08:56:24		401480		309688		91792		
08:56:26		389134		309122		80012		
08:56:28		389134		309122		80012		
08:56:30		389134		309122		80012		
08:56:32		389134		309122		80012		
08:56:34		389134		309122		80012		
08:56:36		389134		309122		80012		
08:56:38		418324		309668		108656		
08:56:40		441617		309649		131968		
08:56:42		465777		309629		156148		
08:56:44		485307		309691		175616		
08:56:46		499312		309684		189628		
08:56:48		515205		309705		205500		
08:56:50		528149		309629		218520		
08:56:52		538577		309641		228936		
08:56:54		538577		309641		228936		
08:56:56		550183		309715		240468		
08:56:58		550183		309715		240468		
08:57:00		550183		309715		240468		
08:57:02		550183		309715		240468		
08:57:04		550183		309715		240468		
08:57:06		550183		309715		240468		
08:57:08		550183		309715		240468		
08:57:10		550183		309715		240468		
08:57:12		550183		309715		240468		
08:57:14		550183		309715		240468		
08:57:16		539629		309081		230548		
08:57:16		539629		309081		230548		
