recorded by mmserver domain:[id:20 time:Sun Apr 28 08:55:48 2013
]
time		tg_mem		use_mem		free_mem		
08:55:50		520436		375868		144568		
08:55:52		520436		396452		123984		
08:55:54		520436		417168		103268		
08:55:56		520436		444900		75536		
08:55:58		547300		465532		81768		
08:56:00		567932		486040		81892		
08:56:02		588440		512720		75720		
08:56:04		615120		533200		81920		
08:56:06		635600		553804		81796		
08:56:08		656204		574300		81904		
08:56:10		674242		580238		94004		
08:56:12		658986		605706		53280		
08:56:14		672322		603994		68328		
08:56:16		672322		596882		75440		
08:56:18		672322		596882		75440		
08:56:20		672322		554886		117436		
08:56:22		647096		575284		71812		
08:56:24		647096		579996		67100		
08:56:26		659442		582078		77364		
08:56:28		659442		593330		66112		
08:56:30		659442		583574		75868		
08:56:32		659442		583658		75784		
08:56:34		659442		563322		96120		
08:56:36		659442		522286		137156		
08:56:38		630251		481195		149056		
08:56:40		606958		440294		166664		
08:56:42		582798		406338		176460		
08:56:44		563268		378540		184728		
08:56:46		549263		337503		211760		
08:56:48		533370		296562		236808		
08:56:50		520426		255594		264832		
08:56:52		509998		214414		295584		
08:56:54		509998		188754		321244		
08:56:56		498392		154664		343728		
08:56:58		498392		113620		384772		
08:57:00		498392		105436		392956		
08:57:02		498392		104308		394084		
08:57:04		498392		104308		394084		
08:57:06		498392		104308		394084		
08:57:08		498392		104300		394092		
08:57:10		498392		104316		394076		
08:57:12		498392		104316		394076		
08:57:14		498392		104316		394076		
08:57:16		508946		104578		404368		
08:57:16		508946		104578		404368		
