recorded by mmserver domain:[id:8 time:Mon Apr 29 13:24:19 2013
]
time		tg_mem		use_mem		free_mem		
13:24:21		1027628		209556		818072		
13:24:23		1027650		209578		818072		
13:24:25		1027654		209458		818196		
13:24:27		1027643		209447		818196		
13:24:29		1026271		209439		816832		
13:24:31		1022580		209344		813236		
13:24:33		1017570		209418		808152		
13:24:35		1015770		209346		806424		
13:24:37		1015510		209334		806176		
13:24:39		1014431		209371		805060		
13:24:41		1012885		209437		803448		
13:24:43		1013435		209491		803944		
13:24:45		1013572		209504		804068		
13:24:47		1013104		209036		804068		
13:24:49		1012968		209024		803944		
13:24:51		1013067		209123		803944		
13:24:53		1013074		209130		803944		
13:24:55		1013032		209088		803944		
13:24:57		1012647		208951		803696		
13:24:59		1013287		209467		803820		
13:25:01		1012782		208962		803820		
13:25:03		1009240		208892		800348		
13:25:05		1004753		208869		795884		
13:25:07		1003549		208905		794644		
13:25:09		1001866		208834		793032		
13:25:11		1001396		208860		792536		
13:25:13		999854		208930		790924		
13:25:15		998428		208868		789560		
13:25:17		995708		208876		786832		
13:25:19		1000692		212124		788568		
13:25:21		988083		208939		779144		
13:25:23		984629		208833		775796		
13:25:25		983830		208902		774928		
13:25:27		982179		208863		773316		
13:25:29		976610		208874		767736		
13:25:31		964780		208080		756700		
13:25:33		970619		209455		761164		
13:25:35		966679		208863		757816		
13:25:37		966560		208868		757692		
13:25:39		963739		208899		754840		
13:25:41		962952		208856		754096		
13:25:43		960817		208829		751988		
13:25:45		959574		208950		750624		
13:25:47		957896		208884		749012		
13:25:49		954718		208930		745788		
13:25:51		951143		208951		742192		
13:25:53		947478		208882		738596		
13:25:55		943831		208831		735000		
13:25:57		937113		208933		728180		
13:25:59		931013		208909		722104		
13:26:01		929947		208835		721112		
13:26:03		927554		208922		718632		
13:26:05		924784		208880		715904		
13:26:07		924395		208863		715532		
13:26:09		923245		208829		714416		
13:26:11		923257		208965		714292		
13:26:13		922943		208899		714044		
13:26:15		922342		208918		713424		
13:26:17		921952		208900		713052		
13:26:19		921265		208833		712432		
13:26:21		921844		209412		712432		
13:26:23		921976		209536		712440		
13:26:25		921948		209508		712440		
13:26:27		923731		209555		714176		
13:26:29		922704		208900		713804		
13:26:31		922897		209093		713804		
13:26:33		922036		208852		713184		
13:26:35		918021		208929		709092		
13:26:37		911554		208910		702644		
13:26:39		908675		208883		699792		
13:26:41		910783		209503		701280		
13:26:43		910900		209496		701404		
13:26:45		910446		209042		701404		
13:26:47		909682		208898		700784		
13:26:49		903332		208872		694460		
13:26:52		901273		208921		692352		
13:26:54		902014		209538		692476		
13:26:56		902396		209548		692848		
13:26:58		902457		209485		692972		
13:27:00		902427		209455		692972		
13:27:02		902376		209404		692972		
13:27:04		902278		209306		692972		
13:27:06		902135		209163		692972		
13:27:08		902004		209032		692972		
13:27:10		903201		209485		693716		
13:27:12		903291		209451		693840		
13:27:14		903272		209432		693840		
13:27:16		903182		209342		693840		
13:27:18		903033		209193		693840		
13:27:20		902833		208993		693840		
13:27:22		902655		209063		693592		
13:27:24		902435		208967		693468		
13:27:26		902245		209025		693220		
13:27:28		902116		209020		693096		
13:27:30		901844		208996		692848		
13:27:32		901391		209039		692352		
13:27:34		900390		209030		691360		
13:27:36		900351		208991		691360		
13:27:38		899763		209023		690740		
13:27:40		898462		208962		689500		
13:27:42		898619		209119		689500		
13:27:44		898670		209170		689500		
13:27:46		896346		208334		688012		
13:27:48		896504		209112		687392		
13:27:50		897268		209504		687764		
13:27:52		895457		208933		686524		
13:27:54		895292		208892		686400		
13:27:56		896846		209454		687392		
13:27:58		897048		209532		687516		
13:28:00		896386		208870		687516		
13:28:02		897142		209502		687640		
13:28:04		897375		209487		687888		
13:28:06		897434		209546		687888		
13:28:08		897570		209558		688012		
13:28:10		897609		209473		688136		
13:28:12		897599		209463		688136		
13:28:14		893890		208854		685036		
13:28:16		895057		209525		685532		
13:28:18		895629		209477		686152		
13:28:20		895730		209454		686276		
13:28:22		896354		209458		686896		
13:28:24		896509		209489		687020		
13:28:26		896633		209489		687144		
13:28:28		896331		209187		687144		
13:28:30		896310		209166		687144		
13:28:32		892888		208844		684044		
13:28:34		892780		208860		683920		
13:28:36		892765		208845		683920		
13:28:38		892749		208829		683920		
13:28:40		892702		208906		683796		
13:28:42		892054		208878		683176		
13:28:44		892168		208992		683176		
13:28:46		892186		209010		683176		
13:28:48		892321		209145		683176		
13:28:50		892344		209168		683176		
13:28:52		892357		209181		683176		
13:28:54		888070		208862		679208		
13:28:56		885861		208885		676976		
13:28:58		886594		209494		677100		
13:29:00		887100		209504		677596		
13:29:02		887204		209484		677720		
13:29:04		891283		211455		679828		
13:29:06		891948		209516		682432		
13:29:08		891931		209499		682432		
13:29:10		892337		209525		682812		
13:29:12		891877		209065		682812		
13:29:14		892713		209529		683184		
13:29:16		894167		209495		684672		
13:29:18		896262		209482		686780		
13:29:20		902030		213266		688764		
13:29:22		946121		251529		694592		
13:29:24		951497		209537		741960		
13:29:26		952507		209431		743076		
13:29:28		955438		210006		745432		
13:29:30		957871		209463		748408		
13:29:32		959666		209522		750144		
13:29:34		960796		209536		751260		
13:29:36		962050		209426		752624		
13:29:38		962703		209459		753244		
13:29:40		963835		209475		754360		
13:29:42		964357		209501		754856		
13:29:45		965064		209464		755600		
13:29:47		965063		209463		755600		
13:29:49		974429		216473		757956		
13:29:51		973755		209475		764280		
13:29:53		973672		209392		764280		
13:29:55		974202		209550		764652		
13:29:57		974318		209542		764776		
13:29:59		973463		208935		764528		
13:30:01		969782		208850		760932		
13:30:03		961176		208924		752252		
13:30:05		955588		208916		746672		
13:30:07		942552		208900		733652		
13:30:09		935759		208927		726832		
13:30:11		935714		208882		726832		
13:30:13		922802		208866		713936		
13:30:15		922752		208816		713936		
13:30:17		920949		208873		712076		
13:30:19		916160		208920		707240		
13:30:21		915697		208829		706868		
13:30:23		911278		208874		702404		
13:30:25		911294		208890		702404		
13:30:27		906421		208853		697568		
13:30:29		906448		208880		697568		
13:30:31		902360		208884		693476		
13:30:33		899358		208858		690500		
13:30:35		889809		208857		680952		
13:30:37		888301		208837		679464		
13:30:39		887578		208858		678720		
13:30:41		884855		208863		675992		
13:30:43		882160		208896		673264		
13:30:45		880773		208873		671900		
13:30:47		881195		209295		671900		
13:30:49		881335		209435		671900		
13:30:51		882400		209508		672892		
13:30:53		882539		209523		673016		
13:30:55		881681		208913		672768		
13:30:57		882713		209449		673264		
13:30:59		882902		209514		673388		
13:31:01		883051		209539		673512		
13:31:03		879184		208896		670288		
13:31:05		937364		265836		671528		
13:31:07		937866		209546		728320		
13:31:09		939888		209460		730428		
13:31:11		935346		208886		726460		
13:31:13		936414		209458		726956		
13:31:15		938159		209467		728692		
13:31:17		940571		209523		731048		
13:31:19		943186		210278		732908		
13:31:21		942114		209206		732908		
13:31:23		940005		208833		731172		
13:31:25		937408		208840		728568		
13:31:27		929499		208867		720632		
13:31:29		929702		209070		720632		
13:31:31		929966		209334		720632		
13:31:33		929557		208925		720632		
13:31:35		924770		208850		715920		
13:31:37		920598		208894		711704		
13:31:39		918960		208868		710092		
13:31:41		918831		208863		709968		
13:31:43		918933		208965		709968		
13:31:45		918928		208960		709968		
13:31:47		918825		208857		709968		
13:31:49		918116		208892		709224		
13:31:51		917998		208898		709100		
13:31:53		918334		209234		709100		
13:31:55		918396		209296		709100		
13:31:57		918443		209343		709100		
13:31:59		918570		209470		709100		
13:32:01		918615		209515		709100		
13:32:03		918654		209430		709224		
13:32:05		918631		209407		709224		
13:32:07		917678		208826		708852		
13:32:09		916231		208991		707240		
13:32:11		915996		209004		706992		
13:32:13		915834		208966		706868		
13:32:15		915820		208952		706868		
13:32:17		915784		209040		706744		
13:32:19		915788		209044		706744		
13:32:21		915790		209046		706744		
13:32:23		915765		209021		706744		
13:32:25		915724		208980		706744		
13:32:27		915690		208946		706744		
13:32:29		915613		208993		706620		
13:32:32		915611		208991		706620		
13:32:34		915568		208948		706620		
13:32:36		915503		209007		706496		
13:32:38		915460		208964		706496		
13:32:40		915394		209022		706372		
13:32:42		919571		211463		708108		
13:32:44		939225		229009		710216		
13:32:46		943498		209474		734024		
13:32:48		941493		208833		732660		
13:32:50		942389		209481		732908		
13:32:52		943664		209516		734148		
13:32:54		951303		215047		736256		
13:32:56		951020		209184		741836		
13:32:58		950509		208921		741588		
13:33:00		950581		208993		741588		
13:33:02		951332		209496		741836		
13:33:04		952116		209536		742580		
13:33:06		952738		209538		743200		
13:33:08		953425		209481		743944		
13:33:10		953834		209518		744316		
13:33:12		954385		209449		744936		
13:33:14		954672		209488		745184		
13:33:16		955249		209445		745804		
13:33:18		955575		209523		746052		
13:33:20		958394		210234		748160		
13:33:22		958183		209527		748656		
13:33:24		957915		209259		748656		
13:33:26		957528		208872		748656		
13:33:28		957114		208830		748284		
13:33:30		951742		208914		742828		
13:33:32		942604		208828		733776		
13:33:34		942810		209034		733776		
13:33:36		943115		209463		733652		
13:33:38		942113		208957		733156		
13:33:40		941049		209009		732040		
13:33:42		939810		209010		730800		
13:33:44		939566		209014		730552		
13:33:46		939509		208957		730552		
13:33:48		939469		209041		730428		
13:33:50		939467		209039		730428		
13:33:52		939385		208957		730428		
13:33:54		939259		208955		730304		
13:33:56		938725		209041		729684		
13:33:58		938698		209014		729684		
13:34:00		950289		218869		731420		
13:34:02		951561		209477		742084		
13:34:04		951252		209168		742084		
13:34:06		951945		209489		742456		
13:34:08		952746		209546		743200		
13:34:10		953220		209524		743696		
13:34:12		953718		209526		744192		
13:34:14		954124		209436		744688		
13:34:16		954570		209510		745060		
13:34:18		954864		209432		745432		
13:34:20		955113		209433		745680		
13:34:22		955299		209495		745804		
13:34:24		955491		209439		746052		
13:34:26		955704		209528		746176		
13:34:28		955937		209513		746424		
13:34:30		956114		209442		746672		
13:34:32		956271		209475		746796		
13:34:34		956424		209504		746920		
13:34:36		956560		209516		747044		
13:34:38		956698		209530		747168		
13:34:40		956802		209510		747292		
13:34:42		960524		212364		748160		
13:34:44		959348		209452		749896		
13:34:46		958115		208839		749276		
13:34:48		956824		208912		747912		
13:34:50		954827		208899		745928		
13:34:52		952623		208927		743696		
13:34:54		951153		208821		742332		
13:34:56		949933		208841		741092		
13:34:58		950116		209024		741092		
13:35:00		950086		208994		741092		
13:35:02		949935		208843		741092		
13:35:04		949492		208896		740596		
13:35:06		946180		208932		737248		
13:35:08		946396		209148		737248		
13:35:10		946366		209118		737248		
13:35:12		946359		209111		737248		
13:35:14		945675		208923		736752		
13:35:16		945534		208906		736628		
13:35:18		945463		208835		736628		
13:35:20		945396		208892		736504		
13:35:22		945386		208882		736504		
13:35:24		945337		208833		736504		
13:35:26		945305		208925		736380		
13:35:28		945293		208913		736380		
13:35:31		945354		208974		736380		
13:35:33		953630		215762		737868		
13:35:35		948751		209519		739232		
13:35:37		937282		208838		728444		
13:35:39		935056		208844		726212		
13:35:41		933023		208919		724104		
13:35:43		932056		208820		723236		
13:35:45		930735		208863		721872		
13:35:47		929266		208882		720384		
13:35:49		927544		208896		718648		
13:35:51		926234		208826		717408		
13:35:53		924693		208897		715796		
13:35:55		921215		208891		712324		
13:35:57		915519		208899		706620		
13:35:59		914128		208872		705256		
13:36:01		912165		208893		703272		
13:36:03		912074		208926		703148		
13:36:05		912055		208907		703148		
13:36:07		911977		208829		703148		
13:36:09		911866		208842		703024		
13:36:11		911376		208848		702528		
13:36:13		909017		208845		700172		
13:36:15		906018		208822		697196		
13:36:17		904388		208928		695460		
13:36:19		901739		208883		692856		
13:36:21		899405		208905		690500		
13:36:23		896109		208833		687276		
13:36:25		893432		208884		684548		
13:36:27		892192		208884		683308		
13:36:29		891561		208873		682688		
13:36:31		890060		208860		681200		
13:36:33		886990		208890		678100		
13:36:35		885140		208900		676240		
13:36:37		885037		208921		676116		
13:36:39		885334		209218		676116		
13:36:41		885317		209201		676116		
13:36:43		885283		209167		676116		
13:36:45		885366		209250		676116		
13:36:47		885398		209282		676116		
13:36:49		885256		209140		676116		
13:36:51		885032		208916		676116		
13:36:53		884826		208834		675992		
13:36:55		884508		208888		675620		
13:36:57		884235		208863		675372		
13:36:59		883933		208809		675124		
13:37:01		883721		208845		674876		
13:37:03		883501		208873		674628		
13:37:05		883310		208930		674380		
13:37:07		881391		208871		672520		
13:37:09		880803		208903		671900		
13:37:11		880892		208992		671900		
13:37:13		880760		208860		671900		
13:37:15		880483		208831		671652		
13:37:17		883899		210759		673140		
13:37:19		923881		249501		674380		
13:37:21		921811		209487		712324		
13:37:23		923962		209530		714432		
13:37:25		919294		208830		710464		
13:37:27		919444		208980		710464		
13:37:29		919978		209514		710464		
13:37:31		920387		209551		710836		
13:37:33		920592		209508		711084		
13:37:35		920511		209427		711084		
13:37:37		920368		209284		711084		
13:37:39		920022		208938		711084		
13:37:41		919413		208825		710588		
13:37:43		914081		208825		705256		
13:37:45		912945		208929		704016		
13:37:47		910785		208877		701908		
13:37:49		909637		208845		700792		
13:37:51		906973		208909		698064		
13:37:53		904737		209029		695708		
13:37:55		903271		209051		694220		
13:37:57		900634		209018		691616		
13:37:59		897012		208992		688020		
13:38:01		893643		208971		684672		
13:38:03		891940		209004		682936		
13:38:05		890131		209055		681076		
13:38:07		889012		209052		679960		
13:38:09		887595		208999		678596		
13:38:11		887294		208946		678348		
13:38:13		886999		209023		677976		
13:38:15		886842		208990		677852		
13:38:17		886781		209053		677728		
13:38:20		886792		209064		677728		
13:38:22		886473		208993		677480		
13:38:24		886223		208991		677232		
13:38:26		886163		209055		677108		
13:38:28		885752		209016		676736		
13:38:30		885719		208983		676736		
13:38:32		885423		209059		676364		
13:38:34		885275		209035		676240		
13:38:36		883989		208989		675000		
13:38:38		883868		208992		674876		
13:38:40		882884		209000		673884		
13:38:42		882394		209006		673388		
13:38:44		882273		209009		673264		
13:38:46		881749		208981		672768		
13:38:48		881019		208995		672024		
13:38:50		880408		209004		671404		
13:38:52		879793		209009		670784		
13:38:54		879174		209010		670164		
13:38:56		878488		208944		669544		
13:38:58		877171		208991		668180		
