record in kb
time		total		used		free
[12:56:49]		1048572		0		1048572
[12:56:52]		1048572		0		1048572
[12:56:55]		1048572		0		1048572
[12:56:58]		1048572		0		1048572
[12:57:01]		1048572		0		1048572
[12:57:04]		1048572		0		1048572
[12:57:07]		1048572		0		1048572
[12:57:10]		1048572		0		1048572
[12:57:13]		1048572		0		1048572
[12:57:16]		1048572		0		1048572
[12:57:19]		1048572		0		1048572
[12:57:22]		1048572		0		1048572
[12:57:25]		1048572		0		1048572
[12:57:28]		1048572		0		1048572
[12:57:31]		1048572		0		1048572
[12:57:34]		1048572		0		1048572
[12:57:37]		1048572		0		1048572
[12:57:40]		1048572		0		1048572
[12:57:43]		1048572		0		1048572
[12:57:46]		1048572		0		1048572
[12:57:49]		1048572		0		1048572
[12:57:52]		1048572		0		1048572
[12:57:55]		1048572		0		1048572
[12:57:58]		1048572		0		1048572
[12:58:01]		1048572		0		1048572
[12:58:04]		1048572		0		1048572
[12:58:07]		1048572		0		1048572
[12:58:10]		1048572		0		1048572
[12:58:13]		1048572		0		1048572
[12:58:16]		1048572		0		1048572
[12:58:19]		1048572		0		1048572
[12:58:22]		1048572		0		1048572
[12:58:25]		1048572		0		1048572
[12:58:28]		1048572		0		1048572
[12:58:31]		1048572		0		1048572
[12:58:34]		1048572		0		1048572
[12:58:37]		1048572		0		1048572
[12:58:40]		1048572		0		1048572
[12:58:43]		1048572		0		1048572
[12:58:46]		1048572		0		1048572
[12:58:49]		1048572		0		1048572
[12:58:52]		1048572		0		1048572
[12:58:55]		1048572		0		1048572
[12:58:58]		1048572		0		1048572
[12:59:01]		1048572		0		1048572
[12:59:04]		1048572		0		1048572
[12:59:07]		1048572		0		1048572
[12:59:10]		1048572		0		1048572
[12:59:13]		1048572		0		1048572
[12:59:16]		1048572		0		1048572
[12:59:19]		1048572		0		1048572
[12:59:22]		1048572		0		1048572
[12:59:25]		1048572		0		1048572
[12:59:28]		1048572		0		1048572
[12:59:31]		1048572		0		1048572
[12:59:34]		1048572		0		1048572
[12:59:37]		1048572		0		1048572
[12:59:40]		1048572		0		1048572
[12:59:43]		1048572		0		1048572
[12:59:46]		1048572		0		1048572
[12:59:49]		1048572		0		1048572
[12:59:52]		1048572		0		1048572
[12:59:55]		1048572		0		1048572
[12:59:58]		1048572		0		1048572
[13:00:01]		1048572		0		1048572
[13:00:05]		1048572		0		1048572
[13:00:08]		1048572		0		1048572
[13:00:11]		1048572		0		1048572
[13:00:14]		1048572		0		1048572
[13:00:17]		1048572		0		1048572
[13:00:20]		1048572		0		1048572
[13:00:23]		1048572		0		1048572
[13:00:26]		1048572		0		1048572
[13:00:29]		1048572		0		1048572
[13:00:32]		1048572		0		1048572
[13:00:35]		1048572		0		1048572
[13:00:38]		1048572		0		1048572
[13:00:41]		1048572		0		1048572
[13:00:44]		1048572		0		1048572
[13:00:47]		1048572		0		1048572
[13:00:50]		1048572		0		1048572
[13:00:53]		1048572		0		1048572
[13:00:56]		1048572		0		1048572
[13:00:59]		1048572		0		1048572
[13:01:02]		1048572		0		1048572
[13:01:05]		1048572		0		1048572
[13:01:08]		1048572		0		1048572
[13:01:11]		1048572		0		1048572
[13:01:14]		1048572		0		1048572
[13:01:17]		1048572		0		1048572
[13:01:20]		1048572		0		1048572
[13:01:23]		1048572		0		1048572
[13:01:26]		1048572		0		1048572
[13:01:29]		1048572		0		1048572
[13:01:32]		1048572		0		1048572
[13:01:35]		1048572		0		1048572
[13:01:38]		1048572		0		1048572
[13:01:41]		1048572		0		1048572
[13:01:44]		1048572		0		1048572
[13:01:47]		1048572		0		1048572
[13:01:50]		1048572		0		1048572
[13:01:53]		1048572		0		1048572
[13:01:56]		1048572		0		1048572
[13:01:59]		1048572		0		1048572
[13:02:02]		1048572		0		1048572
[13:02:05]		1048572		0		1048572
[13:02:08]		1048572		0		1048572
[13:02:11]		1048572		0		1048572
[13:02:14]		1048572		0		1048572
[13:02:17]		1048572		0		1048572
[13:02:20]		1048572		0		1048572
[13:02:23]		1048572		0		1048572
[13:02:26]		1048572		0		1048572
[13:02:29]		1048572		0		1048572
[13:02:32]		1048572		0		1048572
[13:02:35]		1048572		0		1048572
[13:02:38]		1048572		0		1048572
[13:02:41]		1048572		0		1048572
[13:02:44]		1048572		0		1048572
[13:02:47]		1048572		0		1048572
[13:02:50]		1048572		0		1048572
[13:02:53]		1048572		0		1048572
[13:02:56]		1048572		0		1048572
[13:02:59]		1048572		0		1048572
[13:03:02]		1048572		0		1048572
[13:03:05]		1048572		0		1048572
[13:03:08]		1048572		0		1048572
[13:03:11]		1048572		0		1048572
[13:03:14]		1048572		0		1048572
[13:03:17]		1048572		0		1048572
[13:03:20]		1048572		0		1048572
[13:03:23]		1048572		0		1048572
[13:03:26]		1048572		0		1048572
[13:03:29]		1048572		0		1048572
[13:03:32]		1048572		0		1048572
[13:03:35]		1048572		0		1048572
[13:03:38]		1048572		0		1048572
[13:03:41]		1048572		0		1048572
[13:03:44]		1048572		0		1048572
[13:03:47]		1048572		0		1048572
[13:03:50]		1048572		0		1048572
[13:03:53]		1048572		0		1048572
[13:03:56]		1048572		0		1048572
[13:03:59]		1048572		0		1048572
[13:04:02]		1048572		0		1048572
[13:04:05]		1048572		0		1048572
[13:04:08]		1048572		0		1048572
[13:04:11]		1048572		0		1048572
[13:04:14]		1048572		0		1048572
[13:04:17]		1048572		0		1048572
[13:04:20]		1048572		0		1048572
[13:04:23]		1048572		0		1048572
[13:04:26]		1048572		0		1048572
[13:04:29]		1048572		0		1048572
[13:04:32]		1048572		0		1048572
[13:04:35]		1048572		0		1048572
[13:04:38]		1048572		0		1048572
[13:04:41]		1048572		0		1048572
[13:04:44]		1048572		0		1048572
[13:04:47]		1048572		0		1048572
[13:04:50]		1048572		0		1048572
[13:04:53]		1048572		0		1048572
[13:04:56]		1048572		0		1048572
[13:04:59]		1048572		0		1048572
[13:05:02]		1048572		0		1048572
[13:05:05]		1048572		0		1048572
[13:05:08]		1048572		0		1048572
[13:05:11]		1048572		0		1048572
[13:05:14]		1048572		0		1048572
[13:05:17]		1048572		0		1048572
[13:05:20]		1048572		0		1048572
[13:05:23]		1048572		0		1048572
[13:05:26]		1048572		0		1048572
[13:05:29]		1048572		0		1048572
[13:05:32]		1048572		0		1048572
[13:05:35]		1048572		0		1048572
[13:05:38]		1048572		0		1048572
[13:05:41]		1048572		0		1048572
[13:05:44]		1048572		0		1048572
[13:05:47]		1048572		0		1048572
[13:05:50]		1048572		0		1048572
[13:05:53]		1048572		0		1048572
[13:05:56]		1048572		0		1048572
[13:05:59]		1048572		0		1048572
[13:06:02]		1048572		0		1048572
[13:06:05]		1048572		0		1048572
[13:06:08]		1048572		0		1048572
[13:06:11]		1048572		0		1048572
[13:06:14]		1048572		0		1048572
[13:06:17]		1048572		0		1048572
[13:06:20]		1048572		0		1048572
[13:06:23]		1048572		0		1048572
[13:06:26]		1048572		0		1048572
[13:06:29]		1048572		0		1048572
[13:06:32]		1048572		0		1048572
[13:06:35]		1048572		0		1048572
[13:06:38]		1048572		0		1048572
[13:06:41]		1048572		0		1048572
[13:06:44]		1048572		0		1048572
[13:06:47]		1048572		0		1048572
[13:06:50]		1048572		0		1048572
[13:06:53]		1048572		0		1048572
[13:06:56]		1048572		0		1048572
[13:06:59]		1048572		0		1048572
[13:07:02]		1048572		0		1048572
[13:07:05]		1048572		0		1048572
[13:07:08]		1048572		0		1048572
[13:07:11]		1048572		0		1048572
[13:07:14]		1048572		0		1048572
[13:07:17]		1048572		0		1048572
[13:07:20]		1048572		0		1048572
[13:07:23]		1048572		0		1048572
[13:07:26]		1048572		0		1048572
[13:07:29]		1048572		0		1048572
[13:07:32]		1048572		0		1048572
[13:07:35]		1048572		0		1048572
[13:07:38]		1048572		0		1048572
[13:07:41]		1048572		0		1048572
[13:07:44]		1048572		0		1048572
[13:07:47]		1048572		0		1048572
[13:07:50]		1048572		0		1048572
[13:07:53]		1048572		0		1048572
[13:07:56]		1048572		0		1048572
[13:07:59]		1048572		0		1048572
[13:08:02]		1048572		0		1048572
[13:08:05]		1048572		0		1048572
[13:08:08]		1048572		0		1048572
[13:08:11]		1048572		0		1048572
[13:08:14]		1048572		0		1048572
[13:08:17]		1048572		0		1048572
[13:08:20]		1048572		0		1048572
[13:08:23]		1048572		0		1048572
[13:08:26]		1048572		0		1048572
[13:08:29]		1048572		0		1048572
[13:08:32]		1048572		0		1048572
[13:08:35]		1048572		0		1048572
[13:08:38]		1048572		0		1048572
[13:08:41]		1048572		0		1048572
[13:08:44]		1048572		0		1048572
[13:08:47]		1048572		0		1048572
[13:08:50]		1048572		0		1048572
[13:08:53]		1048572		0		1048572
[13:08:56]		1048572		0		1048572
[13:08:59]		1048572		0		1048572
[13:09:02]		1048572		0		1048572
[13:09:05]		1048572		0		1048572
[13:09:08]		1048572		0		1048572
[13:09:11]		1048572		0		1048572
[13:09:14]		1048572		0		1048572
[13:09:17]		1048572		0		1048572
[13:09:20]		1048572		0		1048572
[13:09:23]		1048572		0		1048572
[13:09:26]		1048572		0		1048572
[13:09:29]		1048572		0		1048572
[13:09:32]		1048572		0		1048572
[13:09:35]		1048572		0		1048572
[13:09:38]		1048572		0		1048572
[13:09:41]		1048572		0		1048572
[13:09:44]		1048572		0		1048572
[13:09:47]		1048572		0		1048572
[13:09:50]		1048572		0		1048572
[13:09:53]		1048572		0		1048572
[13:09:56]		1048572		0		1048572
