recorded by mmserver domain:[id:11 time:Mon Apr 29 12:40:18 2013
]
time		tg_mem		use_mem		free_mem		
12:40:20		1048576		207968		840608		
12:40:22		1048576		207968		840608		
12:40:24		1048576		207968		840608		
12:40:26		1048576		207968		840608		
12:40:28		1048576		207968		840608		
12:40:30		1048576		207968		840608		
12:40:32		1048576		207968		840608		
12:40:34		1048576		207968		840608		
12:40:36		1048576		207968		840608		
12:40:38		1048576		207968		840608		
12:40:40		1048576		207968		840608		
12:40:42		1048576		207968		840608		
12:40:44		1048576		207968		840608		
12:40:46		1048576		207968		840608		
12:40:48		1048576		207968		840608		
12:40:50		1048576		207968		840608		
12:40:52		1048576		207968		840608		
12:40:54		1048576		207968		840608		
12:40:56		1048576		207968		840608		
12:40:58		1048576		207968		840608		
12:41:00		1048576		207968		840608		
12:41:02		1048576		207968		840608		
12:41:04		1048576		207968		840608		
12:41:06		1048576		207968		840608		
12:41:08		1048576		207968		840608		
12:41:10		1048576		207968		840608		
12:41:12		1048576		207968		840608		
12:41:14		1048576		207968		840608		
12:41:16		1048576		207968		840608		
12:41:18		1048576		207968		840608		
12:41:20		1048576		207968		840608		
12:41:22		1048576		207968		840608		
12:41:24		1048576		207968		840608		
12:41:26		1048576		207968		840608		
12:41:28		1048576		207968		840608		
12:41:30		1048576		207968		840608		
12:41:32		1048576		207968		840608		
12:41:34		1048576		207968		840608		
12:41:36		1048576		207968		840608		
12:41:38		1048576		207968		840608		
12:41:40		1048576		207968		840608		
12:41:42		1048576		207968		840608		
12:41:44		1048576		207968		840608		
12:41:46		1048576		207968		840608		
12:41:48		1048576		207968		840608		
12:41:50		1048576		207968		840608		
12:41:52		1048576		207968		840608		
12:41:54		1048576		207968		840608		
12:41:56		1048576		207968		840608		
12:41:58		1048576		207968		840608		
12:42:00		1048576		207968		840608		
12:42:02		1048576		207968		840608		
12:42:04		1048576		207968		840608		
12:42:06		1048576		207968		840608		
12:42:08		1048576		207968		840608		
12:42:10		1048576		207968		840608		
12:42:12		1048576		207968		840608		
12:42:14		1048576		207968		840608		
12:42:16		1048576		207968		840608		
12:42:18		1048576		207968		840608		
12:42:20		1048576		207968		840608		
12:42:23		1048576		207968		840608		
12:42:25		1048576		207968		840608		
12:42:27		1048576		207968		840608		
12:42:29		1048576		207968		840608		
12:42:31		1048576		207968		840608		
12:42:33		1048576		207968		840608		
12:42:35		1048576		207968		840608		
12:42:37		1048576		207968		840608		
12:42:39		1048576		207968		840608		
12:42:41		1048576		207968		840608		
12:42:43		1048576		207968		840608		
12:42:45		1048576		207968		840608		
12:42:47		1048576		207968		840608		
12:42:49		1048576		207968		840608		
12:42:51		1048576		207968		840608		
12:42:53		1048576		207968		840608		
12:42:55		1048576		207968		840608		
12:42:57		1048576		207968		840608		
12:42:59		1048576		207968		840608		
12:43:01		1048576		207968		840608		
12:43:03		1048576		207968		840608		
12:43:05		1048576		207968		840608		
12:43:07		1048576		207968		840608		
12:43:09		1048576		207968		840608		
12:43:11		1048576		207968		840608		
12:43:13		1048576		207968		840608		
12:43:15		1048576		207968		840608		
12:43:17		1048576		207968		840608		
12:43:19		1048576		207968		840608		
12:43:21		1048576		207968		840608		
12:43:23		1048576		207968		840608		
12:43:25		1048576		207968		840608		
12:43:27		1048576		207968		840608		
12:43:29		1048576		207968		840608		
12:43:31		1048576		207968		840608		
12:43:33		1048576		207968		840608		
12:43:35		1048576		207968		840608		
12:43:37		1048576		207968		840608		
12:43:39		1048576		207968		840608		
12:43:41		1048576		207968		840608		
12:43:43		1048576		207968		840608		
12:43:45		1048576		207968		840608		
12:43:47		1048576		207968		840608		
12:43:49		1048576		207968		840608		
12:43:51		1048576		207968		840608		
12:43:53		1048576		207968		840608		
12:43:55		1048576		207968		840608		
12:43:57		1048576		207968		840608		
12:43:59		1048576		207968		840608		
12:44:01		1048576		207968		840608		
12:44:03		1048576		207968		840608		
12:44:05		1048576		207968		840608		
12:44:07		1048576		207968		840608		
12:44:09		1048576		207968		840608		
12:44:11		1048576		207968		840608		
12:44:13		1048576		207968		840608		
12:44:15		1048576		207984		840592		
12:44:17		1048576		207968		840608		
12:44:19		1048576		207968		840608		
12:44:21		1048576		207968		840608		
12:44:23		1048576		207968		840608		
12:44:25		1048576		207968		840608		
12:44:27		1048576		207968		840608		
12:44:29		1048576		207968		840608		
12:44:31		1048576		207968		840608		
