recorded by mmserver domain:[id:12 time:Wed May  1 12:43:10 2013
]
time		tg_mem		use_mem		free_mem		
12:43:12		974176		422384		551792		
12:43:14		974178		422386		551792		
12:43:16		974179		422387		551792		
12:43:18		971918		422234		549684		
12:43:20		967110		422262		544848		
12:43:22		962010		422246		539764		
12:43:24		959206		422170		537036		
12:43:26		959056		422268		536788		
12:43:28		958660		422244		536416		
12:43:30		957555		422255		535300		
12:43:32		954541		422217		532324		
12:43:34		948965		422221		526744		
12:43:36		946491		422227		524264		
12:43:38		945974		422206		523768		
12:43:40		946343		422575		523768		
12:43:42		946591		422823		523768		
12:43:44		947812		422804		525008		
12:43:46		947186		422178		525008		
12:43:48		946662		422150		524512		
12:43:50		941644		422216		519428		
12:43:52		941490		422186		519304		
12:43:54		938972		422148		516824		
12:43:56		936196		422224		513972		
12:43:58		932907		422159		510748		
12:44:00		932631		422255		510376		
12:44:02		931055		422291		508764		
12:44:04		930368		422348		508020		
12:44:06		929909		422385		507524		
12:44:08		928830		422298		506532		
12:44:10		929284		422752		506532		
12:44:12		929393		422861		506532		
12:44:14		928744		422336		506408		
12:44:16		928622		422338		506284		
12:44:18		927984		422320		505664		
12:44:20		927794		422378		505416		
12:44:22		927770		422354		505416		
12:44:24		927577		422285		505292		
12:44:27		929125		422841		506284		
12:44:29		929935		422783		507152		
12:44:31		929558		422406		507152		
12:44:33		929436		422284		507152		
12:44:35		927191		422271		504920		
12:44:37		926321		422269		504052		
12:44:39		926290		422238		504052		
12:44:41		926122		422194		503928		
12:44:43		925435		422251		503184		
12:44:45		922775		422195		500580		
12:44:47		922114		422154		499960		
12:44:49		920910		422190		498720		
12:44:51		920732		422260		498472		
12:44:53		922214		422874		499340		
12:44:55		922960		422876		500084		
12:44:57		922421		422337		500084		
12:44:59		922186		422350		499836		
12:45:01		922095		422383		499712		
12:45:03		922016		422304		499712		
12:45:05		921867		422279		499588		
12:45:07		921726		422386		499340		
12:45:09		922590		422878		499712		
12:45:11		922592		422880		499712		
12:45:13		922478		422766		499712		
12:45:15		922272		422560		499712		
12:45:17		922134		422422		499712		
12:45:19		921922		422210		499712		
12:45:21		921834		422246		499588		
12:45:23		921744		422156		499588		
12:45:25		921056		422212		498844		
12:45:27		920884		422164		498720		
12:45:29		920578		422354		498224		
12:45:31		920288		422312		497976		
12:45:33		919914		422310		497604		
12:45:35		919428		422320		497108		
12:45:37		918973		422361		496612		
12:45:39		918730		422366		496364		
12:45:41		920652		422800		497852		
12:45:43		920764		422788		497976		
12:45:45		921620		422776		498844		
12:45:47		921612		422768		498844		
12:45:49		921623		422779		498844		
12:45:51		921629		422785		498844		
12:45:53		921633		422789		498844		
12:45:55		921025		422181		498844		
12:45:57		920854		422258		498596		
12:45:59		920900		422304		498596		
12:46:01		920927		422331		498596		
12:46:03		920944		422348		498596		
12:46:05		920880		422284		498596		
12:46:07		919517		422161		497356		
12:46:09		921720		422876		498844		
12:46:11		921709		422865		498844		
12:46:13		921688		422844		498844		
12:46:15		921211		422367		498844		
12:46:17		922743		422783		499960		
12:46:19		922799		422839		499960		
12:46:21		922774		422814		499960		
12:46:23		922431		422471		499960		
12:46:25		922359		422399		499960		
12:46:27		920471		422247		498224		
12:46:29		922270		422806		499464		
12:46:31		922664		422828		499836		
12:46:33		922663		422827		499836		
12:46:35		922722		422762		499960		
12:46:37		922687		422727		499960		
12:46:39		922663		422703		499960		
12:46:41		922663		422703		499960		
12:46:43		922678		422718		499960		
12:46:45		922687		422727		499960		
12:46:48		922692		422732		499960		
12:46:50		921133		422165		498968		
12:46:52		921031		422187		498844		
12:46:54		921044		422200		498844		
12:46:56		922555		422843		499712		
12:46:58		924078		422878		501200		
12:47:00		924099		422775		501324		
12:47:02		924022		422698		501324		
12:47:04		923172		422220		500952		
12:47:06		923968		422768		501200		
12:47:08		925309		422869		502440		
