recorded by mmserver domain:[id:11 time:Wed May  1 12:05:30 2013
]
time		tg_mem		use_mem		free_mem		
12:05:32		1019358		422314		597044		
12:05:34		1019390		422346		597044		
12:05:36		1019400		422356		597044		
12:05:39		1015246		422170		593076		
12:05:41		1001723		422163		579560		
12:05:43		991667		422151		569516		
12:05:45		989907		422127		567780		
12:05:47		987906		422234		565672		
12:05:49		985849		422161		563688		
12:05:51		974536		422132		552404		
12:05:53		980030		422294		557736		
12:05:55		976416		421656		554760		
12:05:57		971135		421707		549428		
12:05:59		969336		421768		547568		
12:06:01		967508		421676		545832		
12:06:03		966452		421736		544716		
12:06:05		964049		421689		542360		
12:06:07		962014		421762		540252		
12:06:09		959397		421749		537648		
12:06:11		957270		421730		535540		
12:06:13		951603		421767		529836		
12:06:15		947428		421684		525744		
12:06:17		944448		421680		522768		
12:06:19		940213		421661		518552		
12:06:21		936115		421655		514460		
12:06:23		933135		421651		511484		
12:06:25		933079		421719		511360		
12:06:27		932001		421757		510244		
12:06:29		929907		421647		508260		
12:06:31		929489		421725		507764		
12:06:33		928794		421650		507144		
12:06:35		927260		421728		505532		
12:06:37		927154		421746		505408		
12:06:39		927165		421757		505408		
12:06:41		927134		421726		505408		
12:06:43		926928		421644		505284		
12:06:45		928818		422294		506524		
12:06:47		928669		422145		506524		
12:06:49		928824		422300		506524		
12:06:51		928787		422263		506524		
12:06:53		928886		422362		506524		
12:06:55		924215		421659		502556		
12:06:57		919586		421742		497844		
12:06:59		919527		421683		497844		
12:07:01		919459		421739		497720		
12:07:03		917846		421738		496108		
12:07:05		916153		421657		494496		
12:07:07		909416		421740		487676		
12:07:09		909602		421926		487676		
12:07:11		909446		421770		487676		
12:07:13		909420		421744		487676		
12:07:15		909269		421717		487552		
12:07:17		909050		421746		487304		
12:07:19		909043		421739		487304		
12:07:21		908846		421666		487180		
12:07:23		908605		421673		486932		
12:07:25		908402		421718		486684		
12:07:27		908172		421736		486436		
12:07:29		908261		421825		486436		
12:07:31		908249		421813		486436		
12:07:33		908055		421743		486312		
12:07:35		907668		421728		485940		
12:07:37		907119		421675		485444		
12:07:39		906264		421688		484576		
12:07:41		905306		421722		483584		
12:07:43		906061		422353		483708		
12:07:45		906111		422279		483832		
12:07:47		905829		421997		483832		
12:07:49		905142		421682		483460		
12:07:51		901920		421684		480236		
12:07:53		901594		421730		479864		
12:07:55		898308		421668		476640		
12:07:58		897230		421706		475524		
12:08:00		897101		421701		475400		
12:08:02		897027		421751		475276		
12:08:04		896980		421704		475276		
12:08:06		894913		421745		473168		
12:08:08		894828		421660		473168		
12:08:10		894782		421738		473044		
12:08:12		894788		421744		473044		
12:08:14		894792		421748		473044		
12:08:16		889623		421663		467960		
12:08:18		892726		422286		470440		
12:08:20		893078		422266		470812		
12:08:22		893246		422310		470936		
12:08:24		893437		422433		471004		
12:08:26		893606		422330		471276		
12:08:28		893585		422317		471268		
12:08:30		893588		422320		471268		
12:08:32		893381		422113		471268		
12:08:34		893347		422079		471268		
12:08:36		893375		422107		471268		
12:08:38		893442		422174		471268		
12:08:40		893534		422266		471268		
12:08:42		893623		422355		471268		
12:08:44		893076		422056		471020		
12:08:46		893040		422020		471020		
12:08:48		893012		421992		471020		
12:08:50		892957		422061		470896		
12:08:52		892927		422031		470896		
12:08:54		892924		422028		470896		
12:08:56		892896		422000		470896		
12:08:58		892850		421954		470896		
12:09:00		892815		421919		470896		
12:09:02		892792		421896		470896		
12:09:04		892571		421675		470896		
12:09:06		892269		421373		470896		
12:09:08		892076		421180		470896		
12:09:10		891949		422169		469780		
12:09:12		892474		422322		470152		
12:09:14		892601		422325		470276		
12:09:16		892584		422308		470276		
12:09:18		892573		422297		470276		
12:09:20		894439		424163		470276		
12:09:22		895456		425180		470276		
12:09:24		896108		425832		470276		
12:09:26		896632		426356		470276		
12:09:28		895157		421781		473376		
12:09:30		894274		421766		472508		
12:09:32		894187		421679		472508		
12:09:34		902358		422410		479948		
12:09:36		904683		422379		482304		
12:09:38		906485		422321		484164		
12:09:40		951047		422367		528680		
12:09:42		957869		422369		535500		
12:09:44		957820		422320		535500		
12:09:46		959423		422435		536988		
12:09:48		959135		422147		536988		
12:09:50		956903		421767		535136		
