recorded by mmserver domain:[id:33 time:Wed May  1 13:11:20 2013
]
time		tg_mem		use_mem		free_mem		
13:11:22		1013490		209470		804020		
13:11:24		1013509		209489		804020		
13:11:26		1013514		209494		804020		
13:11:28		1008522		209462		799060		
13:11:30		1001201		209457		791744		
13:11:32		987469		209365		778104		
13:11:34		977201		209389		767812		
13:11:36		975085		209381		765704		
13:11:38		972953		209357		763596		
13:11:40		972185		209457		762728		
13:11:42		968177		209417		758760		
13:11:44		959039		209455		749584		
13:11:46		958017		209425		748592		
13:11:48		956968		209368		747600		
13:11:50		956219		209363		746856		
13:11:52		953781		209405		744376		
13:11:54		952117		209353		742764		
13:11:56		950197		209417		740780		
13:11:58		948310		209390		738920		
13:12:00		946756		209448		737308		
13:12:02		944148		209444		734704		
13:12:04		940885		209405		731480		
13:12:06		934742		209446		725296		
13:12:08		927810		209334		718476		
13:12:10		926404		209416		716988		
13:12:12		922029		209381		712648		
13:12:14		917443		209383		708060		
13:12:16		914452		209368		705084		
13:12:18		913736		209396		704340		
13:12:20		912405		209429		702976		
13:12:22		911327		209343		701984		
13:12:24		910496		209380		701116		
13:12:26		909264		209388		699876		
13:12:28		908436		209428		699008		
13:12:30		909098		209966		699132		
13:12:32		909193		209937		699256		
13:12:34		909227		209971		699256		
13:12:36		910896		210028		700868		
13:12:38		911129		210013		701116		
13:12:40		911240		210000		701240		
13:12:43		911376		210012		701364		
13:12:45		906383		209359		697024		
13:12:47		901145		209329		691816		
13:12:49		901094		209278		691816		
13:12:51		900968		209276		691692		
13:12:53		900651		209331		691320		
13:12:55		899400		209320		690080		
13:12:57		896492		209264		687228		
13:12:59		891403		209259		682144		
13:13:01		888920		209256		679664		
13:13:03		889618		209954		679664		
13:13:05		890154		209870		680284		
13:13:07		890430		209898		680532		
13:13:09		890335		209803		680532		
13:13:11		890228		209696		680532		
13:13:13		890201		209669		680532		
13:13:15		890124		209592		680532		
13:13:17		890006		209474		680532		
13:13:19		889890		209358		680532		
13:13:21		889653		209245		680408		
13:13:23		889267		209231		680036		
13:13:25		888724		209184		679540		
13:13:27		887820		209272		678548		
13:13:29		888252		209704		678548		
13:13:31		888264		209716		678548		
13:13:33		888193		209645		678548		
13:13:35		887976		209552		678424		
13:13:37		887832		209408		678424		
13:13:39		887488		209312		678176		
13:13:41		886779		209223		677556		
13:13:43		886062		209250		676812		
13:13:45		885906		209218		676688		
13:13:47		885391		209199		676192		
13:13:49		884890		209194		675696		
13:13:51		884875		209179		675696		
13:13:53		884747		209175		675572		
13:13:55		883738		209282		674456		
13:13:57		881292		209192		672100		
13:13:59		882605		209761		672844		
13:14:01		882368		209524		672844		
13:14:03		882858		209766		673092		
